archetype_id,archetype_name,n_designs,prevalence_pct,dominant_regime,pct_easy,pct_fragile,pct_infeasible,mean_boundary_distance,limiting_factor_1,limiting_factor_1_mean_shap,limiting_factor_2,limiting_factor_2_mean_shap,limiting_factor_3,limiting_factor_3_mean_shap,enabling_factor_1,enabling_factor_1_mean_shap,example_rocket_id
1,Precision-limited,572,57.2,INFEASIBLE,0.0,9.4,90.6,-1.9101,backlash,-0.34803,Iyy,-0.05272,control_effectiveness,-0.03356,latency_steps,-0.00381,R0949
0,Robust-favorable,428,42.8,EASY,84.1,15.7,0.2,1.7118,latency_steps,0.00518,deadband,0.00668,wind_strength,0.00888,backlash,0.47383,R0540
