design_id,rocket_id,regime_label,regime_code,boundary_distance,predicted_regime,rf_easy_prob,rf_infeasible_prob,shap_p_unstable,shap_servo_slew_deg_s,shap_max_gimbal_deg,shap_best_u_max_frac,shap_mass,shap_Iyy,shap_static_margin,shap_Cm_alpha,shap_control_effectiveness,shap_thrust,shap_deadband,shap_backlash,shap_latency_steps,shap_wind_strength,delta_shap_p_unstable,delta_shap_servo_slew_deg_s,delta_shap_max_gimbal_deg,delta_shap_best_u_max_frac,delta_shap_mass,delta_shap_Iyy,delta_shap_static_margin,delta_shap_Cm_alpha,delta_shap_control_effectiveness,delta_shap_thrust,delta_shap_deadband,delta_shap_backlash,delta_shap_latency_steps,delta_shap_wind_strength,shap_infeasible_p_unstable,shap_infeasible_servo_slew_deg_s,shap_infeasible_max_gimbal_deg,shap_infeasible_best_u_max_frac,shap_infeasible_mass,shap_infeasible_Iyy,shap_infeasible_static_margin,shap_infeasible_Cm_alpha,shap_infeasible_control_effectiveness,shap_infeasible_thrust,shap_infeasible_deadband,shap_infeasible_backlash,shap_infeasible_latency_steps,shap_infeasible_wind_strength,shap_fragile_p_unstable,shap_fragile_servo_slew_deg_s,shap_fragile_max_gimbal_deg,shap_fragile_best_u_max_frac,shap_fragile_mass,shap_fragile_Iyy,shap_fragile_static_margin,shap_fragile_Cm_alpha,shap_fragile_control_effectiveness,shap_fragile_thrust,shap_fragile_deadband,shap_fragile_backlash,shap_fragile_latency_steps,shap_fragile_wind_strength,p_unstable,servo_slew_deg_s,max_gimbal_deg,best_u_max_frac,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,deadband,backlash,latency_steps,wind_strength
1,R0001,EASY,2,2.26287015451722,EASY,0.9439444444444445,0.01916666666666667,0.018305900378824985,0.04757881160794265,0.010414465212342601,0.005522287314365411,0.014187473566211469,0.07747630142484456,0.010273445703968292,0.014789255353111722,-0.050105329786384725,0.028669853354472107,0.00422189499767861,0.3862021226837874,0.001212294619546069,0.0034595569026247396,0.04107654220128999,0.09316337637868735,0.017191124023681004,0.009175993761082184,0.02862819676548068,0.13037773828250118,0.033289643873020885,0.02547195363095886,-0.0869543331780355,0.058610188971310845,0.0061103080087509,0.7054082538308211,0.0021863888682695934,0.0040562912488505505,-0.022770641822465004,-0.045584564770744705,-0.006776658811338402,-0.003653706446716772,-0.014440723199269211,-0.052901436857656615,-0.023016198169052596,-0.010682698277847139,0.03684900339165078,-0.029940335616838735,-0.00188841301107229,-0.3192061311470337,-0.0009740942487235243,-0.000596734346225811,0.004464741443640097,-0.0019942468371981934,-0.0036378064010041933,-0.0018685808676486165,0.0002532496330577753,-0.02457486456718757,0.012742752465084274,-0.004106557075264672,0.013256326394734133,0.0012704822623666057,-0.0023334819866063154,-0.06699599153675218,-0.00023820037082254288,-0.0028628225563989236,0.441388854212445,93.7439005207043,10.0074196065162,0.667161307101081,1.81271004682865,0.0301470580457273,0.0553999641773891,-36.9723515162606,13.9341002294701,27.8735155219467,0.0546811439540159,0.0462833258533795,5,0.261988816718031
2,R0002,INFEASIBLE,0,-1.66508427206459,INFEASIBLE,0.06044444444444444,0.8856666666666668,-0.0054036416409291264,0.06430763236120111,0.0029303889339540824,0.0038008450349360677,-0.0007335129856472533,0.1079965367776735,0.003570833208194746,0.000502607370701148,-0.02492803161911184,0.07139860831894768,0.001094776973586264,0.13968709019552203,0.004685352722525851,0.002007181015112555,0.01088117599132667,-0.12166613982758129,-0.00331919794161673,-0.0051923410914059475,-0.00015372786540771336,-0.18827453635274888,0.002589049737310988,0.0025762688137118918,0.0488358773865629,-0.11553122026410126,-0.007151647587051274,-0.29781667887309254,-0.005083369143382711,-0.002901846315858875,-0.0054036416409291264,0.06430763236120111,0.0029303889339540824,0.0038008450349360677,-0.0007335129856472533,0.1079965367776735,0.003570833208194746,0.000502607370701148,-0.02492803161911184,0.07139860831894768,0.001094776973586264,0.13968709019552203,0.004685352722525851,0.002007181015112555,-7.389270946841805e-05,-0.0069491248948208555,-0.0025415799262914433,-0.002409348978466203,0.0016207538367022179,-0.027718537202598165,-0.009730716153700568,-0.0035814835551141997,0.0010201858516609502,-0.02726599637379409,0.004962093639878768,0.01844249848204711,-0.004287336301668992,-0.00111251571436623,0.684209601162738,46.159305757592,9.40178736326807,0.626785824217872,1.67260668873046,0.0193169147202039,0.100970707606448,-41.7274340653931,7.94706989411083,49.0814277510698,0.142715347759522,0.117313786667329,2,0.302517554294677
3,R0003,INFEASIBLE,0,-1.77626852383885,INFEASIBLE,0.08977777777777776,0.7566746031746034,-0.01469150734079468,0.11028566283852916,0.003376892051500819,-0.0018108632302593537,0.02130138384821879,-0.09877640261492379,-0.02001017270229388,0.004352511216267443,-0.06120353876196965,-0.006055300887424617,-0.005230470192449529,0.29188889912308064,0.004116400762975502,0.014381109064144628,0.019335048132535754,-0.1924735328788295,-0.0007277865006039682,0.006205854651682278,-0.045944637846201265,0.1647656273470118,0.023805395255149287,-0.0017833326631613443,0.09549434909807406,0.007956907235540205,0.005583879493276992,-0.5834043423033279,-0.0064456100085858985,-0.01625075552049506,-0.01469150734079468,0.11028566283852916,0.003376892051500819,-0.0018108632302593537,0.02130138384821879,-0.09877640261492379,-0.02001017270229388,0.004352511216267443,-0.06120353876196965,-0.006055300887424617,-0.005230470192449529,0.29188889912308064,0.004116400762975502,0.014381109064144628,0.010047966549053633,-0.028097792798228972,-0.006025997602397684,-0.00258412819116357,0.003341870149763528,0.032787177882836034,0.016214950149438384,-0.00692168976937357,0.026912728425865444,0.004153694539309018,0.004877060891622066,-0.0003734559428349267,-0.001787191517365107,-0.012511462607794207,0.503001622142429,41.8405813086407,9.47249608847142,0.631499739231428,0.98575579362534,0.0373519954675657,0.059910104544926,-42.4270155009749,6.33148993961315,33.0527581697589,0.137173205501234,0.24727054952588,4,0.159151827926813
4,R0004,EASY,2,2.27365865267971,EASY,0.9863888888888888,0.0038888888888888883,0.01650955106532857,0.061157227596617306,0.0063230313173903525,0.00725809356334066,0.015105838719456153,0.0922148047444555,0.01656081155981757,0.012863813488625673,0.026503504361233107,0.010321644651112544,-0.0001621360106599368,0.34232824950238705,0.002409564143208491,0.005258779075465689,0.030731271930969445,0.11603020901573825,0.01050753805153569,0.012344202851506546,0.02740992754754614,0.17032106406284475,0.029474503056126186,0.021900486743041077,0.048432796953821786,0.02191433656893691,0.002725102949730787,0.6251142595972443,0.00270665652032108,0.0059015330395301244,-0.014221720865640873,-0.05487298141912095,-0.004184506734145337,-0.005086109288165886,-0.012304088828089987,-0.07810625931838927,-0.012913691496308617,-0.009036673254415406,-0.021929292592588676,-0.011592691917824369,-0.002887238960390724,-0.2827860100948573,-0.00029709237711258925,-0.0006427539640644351,-0.0022878301996877505,-0.006284246177496706,-0.0021385245832450214,-0.00217198427517475,-0.0028017498913660934,-0.01410854542606597,-0.0036471200635088768,-0.0038271402342102572,-0.0045742117686444475,0.0012710472667118488,0.0030493749710506475,-0.059542239407532095,-0.002112471766095894,-0.00461602511140126,0.689012783874128,109.398299432357,10.8246500324254,0.721643335495029,1.86543816556375,0.0365471550809134,0.0853675553436372,-41.0079909534073,8.05386716811932,33.4140773047215,0.123047714092491,0.057392709820752,3,0.228028163447768
5,R0005,EASY,2,1.754363045125,EASY,0.8565158730158732,0.07905555555555557,0.016340637895306754,-0.058317638011898584,0.015706164210158868,0.0140867199199052,0.010750927606391797,-0.04538625348708765,0.007648848819493606,0.016863890381369668,0.025262923772684007,0.0057225130236374,0.011232747303011303,0.46117801541367875,0.007261296850897853,-0.003571031792787564,0.024853697800580887,-0.11397132347273917,0.031964935283296185,0.028218437153713142,0.02286333132743571,-0.09075508808318297,0.006824462039015211,0.026713211072898653,0.05184544693174052,0.011947694596534445,0.014841923423770787,0.8919206884611022,0.009998883495851988,0.003207906319188877,-0.008513059905274135,0.055653685460840575,-0.016258771073137317,-0.014131717233807942,-0.012112403721043915,0.045368834596095316,0.0008243867804783958,-0.009849320691528987,-0.026582523159056518,-0.0062251815728970455,-0.003609176120759485,-0.4307426730474235,-0.002737586644954135,-0.006778938111976441,-0.007827577990032596,0.0026639525510579317,0.0005526068629784604,4.499731390271825e-05,0.001361476114652042,1.7418890992343024e-05,-0.008473235599972049,-0.007014569689840786,0.0013195993863724456,0.0005026685492596288,-0.007623571182251832,-0.030435342366256214,-0.004523710205943728,0.010349969904763973,1.19938436671167,30.0026068023538,8.83795803839496,0.589197202559664,1.79331043182861,0.0174023232586942,0.160127384172173,-39.4717152020351,7.54749615964442,35.9457711484664,0.0175994226028478,0.0089514732063288,4,0.442057815118713
6,R0006,FRAGILE,1,0.0,FRAGILE,0.10778571428571428,0.3354285714285714,0.02669945274335941,0.049298887386132834,0.01097153349516756,0.01099310969289428,0.04043474368870886,0.09492179163022835,0.03553615394346171,0.012264934068994832,0.0038679012078556524,0.055641266001202734,0.01459439786173417,0.08219994317758211,0.004191337638117548,0.0016563728613851146,0.03702802548515795,0.10120251682098538,0.00817838780465691,0.005763025876443553,0.07387623806353205,0.23027434227707144,0.046514649585831694,0.0013677229192197663,-0.10875042178589236,0.09717118843709617,-0.002005277463737515,-0.5798009378799515,0.002157467271235197,0.002394104334383209,-0.03186373911425863,-0.075250702103559,-0.009574960649912263,-0.0083780677846689,-0.05715549087612061,-0.1625980669536507,-0.041025401764646634,-0.006816328494107306,0.052441260289018445,-0.07640622721914961,-0.006294560198998326,0.24880049735118506,-0.0031744024546763697,-0.0020252385978841584,0.02669945274335941,0.049298887386132834,0.01097153349516756,0.01099310969289428,0.04043474368870886,0.09492179163022835,0.03553615394346171,0.012264934068994832,0.0038679012078556524,0.055641266001202734,0.01459439786173417,0.08219994317758211,0.004191337638117548,0.0016563728613851146,0.829735514007218,79.8962088372627,10.8098426882024,0.720656179213493,1.95124718809804,0.0373305976923969,0.080596551888793,-48.3414713869755,11.8283499525465,28.5400449854355,0.0564146725744233,0.209578889103885,5,0.181804601443928
7,R0007,EASY,2,2.67045788640601,EASY,0.9161666666666666,0.036500000000000005,-0.0014500624954695259,0.054485050398655095,0.01002381828587555,0.005805744771214327,-0.021709712455303072,0.07770002198017528,-0.02475743529722423,0.016700024116566573,0.028190393830437043,0.015721832810421325,0.004492593206741561,0.3783179942629711,-0.002393519549299405,0.0033038116897937233,-0.005874543385697014,0.108376721215293,0.015210281528570587,0.008945947443677656,-0.034692368075642036,0.14705184052252293,-0.04641879187827626,0.029407939481508473,0.06573977255121802,0.031934608322658306,0.00506002848740558,0.6957011613150096,-0.0039669962637348035,0.0062049542910415775,0.004424480890227488,-0.053891670816637906,-0.005186463242695038,-0.00314020267246333,0.012982655620338963,-0.06935181854234765,0.021661356581052033,-0.012707915364941902,-0.03754937872078097,-0.016212775512236977,-0.0005674352806640191,-0.3173831670520385,0.0015734767144353983,-0.0029011426012478542,-0.0029744183947579663,-0.0005933795820174289,-0.0048373550431805015,-0.0026655420987509934,0.008727056834964041,-0.008348203437827854,0.003096078716172235,-0.003992108751624693,0.009358984890343607,0.0004909427018156006,-0.003925157926077571,-0.06093482721093213,0.000820042834864007,-0.000402669088545873,1.60612545656604,118.347183735117,9.33833020027904,0.62255534668527,0.94941260653112,0.0317746259231077,0.228858741302987,-35.7533446908193,6.38057181811749,33.594701588335,0.0585350788395538,0.0290364670103973,5,0.325376903678207
8,R0008,INFEASIBLE,0,-1.70832122079064,INFEASIBLE,0.04144444444444444,0.8955555555555558,0.01518510475285452,0.12142574290302574,0.00785764509449744,0.0065595853592623375,0.006917594554915881,0.0406419737230505,0.016593688019921407,0.004113265185417989,0.04273122578173158,-0.03258802849607157,0.005839330465173692,0.13342080872907291,0.0024213380208830703,0.009686281461818517,-0.028884936318424717,-0.22270061173272415,-0.010424351936189477,-0.00949918577555554,-0.024603131706724297,-0.0578081927600054,-0.02485931597813671,-0.004572255752085828,-0.07547868180671878,0.0512463499528443,-0.007160324083556572,-0.28312678938536284,-0.0016057745502315109,-0.011620020389349724,0.01518510475285452,0.12142574290302574,0.00785764509449744,0.0065595853592623375,0.006917594554915881,0.0406419737230505,0.016593688019921407,0.004113265185417989,0.04273122578173158,-0.03258802849607157,0.005839330465173692,0.13342080872907291,0.0024213380208830703,0.009686281461818517,-0.0014852731872843539,-0.020150874073329023,-0.005290938252805453,-0.0036199849429691348,0.010767942596892444,-0.023475754686095706,-0.008328060061706133,-0.0036542746187501465,-0.00998376975674435,0.013929707039298727,-0.004518336846790821,0.016285171927216676,-0.00323690149153463,-0.00775254253428731,1.58490164867255,25.050235900846,10.2215898002244,0.681439320014963,0.916891222684164,0.0210287713441137,0.174360294169268,-43.7858890150097,10.0644880145635,30.0344893675809,0.0669190755994681,0.116680873371933,4,0.256850303762696
9,R0009,INFEASIBLE,0,-1.25932008988403,INFEASIBLE,0.11671428571428571,0.7680555555555556,-0.009213010098275123,0.12285457806735821,0.0006310811894336228,0.0029483086617890643,-0.0038838309695791553,-0.024474799215792303,0.0007722646762889791,-0.005430870254173618,-0.014265888364374818,0.014460988519406581,0.007493600926302023,0.14997287767001594,-0.000171691093231338,0.011611945840387116,0.019136619991498138,-0.23208597125068975,-0.0008219717876317131,-0.0064366004017330485,0.005024026625451034,0.04276491546262244,0.007816807089905618,0.011129415016435246,0.02802407663866377,-0.02466666001199534,-0.00892434298390367,-0.3361614279721499,0.0007735549764803405,-0.013899822345333521,-0.009213010098275123,0.12285457806735821,0.0006310811894336228,0.0029483086617890643,-0.0038838309695791553,-0.024474799215792303,0.0007722646762889791,-0.005430870254173618,-0.014265888364374818,0.014460988519406581,0.007493600926302023,0.14997287767001594,-0.000171691093231338,0.011611945840387116,-0.0007105997949478506,-0.013623184884026742,-0.0004401905912355458,0.0005399830781549215,0.002743635313707291,0.006184682968962136,-0.009361336442483692,-0.00026767450808802643,0.0005077000900859597,-0.0042553170268178255,-0.0060628588687003885,0.03621567263211778,-0.00043017279001766895,-0.009324069335440712,0.826915833894756,39.8489842491799,10.7378250558643,0.715855003724287,1.78923308895481,0.0245633819490671,0.113394374070889,-39.0703555381879,8.22373239955575,37.1549331254306,0.0818801156048036,0.122678518985722,4,0.227231918203584
10,R0010,EASY,2,2.16521636653409,EASY,0.8617539682539683,0.06088888888888889,0.01115349566614588,-0.018919334932559248,0.000815405050594374,-0.000439046213028157,-0.006528267337727422,0.006357475898910941,0.007779621645935739,0.02240565656713934,-0.03802750252378868,0.019268150553480343,0.020880959135656477,0.454345144360531,0.00316893799238854,0.007757161279177024,0.017845415599271247,-0.030821968342454008,0.0005475427018421011,-0.0016592536306940541,-0.007819763381290236,-0.0040134325947699155,0.008525503936641027,0.03904953410469027,-0.06620919085696479,0.03873762504968044,0.03353232601921089,0.9040669339498266,0.003555964962859376,0.008541730736120957,-0.006691919933125369,0.011902633409894761,0.00026786234875227294,0.0012202074176658972,0.0012914960435628131,0.010370908493680856,-0.0007458822907052884,-0.016643877537550932,0.02818168833317612,-0.019469474496200095,-0.012651366883554413,-0.44972178958929565,-0.00038702697047083613,-0.0007845694569439329,-0.00446157573302056,0.007016701522664237,-0.0010832673993466462,-0.0007811612046377364,0.005236771294164611,-0.016728384392591878,-0.007033739355230465,-0.005761779029588461,0.009845814190612555,0.00020132394271980876,-0.008229592252102175,-0.004623354771238624,-0.00278191102191771,-0.006972591822233129,1.40805797836092,46.8709440633859,12.1957494845683,0.813049965637886,1.03367886834452,0.0206113852838756,0.178556432524055,-38.9046477387026,13.5135687348463,31.5046208243412,0.0069561522381212,0.0415158310617478,3,0.216940519117479
