rocket_id,current_regime,target_regime,improvement_rank,limiting_factor,current_value,easy_median_value,required_change_pct,prob_lift_to_target_regime
R0015,INFEASIBLE,FRAGILE,4,mass,0.983172,1.544939,57.14,0.0142
R0015,INFEASIBLE,FRAGILE,5,thrust,34.305105,35.274838,2.83,0.0125
R0016,FRAGILE,EASY,1,backlash,0.142437,0.046223,-67.55,0.691
R0016,FRAGILE,EASY,2,best_u_max_frac,0.963328,0.744226,-22.74,0.0483
R0016,FRAGILE,EASY,3,max_gimbal_deg,14.449915,11.163395,-22.74,0.0456
R0016,FRAGILE,EASY,4,thrust,44.326814,35.274838,-20.42,0.0298
R0016,FRAGILE,EASY,5,control_effectiveness,10.268849,8.881821,-13.51,0.0286
R0017,INFEASIBLE,FRAGILE,1,backlash,0.087024,0.046223,-46.88,0.1128
R0017,INFEASIBLE,FRAGILE,2,p_unstable,2.107001,1.152109,-45.32,0.0474
R0017,INFEASIBLE,FRAGILE,3,Iyy,0.012651,0.027866,120.27,0.0399
R0017,INFEASIBLE,FRAGILE,4,static_margin,0.210897,0.130246,-38.24,0.0339
R0017,INFEASIBLE,FRAGILE,5,control_effectiveness,11.900807,8.881821,-25.37,0.0233
R0021,INFEASIBLE,FRAGILE,1,backlash,0.18556,0.046223,-75.09,0.2526
R0021,INFEASIBLE,FRAGILE,2,Iyy,0.012362,0.027866,125.42,0.0237
R0021,INFEASIBLE,FRAGILE,3,control_effectiveness,10.877514,8.881821,-18.35,0.0123
R0021,INFEASIBLE,FRAGILE,4,wind_strength,0.204663,0.245771,20.09,0.008
R0021,INFEASIBLE,FRAGILE,5,thrust,38.833407,35.274838,-9.16,0.004
R0022,INFEASIBLE,FRAGILE,1,p_unstable,1.748471,1.152109,-34.11,0.0446
R0022,INFEASIBLE,FRAGILE,2,thrust,28.429108,35.274838,24.08,0.0275
R0022,INFEASIBLE,FRAGILE,3,deadband,0.139988,0.079617,-43.13,0.0256
R0022,INFEASIBLE,FRAGILE,4,best_u_max_frac,0.590034,0.744226,26.13,0.0234
R0022,INFEASIBLE,FRAGILE,5,mass,1.415957,1.544939,9.11,0.0219
R0023,INFEASIBLE,FRAGILE,1,servo_slew_deg_s,31.745899,74.855953,135.8,0.0238
R0023,INFEASIBLE,FRAGILE,2,mass,1.766413,1.544939,-12.54,0.0233
R0023,INFEASIBLE,FRAGILE,3,max_gimbal_deg,14.796001,11.163395,-24.55,0.0204
R0023,INFEASIBLE,FRAGILE,4,best_u_max_frac,0.9864,0.744226,-24.55,0.0195
R0023,INFEASIBLE,FRAGILE,5,thrust,30.957842,35.274838,13.94,0.004
R0024,INFEASIBLE,FRAGILE,1,p_unstable,1.744369,1.152109,-33.95,0.0718
R0024,INFEASIBLE,FRAGILE,2,Cm_alpha,-68.678198,-48.954533,28.72,0.0655
R0024,INFEASIBLE,FRAGILE,3,servo_slew_deg_s,31.4843,74.855953,137.76,0.0432
R0024,INFEASIBLE,FRAGILE,4,mass,1.882434,1.544939,-17.93,0.0218
R0024,INFEASIBLE,FRAGILE,5,Iyy,0.022569,0.027866,23.47,0.0198
R0025,INFEASIBLE,FRAGILE,1,backlash,0.19319,0.046223,-76.07,0.1437
R0025,INFEASIBLE,FRAGILE,2,p_unstable,2.307072,1.152109,-50.06,0.018
R0025,INFEASIBLE,FRAGILE,3,best_u_max_frac,0.836843,0.744226,-11.07,0.0094
R0025,INFEASIBLE,FRAGILE,4,Iyy,0.018948,0.027866,47.07,0.0086
R0025,INFEASIBLE,FRAGILE,5,Cm_alpha,-65.956089,-48.954533,25.78,0.0077
R0027,INFEASIBLE,FRAGILE,1,static_margin,0.208953,0.130246,-37.67,0.0345
R0027,INFEASIBLE,FRAGILE,2,backlash,0.192286,0.046223,-75.96,0.0327
R0027,INFEASIBLE,FRAGILE,3,mass,1.721876,1.544939,-10.28,0.015
R0027,INFEASIBLE,FRAGILE,4,best_u_max_frac,0.834668,0.744226,-10.84,0.0117
R0027,INFEASIBLE,FRAGILE,5,thrust,45.39479,35.274838,-22.29,0.0117
R0029,INFEASIBLE,FRAGILE,1,control_effectiveness,13.416165,8.881821,-33.8,0.0332
R0029,INFEASIBLE,FRAGILE,2,servo_slew_deg_s,42.531139,74.855953,76.0,0.0307
R0029,INFEASIBLE,FRAGILE,3,p_unstable,1.272325,1.152109,-9.45,0.0136
R0029,INFEASIBLE,FRAGILE,4,best_u_max_frac,0.729403,0.744226,2.03,0.0083
R0029,INFEASIBLE,FRAGILE,5,static_margin,0.147752,0.130246,-11.85,0.0081
R0031,FRAGILE,EASY,1,backlash,0.085043,0.046223,-45.65,0.4028
R0031,FRAGILE,EASY,2,Iyy,0.020008,0.027866,39.28,0.2233
R0031,FRAGILE,EASY,3,control_effectiveness,12.901614,8.881821,-31.16,0.198
R0031,FRAGILE,EASY,4,latency_steps,1.0,4.0,300.0,0.086
R0031,FRAGILE,EASY,5,wind_strength,0.286608,0.245771,-14.25,0.0406
R0032,INFEASIBLE,FRAGILE,1,Cm_alpha,-56.447765,-48.954533,13.27,0.0218
R0032,INFEASIBLE,FRAGILE,2,mass,1.805467,1.544939,-14.43,0.0167
R0032,INFEASIBLE,FRAGILE,3,max_gimbal_deg,14.048809,11.163395,-20.54,0.0144
R0032,INFEASIBLE,FRAGILE,4,control_effectiveness,10.16763,8.881821,-12.65,0.0103
R0032,INFEASIBLE,FRAGILE,5,best_u_max_frac,0.936587,0.744226,-20.54,0.0056
R0034,FRAGILE,EASY,1,backlash,0.128579,0.046223,-64.05,0.5022
R0034,FRAGILE,EASY,2,static_margin,0.228804,0.130246,-43.08,0.1096
R0034,FRAGILE,EASY,3,thrust,36.813761,35.274838,-4.18,0.1009
R0034,FRAGILE,EASY,4,Iyy,0.02134,0.027866,30.59,0.068
R0034,FRAGILE,EASY,5,best_u_max_frac,0.810367,0.744226,-8.16,0.0347
R0036,FRAGILE,EASY,1,backlash,0.181371,0.046223,-74.51,0.7103
R0036,FRAGILE,EASY,2,thrust,38.995636,35.274838,-9.54,0.061
R0036,FRAGILE,EASY,3,best_u_max_frac,0.937137,0.744226,-20.59,0.0252
R0036,FRAGILE,EASY,4,servo_slew_deg_s,63.225681,74.855953,18.39,0.0233
R0036,FRAGILE,EASY,5,max_gimbal_deg,14.057053,11.163395,-20.59,0.0213
R0037,INFEASIBLE,FRAGILE,1,Iyy,0.02098,0.027866,32.83,0.0896
R0037,INFEASIBLE,FRAGILE,2,control_effectiveness,10.880849,8.881821,-18.37,0.0423
R0037,INFEASIBLE,FRAGILE,3,backlash,0.115826,0.046223,-60.09,0.038
R0037,INFEASIBLE,FRAGILE,4,p_unstable,1.657731,1.152109,-30.5,0.0377
R0037,INFEASIBLE,FRAGILE,5,servo_slew_deg_s,42.630833,74.855953,75.59,0.0364
R0038,INFEASIBLE,FRAGILE,1,backlash,0.219141,0.046223,-78.91,0.1659
R0038,INFEASIBLE,FRAGILE,2,Iyy,0.01179,0.027866,136.36,0.02
R0038,INFEASIBLE,FRAGILE,3,p_unstable,2.670203,1.152109,-56.85,0.0134
R0038,INFEASIBLE,FRAGILE,4,servo_slew_deg_s,49.673139,74.855953,50.7,0.0095
R0038,INFEASIBLE,FRAGILE,5,mass,1.999501,1.544939,-22.73,0.0052
R0043,INFEASIBLE,FRAGILE,1,backlash,0.198446,0.046223,-76.71,0.1001
R0043,INFEASIBLE,FRAGILE,2,Iyy,0.022863,0.027866,21.88,0.0168
R0043,INFEASIBLE,FRAGILE,3,best_u_max_frac,0.939668,0.744226,-20.8,0.0152
R0043,INFEASIBLE,FRAGILE,4,servo_slew_deg_s,66.457041,74.855953,12.64,0.0075
R0043,INFEASIBLE,FRAGILE,5,max_gimbal_deg,14.09502,11.163395,-20.8,0.0073
R0044,FRAGILE,EASY,1,backlash,0.243331,0.046223,-81.0,0.656
R0044,FRAGILE,EASY,2,servo_slew_deg_s,47.954691,74.855953,56.1,0.0685
R0044,FRAGILE,EASY,3,best_u_max_frac,0.955836,0.744226,-22.14,0.0453
R0044,FRAGILE,EASY,4,Cm_alpha,-56.5049,-48.954533,13.36,0.0244
R0044,FRAGILE,EASY,5,latency_steps,1.0,4.0,300.0,0.0212
R0046,INFEASIBLE,FRAGILE,1,backlash,0.169591,0.046223,-72.74,0.1616
R0046,INFEASIBLE,FRAGILE,2,Iyy,0.013164,0.027866,111.69,0.0957
R0046,INFEASIBLE,FRAGILE,3,control_effectiveness,11.06653,8.881821,-19.74,0.0281
R0046,INFEASIBLE,FRAGILE,4,servo_slew_deg_s,63.943518,74.855953,17.07,0.0094
R0046,INFEASIBLE,FRAGILE,5,wind_strength,0.149482,0.245771,64.42,0.0087
R0047,FRAGILE,EASY,1,backlash,0.105945,0.046223,-56.37,0.5359
R0047,FRAGILE,EASY,2,Iyy,0.01233,0.027866,126.0,0.3331
R0047,FRAGILE,EASY,3,Cm_alpha,-57.725154,-48.954533,15.19,0.0819
R0047,FRAGILE,EASY,4,static_margin,0.051273,0.130246,154.02,0.0336
R0047,FRAGILE,EASY,5,max_gimbal_deg,13.072633,11.163395,-14.6,0.0211
R0048,INFEASIBLE,FRAGILE,1,Iyy,0.012203,0.027866,128.35,0.1953
R0048,INFEASIBLE,FRAGILE,2,backlash,0.142514,0.046223,-67.57,0.0654
R0048,INFEASIBLE,FRAGILE,3,control_effectiveness,11.843036,8.881821,-25.0,0.0451
R0048,INFEASIBLE,FRAGILE,4,Cm_alpha,-32.588769,-48.954533,-50.22,0.0136
R0048,INFEASIBLE,FRAGILE,5,deadband,0.023822,0.079617,234.22,0.0094
R0049,INFEASIBLE,FRAGILE,1,backlash,0.207235,0.046223,-77.7,0.0602
R0049,INFEASIBLE,FRAGILE,2,static_margin,0.216445,0.130246,-39.83,0.0214
R0049,INFEASIBLE,FRAGILE,3,Iyy,0.022462,0.027866,24.06,0.0088
R0049,INFEASIBLE,FRAGILE,4,p_unstable,1.900834,1.152109,-39.39,0.0082
R0049,INFEASIBLE,FRAGILE,5,best_u_max_frac,0.686784,0.744226,8.36,0.0078
R0052,INFEASIBLE,FRAGILE,1,p_unstable,2.285516,1.152109,-49.59,0.1039
R0052,INFEASIBLE,FRAGILE,2,thrust,44.049867,35.274838,-19.92,0.0514
R0052,INFEASIBLE,FRAGILE,3,static_margin,0.205664,0.130246,-36.67,0.0497
R0052,INFEASIBLE,FRAGILE,4,Cm_alpha,-64.828587,-48.954533,24.49,0.0494
R0052,INFEASIBLE,FRAGILE,5,wind_strength,0.357524,0.245771,-31.26,0.0204
R0054,FRAGILE,EASY,1,backlash,0.111595,0.046223,-58.58,0.4876
R0054,FRAGILE,EASY,2,servo_slew_deg_s,35.047239,74.855953,113.59,0.1993
R0054,FRAGILE,EASY,3,control_effectiveness,10.534896,8.881821,-15.69,0.0578
R0054,FRAGILE,EASY,4,latency_steps,1.0,4.0,300.0,0.0449
R0054,FRAGILE,EASY,5,static_margin,0.185004,0.130246,-29.6,0.0439
R0056,FRAGILE,EASY,1,backlash,0.150367,0.046223,-69.26,0.5183
R0056,FRAGILE,EASY,2,control_effectiveness,13.847033,8.881821,-35.86,0.1225
R0056,FRAGILE,EASY,3,best_u_max_frac,0.53428,0.744226,39.3,0.0413
R0056,FRAGILE,EASY,4,wind_strength,0.397747,0.245771,-38.21,0.0269
R0056,FRAGILE,EASY,5,latency_steps,3.0,4.0,33.33,0.0264
R0057,INFEASIBLE,FRAGILE,1,best_u_max_frac,0.981484,0.744226,-24.17,0.0379
R0057,INFEASIBLE,FRAGILE,2,max_gimbal_deg,14.722262,11.163395,-24.17,0.0286
R0057,INFEASIBLE,FRAGILE,3,backlash,0.168277,0.046223,-72.53,0.0189
R0057,INFEASIBLE,FRAGILE,4,static_margin,0.14876,0.130246,-12.45,0.0158
R0057,INFEASIBLE,FRAGILE,5,control_effectiveness,8.688152,8.881821,2.23,0.0113
R0058,INFEASIBLE,FRAGILE,1,backlash,0.179415,0.046223,-74.24,0.1181
R0058,INFEASIBLE,FRAGILE,2,static_margin,0.201619,0.130246,-35.4,0.0508
R0058,INFEASIBLE,FRAGILE,3,p_unstable,2.915235,1.152109,-60.48,0.0447
R0058,INFEASIBLE,FRAGILE,4,thrust,30.297154,35.274838,16.43,0.0056
R0058,INFEASIBLE,FRAGILE,5,Iyy,0.031661,0.027866,-11.98,0.0036
R0059,INFEASIBLE,FRAGILE,1,servo_slew_deg_s,46.368558,74.855953,61.44,0.0571
R0059,INFEASIBLE,FRAGILE,2,p_unstable,0.989967,1.152109,16.38,0.0217
R0059,INFEASIBLE,FRAGILE,3,thrust,48.141756,35.274838,-26.73,0.0214
R0059,INFEASIBLE,FRAGILE,4,wind_strength,0.380364,0.245771,-35.39,0.0164
R0059,INFEASIBLE,FRAGILE,5,static_margin,0.109105,0.130246,19.38,0.0149
R0061,INFEASIBLE,FRAGILE,1,backlash,0.146522,0.046223,-68.45,0.0819
R0061,INFEASIBLE,FRAGILE,2,Iyy,0.018597,0.027866,49.85,0.054
R0061,INFEASIBLE,FRAGILE,3,control_effectiveness,11.006198,8.881821,-19.3,0.0342
R0061,INFEASIBLE,FRAGILE,4,max_gimbal_deg,13.792862,11.163395,-19.06,0.0166
R0061,INFEASIBLE,FRAGILE,5,Cm_alpha,-62.502505,-48.954533,21.68,0.0157
R0063,INFEASIBLE,FRAGILE,1,backlash,0.221978,0.046223,-79.18,0.0907
R0063,INFEASIBLE,FRAGILE,2,Iyy,0.021631,0.027866,28.83,0.0274
R0063,INFEASIBLE,FRAGILE,3,control_effectiveness,12.19013,8.881821,-27.14,0.0172
R0063,INFEASIBLE,FRAGILE,4,p_unstable,1.440895,1.152109,-20.04,0.0163
R0063,INFEASIBLE,FRAGILE,5,servo_slew_deg_s,68.710526,74.855953,8.94,0.0089
R0064,INFEASIBLE,FRAGILE,1,Iyy,0.018448,0.027866,51.05,0.076
R0064,INFEASIBLE,FRAGILE,2,backlash,0.174331,0.046223,-73.49,0.0146
R0064,INFEASIBLE,FRAGILE,3,thrust,39.684234,35.274838,-11.11,0.008
R0064,INFEASIBLE,FRAGILE,4,best_u_max_frac,0.884191,0.744226,-15.83,0.0078
R0064,INFEASIBLE,FRAGILE,5,deadband,0.116021,0.079617,-31.38,0.0075
R0066,INFEASIBLE,FRAGILE,1,backlash,0.110606,0.046223,-58.21,0.078
R0066,INFEASIBLE,FRAGILE,2,Iyy,0.010766,0.027866,158.84,0.0681
R0066,INFEASIBLE,FRAGILE,3,control_effectiveness,10.284116,8.881821,-13.64,0.059
R0066,INFEASIBLE,FRAGILE,4,best_u_max_frac,0.985215,0.744226,-24.46,0.0266
R0066,INFEASIBLE,FRAGILE,5,max_gimbal_deg,14.778229,11.163395,-24.46,0.0199
R0068,INFEASIBLE,FRAGILE,1,p_unstable,2.543311,1.152109,-54.7,0.0667
R0068,INFEASIBLE,FRAGILE,2,static_margin,0.202888,0.130246,-35.8,0.0471
R0068,INFEASIBLE,FRAGILE,3,max_gimbal_deg,13.650482,11.163395,-18.22,0.0296
R0068,INFEASIBLE,FRAGILE,4,backlash,0.151355,0.046223,-69.46,0.0239
