wind_label,peak_ratio_vs_pid,rms_ratio_vs_pid,peak_ratio_vs_l1,rms_ratio_vs_l1,peak_ratio_vs_adrcfixed,rms_ratio_vs_adrcfixed,fail_reduction_vs_pid,fail_reduction_vs_adrcfixed,in5_gain_vs_pid_pct,in5_gain_vs_adrcfixed_pct,cmd_lag_rms_adaptive,sysid_gain_err,sysid_tau_err
5mps,0.1556,0.1121,0.0607,0.0373,1.0147,1.0052,0,0,43.2487,0.0000,0.926133,0.000006,0.005036
8mps,0.2064,0.1268,0.1407,0.0758,1.0643,1.0298,1,0,71.7705,-0.4184,1.292664,0.000008,0.005033
10mps,0.1189,0.0369,0.2860,0.1022,1.0206,1.0202,1,0,95.1361,-0.2523,1.392894,0.000007,0.005031
12mps,0.0766,0.0265,0.3839,0.1614,0.9976,0.9999,1,0,89.5555,0.2184,1.533433,0.000007,0.005029
15mps,0.0706,0.0248,0.7227,0.4020,1.0000,1.0080,1,0,78.4956,-0.8706,1.641501,0.000014,0.005030
20mps,0.0743,0.0507,0.8736,0.7812,1.0000,0.9994,0,0,49.1309,0.7783,1.385548,0.000016,0.005028
