param,value
score,0.365011
lambda_rls,0.960000
drift_threshold,0.150000
omega_o_rate,0.500000
prbs_amp,0.300000
prbs_duration,2.000000
recovery_gain,0.000000
recovery_time_gain,0.725667
nominal_score,0.979613
sysid_score,0.979857
