Iyy,keff,td,wind,latency,best_Kd,coarse_peak_sr,kp_floor,kp_ceil,window_ratio,opt_Kp,opt_rms,floor_cens,ceil_cens,infeasible
0.003,39.269908169872416,314.1592653589793,0.1,1,0.2670332406792172,1.0,0.05000819042202011,600.0,11998.0346206609,86.06585243073603,0.33316187080524656,False,True,False
0.0037214155039839436,31.657234829998586,253.2578786399887,0.1,1,0.2974122005151825,1.0,0.05000819042202011,600.0,11998.0346206609,96.46329988490615,0.3323199464265881,False,True,False
0.004616311117764017,25.520317306230485,204.16253844984388,0.1,1,0.3312472139809047,1.0,0.05000819042202011,600.0,11998.0346206609,108.68709221731379,0.32778012581277777,False,True,False
0.005726403921620151,20.573072755979418,164.58458204783534,0.1,1,0.36893145802372695,1.0,0.05,600.0,12000.0,69.21033719091548,0.3380107693826276,True,True,False
0.0071034427786638935,16.584876964656342,132.67901571725073,0.1,1,0.4109028392533417,1.0,0.05,600.0,12000.0,72.36466200902926,0.34512468382019673,True,True,False
0.008811620696060863,13.369813405867864,106.95850724694292,0.1,1,0.45764908259896614,1.0,0.05,600.0,12000.0,67.22062996597343,0.360347568638095,True,True,False
0.010930567291182214,10.778006426496765,86.22405141197412,0.1,1,0.5097133988761356,1.0,0.05,600.0,12000.0,70.46938134531077,0.3824601266712369,True,True,False
0.013559060861581752,8.688634538356514,69.50907630685211,0.1,1,0.5677007971226066,1.0,0.05,600.0,12000.0,83.94808244321916,0.415788045173362,True,True,False
0.016819633103250724,7.004298119133657,56.03438495306926,0.1,1,0.3232532269234918,1.0,0.05,600.0,12000.0,50.99245190253003,0.3370411893074985,True,True,False
0.02086428113391959,5.646478963422852,45.171831707382815,0.1,1,0.36002803732753297,1.0,0.05,600.0,12000.0,48.18092195539345,0.3492219839934281,True,True,False
0.025881553097082673,4.551880023107908,36.415040184863265,0.1,1,0.40098652346197383,1.0,0.05,600.0,12000.0,53.54387036889609,0.35220312874484466,True,True,False
0.03210533765422235,3.669474707864455,29.35579766291564,0.1,1,0.4466046399931968,1.0,0.05,600.0,12000.0,64.6697650394495,0.3556715565300954,True,True,False
0.039825767102354144,2.9581281939112576,23.66502555129006,0.1,1,0.4974124884333365,1.0,0.05,600.0,12000.0,97.38566242476456,0.38193814541843024,True,True,False
0.04940274238425145,2.3846798542740917,19.077438834192733,0.1,1,0.39652272806083777,1.0,0.05,600.0,12000.0,73.68108825957522,0.3742277072292277,True,True,False
0.06128271048269263,1.922397419789206,15.379179358313648,0.1,1,0.31545215870849286,1.0,0.05,600.0,12000.0,63.24460676468237,0.38795098977815573,True,True,False
0.07601947630548388,1.5497308089337456,12.397846471469965,0.1,1,0.35133948283038335,1.0,0.05,600.0,12000.0,12.918707465831387,0.3726677966926051,True,True,False
0.09430001924265584,1.2493075341423365,9.994460273138692,0.1,1,0.0,1.0,0.05,600.0,12000.0,28.23002308283546,0.6346873632191451,True,True,False
0.11697651787853444,1.0071228537675228,8.056982830140182,0.1,1,0.0,1.0,0.05,600.0,12000.0,21.4712267173141,0.6630380685801197,True,True,False
