rocket_id,td,original_label,orig_Kp,orig_Kd,new_Kp,new_Kd,kp_ratio_new_over_orig,label_orig_gains_freshseed,nom_sr_orig_gains,under_sr_orig_gains,over_sr_orig_gains,label_new_gains_freshseed,nom_sr_new_gains,under_sr_new_gains,over_sr_new_gains,flip_from_seed_noise,flip_from_search,flip_from_original
R0487,204.43193191159588,EASY,59.21,1.0,58.65987877815546,1.0,0.9907089812220141,EASY,0.8571428571428571,1.0,1.0,EASY,1.0,1.0,1.0,0,0,0
R1425,15.928245093160486,EASY,19.48,1.0,82.35745631970453,1.0,4.227795498958137,EASY,1.0,1.0,1.0,FRAGILE,1.0,1.0,0.5714285714285714,0,1,1
R0685,36.917723816149326,EASY,81.89,1.0,82.35745631970453,1.0,1.005708344360783,EASY,1.0,1.0,1.0,EASY,1.0,1.0,1.0,0,0,0
R2045,25.123874709037796,EASY,81.89,1.0,82.35745631970453,1.0,1.005708344360783,EASY,1.0,1.0,1.0,EASY,1.0,1.0,1.0,0,0,0
R0826,22.063866392794925,EASY,81.89,1.0,82.35745631970453,1.0,1.005708344360783,EASY,1.0,1.0,1.0,EASY,1.0,1.0,1.0,0,0,0
R1945,10.251920416889122,EASY,88.81,1.0,82.35745631970453,1.0,0.9273444017532319,EASY,1.0,1.0,1.0,EASY,1.0,1.0,1.0,0,0,0
R0359,14.705966562599569,EASY,10.26,1.0,82.35745631970453,1.0,8.02704252628699,EASY,1.0,1.0,1.0,FRAGILE,0.7142857142857143,1.0,0.42857142857142855,0,1,1
R1355,17.229929034515393,EASY,96.31,1.0,82.35745631970453,1.0,0.8551288165268873,EASY,1.0,1.0,1.0,EASY,1.0,1.0,1.0,0,0,0
R0116,24.482537958192253,EASY,81.89,1.0,82.35745631970453,1.0,1.005708344360783,EASY,1.0,1.0,1.0,EASY,1.0,1.0,1.0,0,0,0
R1091,32.51601244618124,EASY,50.74,1.0,58.65987877815546,1.0,1.1560874808465798,EASY,1.0,1.0,1.0,EASY,1.0,1.0,1.0,0,0,0
R1711,20.082505794688693,EASY,81.89,1.0,82.35745631970453,1.0,1.005708344360783,EASY,1.0,1.0,1.0,EASY,1.0,1.0,1.0,0,0,0
