td,latency_steps,omega_c,sr,rms
20.006681237393053,1,2,1.0,0.9554493719728218
20.006681237393053,1,3,1.0,0.6438043728909721
20.006681237393053,1,5,1.0,0.5168156308785333
20.006681237393053,1,7,1.0,0.4810349247403808
20.006681237393053,1,10,1.0,0.48023830278725627
20.006681237393053,1,15,1.0,0.5049669933702391
20.006681237393053,1,20,1.0,0.6902816781735946
20.006681237393053,1,30,1.0,0.633381869950839
20.006681237393053,1,50,1.0,0.6803205981673127
20.006681237393053,1,80,0.3,16.177314468992922
20.006681237393053,1,120,0.5,9.063509439639136
20.006681237393053,2,2,1.0,0.9666236009005429
20.006681237393053,2,3,1.0,0.6427559024239248
20.006681237393053,2,5,1.0,0.5197409422654998
20.006681237393053,2,7,1.0,0.4831549884946774
20.006681237393053,2,10,1.0,0.49277959167495167
20.006681237393053,2,15,1.0,0.9408931334744522
20.006681237393053,2,20,1.0,0.9131836371995199
20.006681237393053,2,30,1.0,0.857223038705488
20.006681237393053,2,50,0.8,3.2499150817412987
20.006681237393053,2,80,0.3,17.119405766742993
20.006681237393053,2,120,0.5,10.855836322088951
20.006681237393053,3,2,1.0,0.9777689330613611
20.006681237393053,3,3,1.0,0.641158934574542
20.006681237393053,3,5,1.0,0.5241922424946404
20.006681237393053,3,7,1.0,0.491841627112521
20.006681237393053,3,10,1.0,0.7307581369714596
20.006681237393053,3,15,1.0,1.2503545632020192
20.006681237393053,3,20,1.0,1.1285571638231096
20.006681237393053,3,30,1.0,1.4831005211310224
20.006681237393053,3,50,0.9,4.307434842768461
20.006681237393053,3,80,0.2,16.03108809991611
20.006681237393053,3,120,0.5,10.093506405116662
20.006681237393053,4,2,1.0,0.9913393916320686
20.006681237393053,4,3,1.0,0.6474614361127079
20.006681237393053,4,5,1.0,0.5259460038582754
20.006681237393053,4,7,1.0,0.5220690068612439
20.006681237393053,4,10,1.0,1.5146308965197484
20.006681237393053,4,15,1.0,1.5609693567190823
20.006681237393053,4,20,1.0,1.5069473715105286
20.006681237393053,4,30,1.0,4.014652624950633
20.006681237393053,4,50,0.4,10.50838474345422
20.006681237393053,4,80,0.3,16.465551919622364
20.006681237393053,4,120,0.3,11.400889043306524
20.006681237393053,6,2,1.0,1.017655452371209
20.006681237393053,6,3,1.0,0.6667594622366124
20.006681237393053,6,5,1.0,0.5541907603451517
20.006681237393053,6,7,1.0,1.2784833904002926
20.006681237393053,6,10,1.0,2.446268391739496
20.006681237393053,6,15,1.0,2.378449552381686
20.006681237393053,6,20,1.0,3.2850813364814266
20.006681237393053,6,30,0.1,13.23212062466661
20.006681237393053,6,50,0.0,21.759062106941464
20.006681237393053,6,80,0.3,17.108481593738386
20.006681237393053,6,120,0.5,11.273323727421225
20.006681237393053,8,2,1.0,1.0473977423355672
20.006681237393053,8,3,1.0,0.6908081128806625
20.006681237393053,8,5,1.0,0.7369670837090901
20.006681237393053,8,7,1.0,3.3041227968952507
20.006681237393053,8,10,1.0,3.397060930444117
20.006681237393053,8,15,1.0,3.9074285273133262
20.006681237393053,8,20,0.5,7.319479523309764
20.006681237393053,8,30,0.0,23.969650494259774
20.006681237393053,8,50,0.0,33.121475286502076
20.006681237393053,8,80,0.2,17.804697055991316
20.006681237393053,8,120,0.3,13.400871131162608
20.006681237393053,10,2,1.0,1.0860701557035481
20.006681237393053,10,3,1.0,0.7445056572701508
20.006681237393053,10,5,1.0,1.8075682542248
20.006681237393053,10,7,1.0,4.6701636144108365
20.006681237393053,10,10,1.0,4.707131380584119
20.006681237393053,10,15,0.8,6.829792905704318
20.006681237393053,10,20,0.2,14.565073483182806
20.006681237393053,10,30,0.0,34.02338346649738
20.006681237393053,10,50,0.0,46.87079156647421
20.006681237393053,10,80,0.3,14.55986743570374
20.006681237393053,10,120,0.4,11.83219467414889
20.006681237393053,12,2,1.0,1.1393541987834717
20.006681237393053,12,3,1.0,0.8209083854617273
20.006681237393053,12,5,0.4,4.805744700132562
20.006681237393053,12,7,1.0,5.9084468401582155
20.006681237393053,12,10,1.0,6.129431629509488
20.006681237393053,12,15,0.5,11.274123022305586
20.006681237393053,12,20,0.0,24.40263757973036
20.006681237393053,12,30,0.0,44.87853622918077
20.006681237393053,12,50,0.0,50.95246096966336
20.006681237393053,12,80,0.2,18.315314905086982
20.006681237393053,12,120,0.4,11.81779856262981
90.5486166662971,1,2,1.0,1.3788537976874171
90.5486166662971,1,3,1.0,0.8595843433289317
90.5486166662971,1,5,1.0,0.5506648743675213
90.5486166662971,1,7,1.0,0.48771090466020006
90.5486166662971,1,10,1.0,0.48592608314417324
90.5486166662971,1,15,1.0,0.5149738774835548
90.5486166662971,1,20,0.5,3.393189034820375
90.5486166662971,1,30,0.0,47.32373638419925
90.5486166662971,1,50,0.0,145.84917789059475
90.5486166662971,1,80,0.0,805.9906319166762
90.5486166662971,1,120,0.0,396.84132841783264
90.5486166662971,2,2,1.0,1.3942832987696803
90.5486166662971,2,3,1.0,0.8611650046019683
90.5486166662971,2,5,1.0,0.549700126216319
90.5486166662971,2,7,1.0,0.489203411881194
90.5486166662971,2,10,1.0,0.4973653799526031
90.5486166662971,2,15,0.4,4.2893414759657125
90.5486166662971,2,20,0.0,15.49339509391395
90.5486166662971,2,30,0.0,87.57325578950345
90.5486166662971,2,50,0.0,177.45675617271743
90.5486166662971,2,80,0.0,700.8628664066448
90.5486166662971,2,120,0.0,450.3955018484473
90.5486166662971,3,2,1.0,1.411381195975955
90.5486166662971,3,3,1.0,0.8712520775723714
90.5486166662971,3,5,1.0,0.5572627079298977
90.5486166662971,3,7,1.0,0.4977442549649182
90.5486166662971,3,10,1.0,0.7544295845212943
90.5486166662971,3,15,0.1,10.263803972146361
90.5486166662971,3,20,0.0,33.64729029766026
90.5486166662971,3,30,0.0,129.25636327460734
90.5486166662971,3,50,0.0,201.54057369280798
90.5486166662971,3,80,0.0,808.248272879509
90.5486166662971,3,120,0.0,449.3795003338676
90.5486166662971,4,2,1.0,1.429084865434038
90.5486166662971,4,3,1.0,0.8736204220776707
90.5486166662971,4,5,1.0,0.5659115835976517
90.5486166662971,4,7,1.0,0.5218047457160787
90.5486166662971,4,10,0.6,4.653818879241459
90.5486166662971,4,15,0.0,16.35342363418243
90.5486166662971,4,20,0.0,55.244237702698896
90.5486166662971,4,30,0.0,146.73907909513972
90.5486166662971,4,50,0.0,224.54398023445592
90.5486166662971,4,80,0.0,661.5220372513242
90.5486166662971,4,120,0.0,448.4331406304435
90.5486166662971,6,2,1.0,1.4673273928222992
90.5486166662971,6,3,1.0,0.8929198122548208
90.5486166662971,6,5,1.0,0.6546486037064008
90.5486166662971,6,7,1.0,1.3610321083111447
90.5486166662971,6,10,0.3,14.089220193965355
90.5486166662971,6,15,0.0,35.723870252965
90.5486166662971,6,20,0.0,94.28906200748506
90.5486166662971,6,30,0.0,200.89717663228126
90.5486166662971,6,50,0.0,247.86566857074945
90.5486166662971,6,80,0.0,827.6752148679273
90.5486166662971,6,120,0.0,446.007963314044
90.5486166662971,8,2,1.0,1.5177042613613945
90.5486166662971,8,3,1.0,0.9250047733162884
90.5486166662971,8,5,1.0,0.937395117607208
90.5486166662971,8,7,0.5,8.351663585396095
90.5486166662971,8,10,0.0,21.872024020031727
90.5486166662971,8,15,0.0,64.39824771287202
90.5486166662971,8,20,0.0,132.73465404166228
90.5486166662971,8,30,0.0,218.56817109665198
90.5486166662971,8,50,0.0,294.4202996339044
90.5486166662971,8,80,0.0,858.5869535299908
90.5486166662971,8,120,0.0,443.12419341338284
90.5486166662971,10,2,1.0,1.58029488659548
90.5486166662971,10,3,1.0,0.9771003161583632
90.5486166662971,10,5,1.0,2.109294690485971
90.5486166662971,10,7,0.0,20.86558223021695
90.5486166662971,10,10,0.0,31.410686814614742
90.5486166662971,10,15,0.0,88.89891894055408
90.5486166662971,10,20,0.0,158.42979213440702
90.5486166662971,10,30,0.0,285.5631692254377
90.5486166662971,10,50,0.0,380.67072472441
90.5486166662971,10,80,0.0,770.3846692896434
90.5486166662971,10,120,0.0,439.7860215788102
90.5486166662971,12,2,1.0,1.6516535218445145
90.5486166662971,12,3,1.0,1.0548590839999483
90.5486166662971,12,5,0.3,5.702203574688445
90.5486166662971,12,7,0.0,27.17159193931035
90.5486166662971,12,10,0.0,46.44815586320277
90.5486166662971,12,15,0.0,118.59421183056611
90.5486166662971,12,20,0.0,230.93625139469873
90.5486166662971,12,30,0.0,333.77167505521663
90.5486166662971,12,50,0.0,358.4167125192829
90.5486166662971,12,80,0.0,680.0030410779748
90.5486166662971,12,120,0.0,435.9976190689732
199.88145765652598,1,2,0.3,8.826124372278072
199.88145765652598,1,3,1.0,4.57477135151394
199.88145765652598,1,5,1.0,2.396018215410667
199.88145765652598,1,7,1.0,1.996396676481363
199.88145765652598,1,10,1.0,2.063165460763157
199.88145765652598,1,15,0.2,5.447555599655917
199.88145765652598,1,20,0.5,7.512957022442727
199.88145765652598,1,30,0.0,18.127417158917627
199.88145765652598,1,50,0.0,147.74962736666342
199.88145765652598,1,80,0.0,1468.1627484888738
199.88145765652598,1,120,0.0,1086.3665125050318
199.88145765652598,2,2,0.3,8.900018890163608
199.88145765652598,2,3,1.0,4.659254132951377
199.88145765652598,2,5,1.0,2.5377110912122562
199.88145765652598,2,7,1.0,2.3869577505210264
199.88145765652598,2,10,1.0,3.5652687843977082
199.88145765652598,2,15,0.2,9.732823623985137
