rocket_id,regime,keff_full,keff_simple,authority_ratio,Iyy,servo_slew_deg_s,wind_strength,sr_pid2,rms_pid2,slew_pid2,sr_pidbest,rms_pidbest,slew_pidbest,best_Kp,best_Kd,sr_adrc,best_omega_c,best_omega0,sr_improvement_vs_pid2,sr_improvement_vs_pidbest
R0091,FRAGILE,10.732895818636567,9.592183927652547,0.0,0.0151299098571188,174.053639550759,0.1134960049407453,0.7142857142857143,10.82931570889013,0.7021428571428572,0.8571428571428571,3.708558091294975,0.6976190476190477,40.0,1.0,1.0,5.0,10.0,0.2857142857142857,0.1428571428571429
R0146,FRAGILE,9.118040297989074,5.263420361392101,0.0,0.018251632977164,112.27430519580052,0.4078919337191328,0.8571428571428571,6.941259073451583,0.6016666666666667,1.0,4.865968718457781,0.5988095238095238,5.0,1.0,1.0,5.0,10.0,0.1428571428571429,0.0
R0267,FRAGILE,17.384750774214346,12.821124784351555,0.0,0.0131592525219296,160.5112731558308,0.286858390466259,0.14285714285714285,16.2798823858199,0.7123809523809524,0.8571428571428571,3.0722342861101453,0.7128571428571427,80.0,1.0,1.0,5.0,10.0,0.8571428571428572,0.1428571428571429
R0373,FRAGILE,17.093960743068802,5.650839091882547,0.0,0.0134520545842618,100.91257066873015,0.1357052116612664,0.7142857142857143,9.903701590799615,0.7257142857142856,0.8571428571428571,2.768360103176527,0.7166666666666667,80.0,1.0,1.0,5.0,10.0,0.2857142857142857,0.1428571428571429
R0430,FRAGILE,16.62569568991593,8.350292155721096,0.0,0.0141494908341899,195.5791272365424,0.1752550924788223,0.7142857142857143,8.724343671804133,0.0,1.0,4.181082245277694,0.00023809523809523812,80.0,2.0,1.0,5.0,10.0,0.2857142857142857,0.0
R0491,FRAGILE,17.869734416954692,7.553353920419334,0.0,0.0109640295650399,107.05850620881752,0.3883064130113716,0.2857142857142857,13.941115217658098,0.8114285714285714,0.8571428571428571,6.822026268009175,0.9054761904761904,40.0,2.0,1.0,5.0,10.0,0.7142857142857143,0.1428571428571429
R0503,FRAGILE,13.924345119224203,9.783414843445836,0.0,0.0165277949442068,179.54517925763827,0.2334386903786616,0.5714285714285714,11.022268876520826,0.7583333333333334,0.8571428571428571,4.698301437685421,0.7533333333333333,40.0,1.0,1.0,5.0,10.0,0.4285714285714286,0.1428571428571429
R0504,FRAGILE,11.851012200678332,12.46649244239251,0.0,0.0171936037228453,184.92270041029468,0.1876711824832981,0.42857142857142855,10.596727860187583,0.7264285714285714,0.42857142857142855,8.394351130794714,0.8497619047619047,80.0,2.0,1.0,5.0,10.0,0.5714285714285714,0.5714285714285714
R0523,FRAGILE,2.039586288095338,5.610742528840193,0.0,0.0315892004537939,68.61978564078377,0.1153290037400089,1.0,3.517955253981931,0.5397619047619048,1.0,1.233283128595558,0.5392857142857143,80.0,1.0,1.0,5.0,10.0,0.0,0.0
R0641,FRAGILE,9.166743081517238,12.247962240698527,0.0,0.0248598483253072,166.7013026374666,0.1412169680900634,0.5714285714285714,9.645576671793679,0.6083333333333334,1.0,2.4333325283906904,0.6030952380952381,80.0,1.0,1.0,5.0,10.0,0.4285714285714286,0.0
R0671,FRAGILE,12.585622448578025,12.614103330229447,0.0,0.0119608486579813,140.4584476036568,0.1092637685746428,0.5714285714285714,9.821805471665598,0.7016666666666665,0.8571428571428571,7.75738391941065,0.7038095238095237,5.0,1.0,1.0,5.0,10.0,0.4285714285714286,0.1428571428571429
R0680,FRAGILE,6.566889032125267,7.522689313036134,0.0,0.0265798645710051,183.35763296477708,0.0992631665578442,0.8571428571428571,4.992933039676317,0.5428571428571429,1.0,1.8116936252979114,0.5376190476190476,80.0,1.0,1.0,5.0,10.0,0.1428571428571429,0.0
R0688,FRAGILE,17.09186428117295,9.82276940580293,0.0,0.0134933398903942,102.71346314191057,0.359026189190718,0.42857142857142855,17.978277949459308,0.7990476190476191,0.5714285714285714,4.471356794169791,0.7990476190476191,80.0,1.0,1.0,5.0,10.0,0.5714285714285714,0.4285714285714286
R0748,FRAGILE,16.449527242674822,9.597221942720129,0.0,0.010191338744936,67.9839544553422,0.0749100124593177,0.7142857142857143,8.90145641128296,0.7995238095238094,0.5714285714285714,6.406450386526274,0.9049999999999999,40.0,2.0,1.0,5.0,10.0,0.2857142857142857,0.4285714285714286
