cell_id,regime,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,tuned_Kp,tuned_Kd,factor,full_success,factor_success,success_recovery,full_rms_deg,factor_rms_deg,rms_recovery_deg,full_peak_deg,factor_peak_deg,full_end_deg,factor_end_deg,full_u_sat_frac,factor_u_sat_frac,full_slew_sat_frac,factor_slew_sat_frac,full_s2r,factor_s2r,s2r_reduction,importance_score,factor_importance_pct
1,EASY,1.00295522330739,88.5652641380291,13.4631001774851,0.897540011832342,10,32,deadband,1,0.833333333333333,-0.166666666666667,4.36115018384837,5.17984020349545,-0.818690019647085,10.0679373997603,12.5836121157139,8.8508526294002,11.0555312821477,0.296727676095397,0.319744869661675,0.993888888888889,0.997222222222222,0.645308282492143,0.658483545941949,-0.0131752634498058,0,0
1,EASY,1.00295522330739,88.5652641380291,13.4631001774851,0.897540011832342,10,32,backlash,1,1,0,4.36115018384837,1.10949174861371,3.25165843523466,10.0679373997603,1.78097564385432,8.8508526294002,0.837907042911045,0.296727676095397,0,0.993888888888889,0.924722222222222,0.645308282492143,0.462361111111111,0.182947171381032,0.514550025410043,86.6474827015466
1,EASY,1.00295522330739,88.5652641380291,13.4631001774851,0.897540011832342,10,32,latency,1,1,0,4.36115018384837,4.36115018384837,0,10.0679373997603,10.0679373997603,8.8508526294002,8.8508526294002,0.296727676095397,0.296727676095397,0.993888888888889,0.993888888888889,0.645308282492143,0.645308282492143,0,0,0
1,EASY,1.00295522330739,88.5652641380291,13.4631001774851,0.897540011832342,10,32,sensor_noise,1,0.666666666666667,-0.333333333333333,4.36115018384837,4.92964037465629,-0.56849019080792,10.0679373997603,11.7879282747929,8.8508526294002,10.2783077485479,0.296727676095397,0.342484747642817,0.993888888888889,0.977222222222222,0.645308282492143,0.65985348493252,-0.014545202440377,0,0
1,EASY,1.00295522330739,88.5652641380291,13.4631001774851,0.897540011832342,10,32,thrust_mismatch,1,0.833333333333333,-0.166666666666667,4.36115018384837,5.47862477885181,-1.11747459500345,10.0679373997603,12.1449048513124,8.8508526294002,9.76199439620004,0.296727676095397,0.395729339988907,0.993888888888889,0.995833333333333,0.645308282492143,0.69578133666112,-0.0504730541689775,0,0
1,EASY,1.00295522330739,88.5652641380291,13.4631001774851,0.897540011832342,10,32,aero_mismatch,1,1,0,4.36115018384837,3.80540681388153,0.555743369966837,10.0679373997603,8.81342240765899,8.8508526294002,6.39848143538425,0.296727676095397,0.255962285080422,0.993888888888889,0.994444444444444,0.645308282492143,0.625203364762433,0.0201049177297098,0.079292991567597,13.3525172984534
1,EASY,1.00295522330739,88.5652641380291,13.4631001774851,0.897540011832342,10,32,effectiveness_drift,1,1,0,4.36115018384837,5.16977430678765,-0.808624122939284,10.0679373997603,12.7053525244309,8.8508526294002,11.2967870640689,0.296727676095397,0.341098169717138,0.993888888888889,0.993611111111111,0.645308282492143,0.667354640414125,-0.0220463579219818,0,0
2,EASY,1.19938436671167,30.0026068023538,8.83795803839496,0.589197202559664,10,16,deadband,0.5,0.333333333333333,-0.166666666666667,13.1966208393451,14.2944970161243,-1.09787617677913,31.1602442449966,34.5549304710255,23.1981370158098,27.0698815663687,0.367997781475319,0.381031613976705,0.995833333333333,0.998611111111111,0.681915557404326,0.689821362543908,-0.00790580513958206,0,0
2,EASY,1.19938436671167,30.0026068023538,8.83795803839496,0.589197202559664,10,16,backlash,0.5,1,0.5,13.1966208393451,0.958961016479127,12.237659822866,31.1602442449966,1.94009132727146,23.1981370158098,0.784665951454098,0.367997781475319,0,0.995833333333333,0.901666666666667,0.681915557404326,0.450833333333333,0.231082224070993,1.13310251699151,95.5649625864767
2,EASY,1.19938436671167,30.0026068023538,8.83795803839496,0.589197202559664,10,16,latency,0.5,0.5,0,13.1966208393451,13.1966208393451,0,31.1602442449966,31.1602442449966,23.1981370158098,23.1981370158098,0.367997781475319,0.367997781475319,0.995833333333333,0.995833333333333,0.681915557404326,0.681915557404326,0,0,0
2,EASY,1.19938436671167,30.0026068023538,8.83795803839496,0.589197202559664,10,16,sensor_noise,0.5,0,-0.5,13.1966208393451,16.9933585719833,-3.79673773263814,31.1602442449966,33.4861045365356,23.1981370158098,29.7288183868359,0.367997781475319,0.410704381586245,0.995833333333333,0.965,0.681915557404326,0.687852190793123,-0.00593663338879635,0,0
2,EASY,1.19938436671167,30.0026068023538,8.83795803839496,0.589197202559664,10,16,thrust_mismatch,0.5,0.166666666666667,-0.333333333333333,13.1966208393451,15.6540776607892,-2.45745682144409,31.1602442449966,37.1672732206986,23.1981370158098,27.5353628681909,0.367997781475319,0.450360510260677,0.995833333333333,0.995277777777778,0.681915557404326,0.722819144019227,-0.0409035866149011,0,0
2,EASY,1.19938436671167,30.0026068023538,8.83795803839496,0.589197202559664,10,16,aero_mismatch,0.5,0.5,0,13.1966208393451,11.929477223868,1.26714361547717,31.1602442449966,28.5001823174558,23.1981370158098,18.8731193202537,0.367997781475319,0.356350526899612,0.995833333333333,0.995,0.681915557404326,0.675675263449806,0.0062402939545203,0.0525857167753024,4.43503741352335
2,EASY,1.19938436671167,30.0026068023538,8.83795803839496,0.589197202559664,10,16,effectiveness_drift,0.5,0.5,0,13.1966208393451,15.0034526649638,-1.80683182561864,31.1602442449966,37.169844784479,23.1981370158098,25.7696081152424,0.367997781475319,0.419855795895729,0.995833333333333,0.995277777777778,0.681915557404326,0.707566786836754,-0.0256512294324274,0,0
3,EASY,2.10915374374929,118.897719157064,10.1398238347667,0.67598825565111,10,32,deadband,1,1,0,4.00631127799965,4.00445648551076,0.00185479248889475,9.61213220248138,9.59489381764373,5.79561846382355,5.13367419609488,0.387687188019967,0.389073765945646,0.993611111111111,0.995,0.690649149565539,0.692036882972823,-0.00138773340728415,0.000231483821424486,0.0413788399358704
3,EASY,2.10915374374929,118.897719157064,10.1398238347667,0.67598825565111,10,32,backlash,1,1,0,4.00631127799965,1.12957705471468,2.87673422328497,9.61213220248138,1.75578987630307,5.79561846382355,0.820522246124136,0.387687188019967,0,0.993611111111111,0.905,0.690649149565539,0.4525,0.238149149565539,0.531434945915495,94.9965376761277
3,EASY,2.10915374374929,118.897719157064,10.1398238347667,0.67598825565111,10,32,latency,1,1,0,4.00631127799965,4.00631127799965,0,9.61213220248138,9.61213220248138,5.79561846382355,5.79561846382355,0.387687188019967,0.387687188019967,0.993611111111111,0.993611111111111,0.690649149565539,0.690649149565539,0,0,0
3,EASY,2.10915374374929,118.897719157064,10.1398238347667,0.67598825565111,10,32,sensor_noise,1,0.833333333333333,-0.166666666666667,4.00631127799965,5.06881517310446,-1.0625038951048,9.61213220248138,12.1194222564641,5.79561846382355,8.69571243690296,0.387687188019967,0.469217970049917,0.993611111111111,0.976111111111111,0.690649149565539,0.722664540580514,-0.032015391014975,0,0
3,EASY,2.10915374374929,118.897719157064,10.1398238347667,0.67598825565111,10,32,thrust_mismatch,1,1,0,4.00631127799965,4.68988570993123,-0.683574431931585,9.61213220248138,11.242894465601,5.79561846382355,6.22797440117863,0.387687188019967,0.477537437603993,0.993611111111111,0.994444444444444,0.690649149565539,0.735990941024219,-0.04534179145868,0,0
3,EASY,2.10915374374929,118.897719157064,10.1398238347667,0.67598825565111,10,32,aero_mismatch,1,1,0,4.00631127799965,3.81365026681132,0.192661011188328,9.61213220248138,9.09421720253505,5.79561846382355,4.86284210050641,0.387687188019967,0.377981142540211,0.993611111111111,0.993055555555555,0.690649149565539,0.685518349047883,0.0051308005176558,0.0277591650435133,4.96208348393648
3,EASY,2.10915374374929,118.897719157064,10.1398238347667,0.67598825565111,10,32,effectiveness_drift,1,0.833333333333333,-0.166666666666667,4.00631127799965,4.81760109115515,-0.811289813155504,9.61213220248138,12.6326809619043,5.79561846382355,11.9899720161957,0.387687188019967,0.462562396006656,0.993611111111111,0.994166666666667,0.690649149565539,0.728364531336661,-0.0377153817711222,0,0
4,EASY,1.56024451823125,119.816376563645,14.504320795953,0.966954719730201,10,32,deadband,1,1,0,4.09143000868983,3.70719060988715,0.384239398802683,10.1382682417435,8.42228391526051,8.10660968774919,6.66477199159846,0.26955074875208,0.244869661674986,0.994444444444444,0.995277777777778,0.631997596598262,0.620073719726382,0.0119238768718802,0.0563900967115128,8.56213482865498
4,EASY,1.56024451823125,119.816376563645,14.504320795953,0.966954719730201,10,32,backlash,1,1,0,4.09143000868983,1.10467842834348,2.98675158034635,10.1382682417435,1.74639388192074,8.10660968774919,0.795693776501665,0.26955074875208,0,0.994444444444444,0.899722222222222,0.631997596598262,0.449861111111111,0.182136485487151,0.509096806586149,77.3000181419863
4,EASY,1.56024451823125,119.816376563645,14.504320795953,0.966954719730201,10,32,latency,1,1,0,4.09143000868983,4.09143000868983,0,10.1382682417435,10.1382682417435,8.10660968774919,8.10660968774919,0.26955074875208,0.26955074875208,0.994444444444444,0.994444444444444,0.631997596598262,0.631997596598262,0,0,0
4,EASY,1.56024451823125,119.816376563645,14.504320795953,0.966954719730201,10,32,sensor_noise,1,0.833333333333333,-0.166666666666667,4.09143000868983,4.72002705507844,-0.628597046388606,10.1382682417435,11.7845925059106,8.10660968774919,10.1400628445909,0.26955074875208,0.321963394342762,0.994444444444444,0.973888888888889,0.631997596598262,0.647926141615826,-0.0159285450175634,0,0
