rocket_id,regime_label,theta_ddot_max,nom_sr,under_sr,over_sr,rise_time_best,tracking_rms_best,overshoot_best,rise_time_kp2,tracking_rms_kp2,overshoot_kp2,best_Kp,best_Kd,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew_deg_s,static_margin
R0001,EASY,25.558302418394707,1.0,1.0,1.0,0.20333333333333337,31.547924916812658,68.57055935466708,1.156666666666667,13.09390568554482,19.0106402915398,80.0,1.0,0.0130647154798341,1.7603501903582248,3.020328484504756,0.3551844798131129,138.8767215149671,-0.2641108535497068
R0002,EASY,44.73612630429009,1.0,1.0,1.0,0.18333333333333335,64.3771821763207,154.85339086466354,1.1849999999999998,14.578582564531962,25.92847051848139,80.0,1.0,0.0283475670161518,2.4044968240070395,8.424342655615982,0.0731350881068192,112.22322220757204,-0.0803666802509317
R0003,EASY,36.9163604220606,1.0,1.0,1.0,0.18666666666666668,85.82122939297416,221.23074299593532,1.1366666666666667,20.29202211920519,38.20721128235965,80.0,1.0,0.0327815536884221,2.12934096021244,9.083308014025846,0.2396186119826783,158.19248453571652,-0.1410567273372627
R0004,EASY,126.13965886661865,1.0,1.0,1.0,0.17166666666666663,33.06214042241225,20.521449707685765,1.4316666666666666,16.33355410958656,22.86763246107556,80.0,1.0,0.0107941112974232,2.022340021457648,10.77877027030216,0.0844319118927125,117.71737958228984,-0.0423913090266203
R0005,EASY,31.623927948121036,1.0,1.0,1.0,0.18499999999999997,56.77706349793925,154.51515082151596,0.8850000000000001,19.078705598358756,38.655198739119065,80.0,1.0,0.0125470757564266,1.97222717029716,3.20367055136734,0.3908055045133487,118.0675064577801,0.2044854243145777
R0006,EASY,10.945759253379007,1.0,1.0,1.0,0.30666666666666664,47.64416878323481,109.33919692360409,1.11,15.808896394431637,30.157124046366334,40.0,1.0,0.0342614043760085,2.726354471735614,2.1897502946227,0.1659546264063591,178.3428242522482,0.1484704985244698
R0007,EASY,17.172933274324993,1.0,1.0,1.0,0.4516666666666667,19.690240917897977,16.35259270449093,1.2733333333333334,14.13500482884099,24.172455424651996,15.0,1.0,0.0385543769174805,1.860943759563287,5.671717160643642,0.2676791466469372,65.63909142928058,-0.1107711110802849
R0008,EASY,26.869301528132482,1.0,1.0,1.0,0.19666666666666668,33.017647325642294,74.91471044501799,1.1483333333333334,21.587245700221754,42.63191539752126,80.0,1.0,0.0267956641274433,2.0974142672531846,5.47163521250042,0.0724047119912706,115.72100711174372,0.0843522711271296
R0009,EASY,80.11888841054282,1.0,1.0,1.0,0.18000000000000002,16.09850598453681,26.07911757302386,1.075,16.03712828306462,27.6521799194423,80.0,1.0,0.0115716628042113,1.394769154083458,10.6401457958192,0.1958879599844933,123.243466304422,0.1359171077506643
R0010,EASY,40.03133644900585,1.0,1.0,1.0,0.18666666666666668,89.27099313180356,223.837048120886,1.37,15.9504944613274,29.693091741662982,80.0,1.0,0.0271042572170663,2.0365458209946485,8.51063068198738,0.2106986247546559,100.58657085053112,6.82513464282386e-05
