qr,Kp,Kd,sr,rocket_id,td,keff,latency,final_label
0.001,0.0314075306022932,1.0048348096866955,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.001603718743751331,0.0397730473520386,1.0078925458954298,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.0025719138090593446,0.05036647738254699,1.0117514490879624,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.004124626382901352,0.06378099867274907,1.016617120947158,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.006614740641230145,0.08076762717906653,1.0227454593059317,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.010608183551394482,0.10227716185580434,1.030453592386037,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.017012542798525893,0.12951324696307503,1.040132458219688,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.02728333376486768,0.16399948314931884,1.05226089598873,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.043754793750741844,0.2076642849490761,1.0674208915245176,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.07017038286703826,0.2629481462628057,1.0863133282230788,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.11253355826007645,0.3329391876105338,1.1097732681363162,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.18047217668271703,0.42154438293138646,1.1387834978566775,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.28942661247167517,0.5337057789774423,1.1744849381659865,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.46415888336127775,0.6756734261347034,1.2181826824146678,0.7,R1077,18.881205143659187,2.700559646677496,3,EASY
0.7443803013251689,0.8553497587491424,1.2713470195053682,0.8,R1077,18.881205143659187,2.700559646677496,3,EASY
1.1937766417144358,1.0827239466270564,1.3356098280210142,0.8,R1077,18.881205143659187,2.700559646677496,3,EASY
1.9144819761699576,1.37041947122175,1.4127580262697725,0.9,R1077,18.881205143659187,2.700559646677496,3,EASY
3.07029062975785,1.734384083010347,1.50472696340396,0.9,R1077,18.881205143659187,2.700559646677496,3,EASY
4.923882631706737,2.194758640952047,1.6135972985015268,0.9,R1077,18.881205143659187,2.700559646677496,3,EASY
7.896522868499725,2.7769704483010447,1.7415987339573242,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
12.663801734674022,3.513107977421655,1.891122963011401,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
20.309176209047347,4.443647794023415,2.0647467099593046,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
32.57020655659783,5.6196216083185915,2.265264293627451,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
52.23345074266843,7.10533234576459,2.4957281447225546,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
83.76776400682924,8.981753679197096,2.7594953171997085,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
134.33993325988988,11.35077841058542,3.060278163941898,0.9,R1077,18.881205143659187,2.700559646677496,3,EASY
215.44346900318823,14.340518301732548,3.4021977736929685,0.9,R1077,18.881205143659187,2.700559646677496,3,EASY
345.5107294592218,18.11190230466693,3.789839258551932,0.9,R1077,18.881205143659187,2.700559646677496,3,EASY
554.1020330009492,22.866872437800932,4.2283083780103325,0.9,R1077,18.881205143659187,2.700559646677496,3,EASY
888.6238162743407,28.858537393398596,4.723289209083166,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
1425.1026703029963,36.40371353823572,5.281102607158546,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
2285.4638641349884,45.89836076203276,5.908765064497637,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
3665.241237079626,57.836504956531094,6.614047285313827,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
5878.0160722749115,72.83332629699004,7.405531373980153,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
9426.684551178854,91.6531767956402,8.29266498049227,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
15117.7507061566,115.24336177995835,9.285810057868284,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
24244.62017082326,144.77456254690907,10.39628304378751,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
38881.55180308085,181.68876852843846,11.636382261972361,0.9,R1077,18.881205143659187,2.700559646677496,3,EASY
62355.07341273912,227.7554940257842,13.01939712441339,1.0,R1077,18.881205143659187,2.700559646677496,3,EASY
100000.0,285.1368313272502,14.559592283341708,0.8,R1077,18.881205143659187,2.700559646677496,3,EASY
0.001,0.03145219481598276,1.009328054633881,0.8,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.001603718743751331,0.039829610888573105,1.0131931032584012,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.0025719138090593446,0.0504381121403012,1.0180665512518703,0.8,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.004124626382901352,0.06387172390848697,1.0242047272360213,0.8,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.006614740641230145,0.08088253776118276,1.031925303010695,0.8,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.010608183551394482,0.10242271982624948,1.0416199020254067,0.8,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.017012542798525893,0.12969765560340088,1.0537682270732216,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.02728333376486768,0.16423316988738276,1.068953351260119,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.043754793750741844,0.20796053005700132,1.0878775258090156,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.07017038286703826,0.26332391032700647,1.1113775324113655,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.11253355826007645,0.3334162151361661,1.1404383186020697,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.18047217668271703,0.4221506963285868,1.176203520165667,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.28942661247167517,0.5344777322547783,1.2199816421631893,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.46415888336127775,0.6766585681477222,1.2732472630251144,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.7443803013251689,0.8566108709302258,1.3376376591856298,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
1.1937766417144358,1.08434478131087,1.414946548663996,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
1.9144819761699576,1.372512939660139,1.5071178555205833,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
3.07029062975785,1.7371039500830219,1.6162430625465916,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
4.923882631706737,2.198316211810269,1.744565543695087,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
7.896522868499725,2.781658334121522,1.8944942673985663,0.9,R2160,17.56242088177011,2.1321669358272404,2,EASY
12.663801734674022,3.519333880766157,2.0686277887725826,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
20.309176209047347,4.451982468179803,2.2697880112684903,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
32.57020655659783,5.630866870496915,2.501062211663745,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
52.23345074266843,7.12061746999902,2.7658514482886813,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
83.76776400682924,9.002671951658854,3.0679236228028706,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
134.33993325988988,11.379580503518438,3.4114699173908374,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
215.44346900318823,14.380385979264027,3.801163852201068,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
345.5107294592218,18.16733560470143,4.24222264216041,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
554.1020330009492,22.944236975988154,4.740470801908259,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
888.6238162743407,28.966837323815952,5.30240603890282,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
1425.1026703029963,36.55568206545234,5.935267405118258,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
2285.4638641349884,46.11199678069914,6.64710547160377,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
3665.241237079626,58.13723526958481,7.446853965140251,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
5878.0160722749115,73.2570431519476,8.344401868218084,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
9426.684551178854,92.25049715131216,9.35066442629597,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
15117.7507061566,116.08558697947943,10.477650813489754,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
24244.62017082326,145.96199691156238,11.738525355140764,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
38881.55180308085,183.36229812529433,13.147658163635125,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
62355.07341273912,230.11265163772026,14.720659779924722,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
100000.0,288.45400361406416,16.474392895949194,1.0,R2160,17.56242088177011,2.1321669358272404,2,EASY
0.001,0.03108649620775553,0.9876736985056338,0.3,R0234,11.170847658177289,6.810427366810912,5,EASY
0.001603718743751331,0.03936649775284885,0.9888834168024156,0.3,R0234,11.170847658177289,6.810427366810912,5,EASY
0.0025719138090593446,0.049851631516759747,0.9904132231843988,0.3,R0234,11.170847658177289,6.810427366810912,5,EASY
0.004124626382901352,0.06312900344234872,0.9923470969145494,0.3,R0234,11.170847658177289,6.810427366810912,5,EASY
0.006614740641230145,0.07994193514584653,0.9947906278739653,0.3,R0234,11.170847658177289,6.810427366810912,5,EASY
0.010608183551394482,0.1012314713377479,0.9978763310596638,0.3,R0234,11.170847658177289,6.810427366810912,5,EASY
0.017012542798525893,0.12818888235418663,1.0017701262122287,0.3,R0234,11.170847658177289,6.810427366810912,5,EASY
0.02728333376486768,0.16232205535820565,1.0066791575319236,0.3,R0234,11.170847658177289,6.810427366810912,5,EASY
0.043754793750741844,0.205539419087267,1.0128611081353405,0.3,R0234,11.170847658177289,6.810427366810912,5,EASY
0.07017038286703826,0.26025598833511504,1.02063511091685,0.2,R0234,11.170847658177289,6.810427366810912,5,EASY
0.11253355826007645,0.32952729169691,1.0303942572769855,0.1,R0234,11.170847658177289,6.810427366810912,5,EASY
0.18047217668271703,0.41721841593210923,1.042619543049907,0.3,R0234,11.170847658177289,6.810427366810912,5,EASY
0.28942661247167517,0.528217232161459,1.057894857475576,0.2,R0234,11.170847658177289,6.810427366810912,5,EASY
0.46415888336127775,0.6687031487178452,1.076922321645807,0.3,R0234,11.170847658177289,6.810427366810912,5,EASY
0.7443803013251689,0.846485568807876,1.1005369512291372,0.2,R0234,11.170847658177289,6.810427366810912,5,EASY
1.1937766417144358,1.0714297491841902,1.1297193299226451,0.3,R0234,11.170847658177289,6.810427366810912,5,EASY
1.9144819761699576,1.3559921197957707,1.165604856354066,0.2,R0234,11.170847658177289,6.810427366810912,5,EASY
3.07029062975785,1.7158925286986038,1.2094883153999956,0.2,R0234,11.170847658177289,6.810427366810912,5,EASY
