rocket_id,td,latency_steps,Iyy,motor_scale,max_gimbal_deg,new_Kp,new_Kd,nom_sr,under_sr,over_sr,margin,nom_rms,pass_label
R14896,301.44222075715766,4,0.00569175469485217,1.867580326142438,14.621471984400698,82.35745631970453,1.0,0.8666666666666667,1.0,0.7333333333333333,0.7333333333333333,4.911925890403585,extension_td300
R12720,301.48173935738595,4,0.006272472560107157,2.0185759715277563,14.909902885080603,115.62844575768011,2.0,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.7333333333333333,3.978512641487676,extension_td300
R2655,301.8873376811825,4,0.008112878469958286,2.7235222956559046,14.3122879253313,115.62844575768011,2.0,0.8,0.8,0.8,0.8,6.1230104784017225,extension_td300
R9814,306.22867479764824,5,0.00618301145136481,2.139708923327462,14.083524045259917,41.78105458855241,1.0,0.7333333333333333,0.8666666666666667,0.8,0.8,5.391278354564936,extension_td300
R8883,306.25752940477236,4,0.008007482970197875,2.855530467412107,13.66835128146358,82.35745631970453,1.0,0.9333333333333333,1.0,0.4666666666666667,0.4666666666666667,4.542248043879975,extension_td300
R3191,307.11436977325144,1,0.005794621444381923,2.4134317172516724,11.735735759464932,115.62844575768011,1.0,1.0,1.0,1.0,1.0,1.3315993972103353,extension_td300
R2838,303.92970505944237,1,0.006108385295982176,2.3168419980595725,12.753320858243075,115.62844575768011,1.0,1.0,1.0,1.0,1.0,1.3127107566645357,extension_td300
R18987,304.3689641827488,5,0.007601642303602215,2.5809715090598293,14.267396064216783,41.78105458855241,1.0,0.8666666666666667,1.0,0.7333333333333333,0.7333333333333333,5.544912390366392,extension_td300
R7589,301.879734003825,5,0.006534003126955102,2.1202625834768245,14.806205708010605,58.65987877815546,1.0,0.8,0.9333333333333333,0.6666666666666666,0.6666666666666666,4.868213432333097,extension_td300
R9784,305.3701705045708,5,0.00779067817262067,2.5397968303554976,14.908125176980697,41.78105458855241,2.0,0.6666666666666666,0.6,0.4,0.4,8.027617299698019,extension_td300
R17150,320.37480475308166,3,0.005606785609639671,2.29511557507658,12.456266060190925,115.62844575768011,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,3.2422806656285132,extension_td300
R15273,325.75922382939655,1,0.005366149696773292,2.4602906956137724,11.308193018079702,115.62844575768011,1.0,1.0,1.0,1.0,1.0,1.4407592602592387,extension_td300
R0311,321.38385829976147,5,0.0064329295191772285,2.8323951979152393,11.617137660766744,82.35745631970453,2.0,0.5333333333333333,0.7333333333333333,0.4666666666666667,0.4666666666666667,8.928309309097946,extension_td300
R14280,321.75852293308924,4,0.00718695750315471,2.8821631707081394,12.769582661255034,82.35745631970453,1.0,0.8,1.0,0.6666666666666666,0.6666666666666666,6.346586667087624,extension_td300
R10275,313.8989429162081,4,0.006524794530713741,2.2080951803817976,14.762470238216181,82.35745631970453,1.0,0.6666666666666666,1.0,0.9333333333333333,0.9333333333333333,4.037942058905293,extension_td300
R8095,314.03243640956447,2,0.005076839748352188,2.43058227376535,10.439453617349542,320.0,1.0,1.0,1.0,0.7333333333333333,0.7333333333333333,2.0787838870601303,extension_td300
R3553,317.181551149742,4,0.007727266968660074,2.872630985755793,13.579198176382882,115.62844575768011,2.0,0.8,0.9333333333333333,0.7333333333333333,0.7333333333333333,5.3956368083751,extension_td300
R8427,319.78052546429336,6,0.007213794527762359,2.4522822111923457,14.971505139037005,29.758952096260835,1.0,0.6666666666666666,1.0,0.7333333333333333,0.7333333333333333,8.681611368570383,extension_td300
R9249,317.6349941573707,5,0.005675505513915538,1.9237367018737674,14.914455198555126,41.78105458855241,1.0,0.8,0.9333333333333333,0.5333333333333333,0.5333333333333333,5.522544954760729,extension_td300
R7531,317.4762505871524,6,0.005306038544021542,2.2694740537884224,11.813444702915087,10.753066807087182,1.0,0.6666666666666666,0.7333333333333333,0.5333333333333333,0.5333333333333333,11.00165050559567,extension_td300
R7705,364.5728531047276,4,0.007210220673245334,2.89835986420971,14.434465550388383,58.65987877815546,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,3.386223957837863,extension_td300
R4551,352.30778966073603,1,0.006423195998018747,2.493235732043414,14.445421191169299,320.0,1.0,1.0,1.0,1.0,1.0,0.6497914826167043,extension_td300
R19203,329.3359761978582,3,0.00602012420348719,2.4597432472320726,12.828473492380821,58.65987877815546,1.0,1.0,1.0,1.0,1.0,3.0377364827265527,extension_td300
R2659,351.636685338322,5,0.005766605267947942,2.8241166751181863,11.42751759026558,41.78105458855241,1.0,0.8666666666666667,1.0,0.7333333333333333,0.7333333333333333,6.867817878971448,extension_td300
R0694,348.1221844574309,1,0.006457864367237415,2.9830112056237708,11.99460267254901,115.62844575768011,1.0,1.0,1.0,1.0,1.0,1.1788817833299226,extension_td300
R6580,335.6121212127723,2,0.006662592789993273,2.4612852084860313,14.45902798011317,115.62844575768011,1.0,1.0,1.0,1.0,1.0,1.269109508485264,extension_td300
R2438,340.5025527719287,5,0.007271830198352647,2.9783554436665374,13.231458132944237,29.758952096260835,1.0,0.8666666666666667,0.9333333333333333,0.5333333333333333,0.5333333333333333,5.057309366362136,extension_td300
