rocket_id,pi_bin,keff,lat,Pi,Kp,Kd,Kd_Kp_ratio,sr
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.02,0.01,0.5,0.26666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.02,0.02,1.0,0.4666666666666667
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.02,0.0632,3.16,0.6666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.02,0.57,28.499999999999996,0.9333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.028537339845921612,0.01,0.35041808570777283,0.26666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.028537339845921612,0.028537339845921612,1.0,0.6
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.028537339845921612,0.0901779939131123,3.1600000000000006,0.7333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.028537339845921612,0.57,19.973830885343048,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.04071898827408124,0.01,0.2455856695822002,0.26666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.04071898827408124,0.013030076247705998,0.32,0.26666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.04071898827408124,0.04071898827408124,1.0,0.6666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.04071898827408124,0.12867200294609674,3.16,0.8
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.04071898827408124,0.57,13.99838316618541,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.05810058032797764,0.01,0.17211532042451252,0.26666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.05810058032797764,0.018592185704952843,0.32,0.4666666666666667
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.05810058032797764,0.05810058032797764,1.0,0.8
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.05810058032797764,0.18359783383640935,3.16,0.8666666666666667
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.05810058032797764,0.57,9.810573264197213,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.08290180030323827,0.01,0.12062464220827525,0.3333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.08290180030323827,0.026528576097036245,0.32,0.5333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.08290180030323827,0.08290180030323827,1.0,0.8
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.08290180030323827,0.2619696889582329,3.16,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.08290180030323827,0.57,6.875604605871688,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.11828984245461184,0.011828984245461185,0.1,0.4666666666666667
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.11828984245461184,0.03785274958547579,0.32,0.8666666666666667
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.11828984245461184,0.11828984245461184,1.0,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.11828984245461184,0.37379590215657343,3.16,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.11828984245461184,0.57,4.818672408146208,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.16878387172238915,0.016878387172238916,0.1,0.6
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.16878387172238915,0.05401083895116453,0.32,0.8666666666666667
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.16878387172238915,0.16878387172238915,1.0,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.16878387172238915,0.5333570346427497,3.16,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.16878387172238915,0.57,3.3770999218309172,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.24083213539261275,0.024083213539261277,0.1,0.6666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.24083213539261275,0.07706628332563609,0.32,0.9333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.24083213539261275,0.24083213539261275,1.0,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.24083213539261275,0.57,2.3667937797037197,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.24083213539261275,0.7610295478406564,3.16,0.6666666666666666
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.34363542467589975,0.03436354246758998,0.1,0.7333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.34363542467589975,0.10996333589628793,0.32,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.34363542467589975,0.34363542467589975,1.0,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.34363542467589975,0.57,1.6587346910976837,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.34363542467589975,1.0858879419758432,3.1599999999999997,0.4666666666666667
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.49032204485368736,0.04903220448536874,0.1,0.8
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.49032204485368736,0.15690305435317994,0.32,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.49032204485368736,0.49032204485368736,1.0,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.49032204485368736,0.57,1.1625012703030486,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.49032204485368736,1.549417661737652,3.16,0.3333333333333333
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.6996243413968444,0.06996243413968443,0.09999999999999999,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.6996243413968444,0.2238797892469902,0.32,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.6996243413968444,0.57,0.8147229395448975,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.6996243413968444,0.6996243413968444,1.0,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.6996243413968444,2.210812918814028,3.16,0.4666666666666667
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.998270879746041,0.0998270879746041,0.1,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.998270879746041,0.3194466815187331,0.32,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.998270879746041,0.57,0.5709873057150654,1.0
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.998270879746041,0.998270879746041,1.0,0.8666666666666667
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.998270879746041,3.15453597999749,3.16,0.26666666666666666
