rocket_id,design_id,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,n_success_gain_sets,nominal_diverge_rate,nominal_band_30_rate,nominal_band_20_rate,nominal_band_10_rate,under_diverge_rate,over_diverge_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,oscillation_score,under_u_sat_frac,over_u_sat_frac,regime_label,regime_code,td,new_label,corrected_label
R0001,1,0.3882491261781535,0.8498871314095855,0.0995163138642132,0.098642675260011,-15.682771375454053,6.361073417472711,1.4270960300251891,97.45696675869196,5.835579409173208,3,0.1421734254394407,0.2144077709362379,0.0995894362509292,3.6,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.2845537705409515,4.084916965191359,1.470053963733644,4.084916965191359,0.0,0.0544444444444444,1.0,2.333333333333333,0.0,0.0,EASY,2,5.258026473747831,,EASY
R0002,2,3.6359741607892304,0.7141352696699883,0.008783716176404,0.1296945732251466,-87.28480060502788,5.032710153524345,0.8713209285124457,178.91752742415022,7.588289242252378,3,0.1200826710634959,0.0595327761445627,0.4315089065732231,168.58,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.4603682708669058,1.8694493173257276,0.8966140253294039,1.8694493173257276,0.0,0.0061111111111111,0.0,8.0,0.0,0.0,EASY,2,47.29591112250553,,EASY
R0003,3,0.0,0.7934489857400101,0.0214628144422404,-0.0705583401254659,-71.54755943384043,6.158460707202374,2.0980817453368528,116.15327777045268,13.843629661141325,2,0.1249571731341864,0.1714859606348293,0.1208175440534096,22.73,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.8444121526061008,3.2624574031946945,2.145495487048009,3.2624574031946945,0.0,0.1022222222222222,2.0,6.333333333333333,0.0,0.0,EASY,2,85.02870707323525,EASY,EASY
R0004,4,3.06074007274767,0.6832935531138052,0.0190624600066684,0.2843466363313685,-55.057340843666914,13.626055340152114,2.3516496467728865,70.0420756011916,3.0093623403462573,5,0.1390061011138282,0.0552402355010921,0.3124759726580058,12.98,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.635272519429743,5.074612382290562,1.8188891083980143,5.074612382290562,0.0,0.0388888888888888,1.955,4.666666666666667,0.0,0.0,EASY,2,23.326416449147143,,EASY
R0005,5,0.0,1.1793400245680723,0.0570427595542534,-0.1228206545133101,-77.54320310714712,9.66005990315,1.8366908440621572,199.8378564578116,4.425843468484414,2,0.0929863525815864,0.1295200737149573,0.1007992892796896,81.89,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.5411185011708352,3.0828381517939007,1.407613047020412,3.0828381517939007,0.0,0.0,1.0,7.0,0.0,0.0,EASY,2,8.953883761314323,,EASY
R0006,6,3.1541615121793765,0.8131255453851484,0.0818266199476756,0.1573677121572888,-67.22314662331284,13.151949511704188,1.0111135851485795,109.42125322889004,6.206626942350337,4,0.0223310504105799,0.1492805197716319,0.111569418923341,50.74,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.7865011824172972,2.068678537380121,1.198468753043602,2.068678537380121,0.0,0.05,0.9316666666666666,4.333333333333333,0.0,0.0,EASY,2,4.818821554633435,,EASY
R0007,7,0.0,0.6031008544893346,0.0823440511360888,-0.2230902949188245,-73.44471683172267,5.393447615414312,1.4778640391796336,190.74972423033756,11.702072465650833,2,0.0583005930866844,0.1935780462453568,0.2807808097839068,113.27,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.4308100320017654,1.5101160282983457,0.8236759933250907,1.5101160282983457,0.0,0.0138888888888888,0.0,6.0,0.0,0.0,EASY,2,13.196078903159302,,EASY
R0008,8,1.173639030790205,1.0905722356609608,0.0145180569286802,0.0734852492622349,-63.68690465100859,8.242046411204923,1.42932306920114,191.67974545945745,3.3271668139780166,1,0.1388213471815887,0.17299742908843,0.3573106465365129,69.63,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.7018457585586063,1.703690950364851,0.434362249494892,1.703690950364851,0.0,0.0,0.0,6.666666666666667,0.0,0.0,EASY,2,20.58146819137509,,EASY
R0009,9,0.5632723116791603,0.9695692763180191,0.0989529693275684,0.0356930279637707,-66.62816192757492,8.788801331329719,1.6023024898078428,158.19901079383095,8.63309666964725,4,0.1387900167826265,0.1273212451541783,0.3489477242632748,43.14,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.5322910217401399,1.4705777699414513,0.8072811409088579,1.4705777699414513,0.0,0.0244444444444444,0.0,5.0,0.0,0.0,EASY,2,8.783389642835251,,EASY
R0010,10,0.8743235542141726,0.7387898190462002,0.0331902634526775,0.0664894444598575,-59.36587199065892,10.32679697342401,1.8320343797816436,189.19871238130696,9.163150246988486,5,0.0969503861071194,0.0353556982828887,0.3824229066568019,81.89,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.4437838378188782,1.6789762976333669,0.6061652678792018,1.6789762976333669,0.0,0.0944444444444444,0.0,7.333333333333333,0.0,0.0,EASY,2,31.779539199767495,,EASY
R0011,11,2.7239028788618254,0.5092485952504604,0.0483566765351185,0.1616761355635648,-77.42223131048485,9.648202701475173,1.898186300293259,176.1188368892052,13.51019260625021,4,0.0634534154064264,0.0973990715388033,0.4337856893289686,81.89,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.3723813976307428,1.1770188413236375,0.6648039826042984,1.1770188413236375,0.0,0.0194444444444444,0.0,4.666666666666667,0.0,0.0,EASY,2,33.321442856022095,,EASY
R0012,12,0.0,0.9310142827956792,0.0179186744400013,-0.2504164461246678,-56.16438550628862,8.068552041011928,1.788530410375062,129.10089981887768,7.181322897909601,1,0.0138264363705144,0.1165568450134825,0.34327731332558,295.07,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.6705569442061322,3.0871829280349106,1.87286773415199,3.0871829280349106,0.0,0.0577777777777777,2.0,13.333333333333334,0.0,0.0011092623405435,EASY,2,45.037551615981165,,EASY
R0013,13,0.7925711831650509,1.0125631534065236,0.0179306989270217,0.0414091256732141,-86.63701011706121,13.606047985726333,1.841710410497324,90.23911875859888,2.175940340993689,6,0.0593009086786292,0.2431338651175452,0.3981826457106613,50.74,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.9394711304917248,2.9202335271216797,1.170782553799661,2.9202335271216797,0.0,0.0,1.0,7.666666666666667,0.0,0.0,EASY,2,14.042711605293194,,EASY
R0014,14,0.0,0.62857875057813,0.0227540571994725,-0.2827863647297675,-59.86742276764424,13.528895065455185,1.726074977307266,127.0785322719872,8.870920033739147,2,0.0529377382636232,0.0702139751423825,0.2082709493317119,26.73,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.8398195535693652,2.96596881208728,2.136521033912023,2.96596881208728,0.0,0.0911111111111111,2.0,5.666666666666667,0.0,0.0,EASY,2,42.2813985296572,,EASY
R0015,15,0.0,1.053307592761747,0.0288312755352559,-0.1866898572950483,-51.72368639143485,12.852927476689793,1.8283012180921,128.79326831624118,13.133702486107332,3,0.0570542981088774,0.2151074576484097,0.1978132524520828,132.17,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.4601526688994394,1.566858012630506,0.9539665786597764,1.566858012630506,0.0,0.0466666666666666,0.0,8.333333333333334,0.0,0.0,EASY,2,52.33002406819334,,EASY
R0016,16,0.8697746565780525,0.51252376446819,0.0331273008950308,0.1272308394604219,-25.78405106731496,12.225126157265898,1.2787111656037309,131.21927065558333,7.440201206719229,4,0.1374383804241855,0.0238801697298852,0.2090713418747874,81.89,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.4795669238120827,1.8872363421338072,0.6709454308638163,1.8872363421338072,0.0,0.2516666666666666,0.0,5.666666666666667,0.0,0.0,EASY,2,18.044753500106683,,EASY
R0017,17,1.0770503101100413,0.9851854676247092,0.0187308713910729,0.0666085222227766,-61.9168384167752,9.344146564053824,1.3179654531606142,183.67558401229377,12.991551142516691,4,0.1057873711085568,0.2450148225453325,0.053771751333007,155.45,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.4692539082325943,2.73439139152731,1.222238094530716,2.73439139152731,0.0,0.0577777777777777,1.0,10.0,0.0,0.0,EASY,2,57.43636150440098,,EASY
R0018,18,0.0,0.6519392207445646,0.0461840090393027,-0.2599909453188758,-41.58433715927851,12.43006072120291,1.7085996958097127,99.09316646046106,3.7063701870121646,1,0.1232835997365839,0.2273424552348236,0.2092037334964727,88.81,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.5625016484498793,1.289857832206196,0.8068090555998862,1.289857832206196,0.0,0.0,0.0,7.0,0.0,0.0,EASY,2,8.615437920873436,,EASY
R0019,19,0.0,0.6794283786295465,0.0902801957805507,-0.2343925424496329,-67.35029866123932,8.825063315164732,1.6825020611701904,198.74778682270332,7.826154855853549,5,0.1405379761422109,0.1544261543341678,0.1440742380002695,96.31,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.5305990959606849,2.7962613990642216,1.248873960654826,2.7962613990642216,0.0,0.0,1.0,6.0,0.0,0.0,EASY,2,9.164133729592852,,EASY
R0020,20,0.0,0.5720665416603296,0.0260425629951269,-0.2512790800927458,-34.33641827485311,11.188238720336187,1.9401730526282417,198.52407604124429,13.880340951999884,6,0.0446741911848008,0.1849660452590844,0.180511042447354,88.81,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,2,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,2.375279771113672,18.60560307565473,7.178550519846623,18.60560307565473,0.0,0.4433333333333333,1.9633333333333336,15.333333333333334,0.0,0.002218524681087,FRAGILE,1,64.97357261833929,EASY,EASY
