wind_strength,Kp,sr,rms_deg,osc_score,slew_sat
0.0,1,1.0,4.711018322081989,0.0,0.8466666666666667
0.0,2,1.0,4.708218910035141,0.0,0.8483333333333334
0.0,5,1.0,4.6973834483039525,0.0,0.8483333333333334
0.0,10,1.0,4.669752569088976,0.0,0.8466666666666667
0.0,20,1.0,4.5779572851084325,0.0,0.8483333333333334
0.0,40,1.0,4.053668800504379,0.0,0.8433333333333334
0.0,80,1.0,1.887424423104552,1.0,0.8483333333333334
0.0,160,1.0,1.3600171326099435,2.0,0.8483333333333334
0.02,1,0.25,22.612225104110276,2.25,0.8597916666666666
0.02,2,0.25,22.165782180507854,2.25,0.8595833333333334
0.02,5,0.25,20.148890460211906,2.25,0.8583333333333333
0.02,10,0.25,16.1757487571706,2.25,0.8554166666666667
0.02,20,1.0,10.191475752743699,2.25,0.85875
0.02,40,1.0,5.115060713098449,3.0,0.8558333333333333
0.02,80,1.0,3.308163232257165,3.5,0.855625
0.02,160,1.0,2.1056385127704274,5.0,0.8354166666666667
0.0246,1,0.0,24.205864865679402,1.375,0.8602083333333334
0.0246,2,0.0,23.743327731169696,1.375,0.86
0.0246,5,0.0,21.89160758692564,1.375,0.8589583333333333
0.0246,10,0.0,17.890107664320965,1.375,0.8575
0.0246,20,1.0,11.193489779144379,1.375,0.8572916666666667
0.0246,40,1.0,5.212850998554171,2.375,0.8577083333333333
0.0246,80,1.0,3.535869575558181,2.625,0.8541666666666666
0.0246,160,1.0,2.241126792921592,4.125,0.830625
0.0303,1,0.0,26.137039175257943,1.375,0.860625
0.0303,2,0.0,25.60166026708151,1.375,0.86
0.0303,5,0.0,23.00046069493484,1.375,0.8577083333333333
0.0303,10,0.0,18.319553874961333,1.375,0.8566666666666667
0.0303,20,1.0,11.183242116180338,1.375,0.8591666666666666
0.0303,40,1.0,5.115816578225412,2.375,0.8589583333333333
0.0303,80,1.0,3.6269269070285612,2.625,0.855625
0.0303,160,1.0,2.271923227072798,4.25,0.8297916666666667
0.0373,1,0.0,15.814125639896771,1.25,0.8610416666666667
0.0373,2,0.0,15.603049788024208,1.25,0.8604166666666666
0.0373,5,0.0,14.719578790952886,1.25,0.8589583333333333
0.0373,10,0.0,12.99013722251922,1.25,0.8579166666666667
0.0373,20,1.0,9.229232284346285,1.25,0.8575
0.0373,40,1.0,4.74756579760158,1.875,0.8575
0.0373,80,1.0,3.017445923826733,2.375,0.8539583333333334
0.0373,160,1.0,1.9441705667386033,3.625,0.8379166666666666
0.0459,1,0.25,12.416778892277609,0.25,0.8608333333333333
0.0459,2,0.25,12.32112907733974,0.25,0.8608333333333333
0.0459,5,0.25,11.835460430226188,0.25,0.8597916666666667
0.0459,10,0.25,10.543951709943078,0.25,0.85875
0.0459,20,1.0,7.647602696134179,0.25,0.8574999999999999
0.0459,40,1.0,4.008809629062304,0.75,0.86
0.0459,80,1.0,2.6994679465516893,1.25,0.8547916666666666
0.0459,160,1.0,1.7739090992341096,2.375,0.841875
0.0565,1,0.125,21.826433272208618,0.625,0.8610416666666667
0.0565,2,0.125,21.25239400719264,0.625,0.8602083333333334
0.0565,5,0.125,19.422732343881925,0.625,0.8575
0.0565,10,0.125,15.597002256600952,0.625,0.8558333333333333
0.0565,20,1.0,9.699250453986389,0.625,0.8579166666666667
0.0565,40,1.0,4.627732675579163,1.5,0.858125
0.0565,80,1.0,3.389547312948293,2.0,0.8539583333333334
0.0565,160,1.0,2.1371229672883874,3.25,0.8339583333333334
0.0695,1,0.0,23.744986568148423,0.625,0.8610416666666667
0.0695,2,0.0,23.061181949129917,0.625,0.8597916666666666
0.0695,5,0.0,20.96228785562596,0.625,0.8572916666666667
0.0695,10,0.0,16.98987919826441,0.625,0.855
0.0695,20,1.0,10.566904222223249,0.625,0.8564583333333333
0.0695,40,1.0,4.862982345956595,1.625,0.8566666666666667
0.0695,80,1.0,3.522657899239019,2.125,0.8510416666666667
0.0695,160,1.0,2.306544773014433,3.5,0.83125
0.0855,1,0.25,14.712908965890199,1.0,0.860625
0.0855,2,0.25,14.363149920983878,1.0,0.8589583333333333
0.0855,5,0.25,13.325577613805859,1.0,0.8575
0.0855,10,0.25,11.087170847284654,1.0,0.8570833333333333
0.0855,20,1.0,7.751847255924762,1.0,0.8564583333333333
0.0855,40,1.0,4.129462831502711,1.75,0.856875
0.0855,80,1.0,2.8579024746148654,2.25,0.8504166666666667
0.0855,160,1.0,2.029890456650589,3.375,0.833125
0.1052,1,0.0,16.227364600976376,1.25,0.8585416666666666
0.1052,2,0.0,15.622767551274391,1.25,0.8589583333333334
0.1052,5,0.0,14.650461108011099,1.25,0.8564583333333333
0.1052,10,0.0,12.487967117730793,1.25,0.8541666666666666
0.1052,20,1.0,8.493352052481374,1.25,0.85375
0.1052,40,1.0,4.300440456311408,2.0,0.8545833333333334
0.1052,80,1.0,2.77906266205732,2.25,0.8479166666666667
0.1052,160,1.0,1.9226427758732871,3.625,0.8347916666666667
0.1295,1,0.0,18.014507728915646,1.375,0.856875
