rocket_id,pi_bin,keff,lat,Pi,floor,ceil,window_ratio,floor_censored,ceil_censored,opt_kd_floor,opt_kd_ceil,fsat_floor,usat_floor,regime
R1374,Pi50-100,18.81514140825259,2,75.26056563301036,0.02,600.0,,1,1,0.57,0.57,,,censored
R9170,Pi50-100,18.670739601925785,2,74.68295840770314,0.02,600.0,,1,1,0.57,0.57,,,censored
R4519,Pi50-100,8.346083222219548,3,75.11474899997593,0.02,600.0,,1,1,0.57,32.0,,,censored
R5128,Pi50-100,4.691559319558532,4,75.06494911293652,0.02,600.0,,1,1,0.57,32.0,,,censored
R7044,Pi50-100,2.0761858408351106,6,74.74269027006397,0.02,600.0,,1,1,0.01,32.0,,,censored
R6716,Pi100-250,43.69230990004617,2,174.76923960018468,0.08290180030323827,600.0,,0,1,0.2619696889582329,0.57,0.0,0.0,linear
R7102,Pi100-250,43.259635473998415,2,173.03854189599366,0.6996243413968444,600.0,,0,1,0.2238797892469902,32.0,0.0,0.0,linear
R3324,Pi100-250,19.459555650248777,3,175.136000852239,0.49032204485368736,420.5017028493272,857.603094257786,0,0,0.49032204485368736,32.0,0.1638888888888889,0.0,linear
R6677,Pi100-250,10.954709627771917,4,175.27535404435068,0.02,600.0,,1,1,0.57,32.0,,,censored
R0010,Pi100-250,4.8642375722628275,6,175.1125526014618,0.05810058032797764,600.0,,0,1,0.18359783383640935,32.0,0.0,0.0,linear
R3687,Pi250-600,44.5095552665731,3,400.5859973991579,0.6996243413968444,600.0,,0,1,0.2238797892469902,32.0,0.031111111111111107,0.0,linear
R5253,Pi250-600,42.48864478706108,3,382.39780308354966,0.05810058032797764,600.0,,0,1,0.18359783383640935,32.0,0.0,0.0,linear
R3762,Pi250-600,37.605998239002446,3,338.45398415102204,0.16878387172238915,600.0,,0,1,0.16878387172238915,32.0,0.0,0.0,linear
R1828,Pi250-600,26.570502453854452,4,425.12803926167123,0.49032204485368736,49.82723746744672,101.62145061683944,0,0,0.15690305435317994,0.57,0.0,0.0,linear
R6785,Pi250-600,11.703449054467727,6,421.3241659608382,0.05810058032797764,600.0,,0,1,0.18359783383640935,32.0,0.0,0.0,linear
R3515,Pi600-1200,44.69590347142803,4,715.1344555428485,0.49032204485368736,71.09684045959827,145.00029359441436,0,0,0.15690305435317994,0.57,0.0,0.0,linear
R4017,Pi600-1200,37.9047394631856,4,606.4758314109696,0.16878387172238915,101.44573490834127,601.039269173753,0,0,0.16878387172238915,0.57,0.0,0.0,linear
R0606,Pi600-1200,36.38709683579572,5,909.677420894893,0.04071898827408124,600.0,,0,1,0.12867200294609674,32.0,0.0,0.0,linear
R3742,Pi600-1200,35.478993290079735,5,886.9748322519933,0.04071898827408124,600.0,,0,1,0.12867200294609674,32.0,0.0,0.0,linear
R0745,Pi600-1200,24.715159445088783,6,889.7457400231962,0.05810058032797764,49.82723746744672,857.6030942577869,0,0,0.18359783383640935,0.57,0.0,0.0,linear
R2087,Pi1200-2500,44.88982430510228,6,1616.033674983682,0.34363542467589975,8.42460120556262,24.516102242684365,0,0,0.10996333589628793,0.57,0.0,0.0,linear
R7688,Pi1200-2500,40.61430777958492,6,1462.115080065057,0.11828984245461184,17.15206188515574,145.0002935944144,0,0,0.11828984245461184,0.57,0.0,0.0,linear
R2920,Pi1200-2500,34.97965659822752,6,1259.2676375361907,0.028537339845921612,34.92073033889863,1223.6855476874202,0,0,0.0901779939131123,0.57,0.0,0.0,linear
