p_unstable,tau_act_s,nat_freq_hz,act_bw_hz,disturb_freq_hz,freq_over_nat,freq_over_act_bw,success_rate,mean_theta_rms_deg,best_Kp,best_Kd
2,0.03,0.318309886183791,5.30516476972984,0.2,0.628318530717959,0.0376991118430775,1,1.05178646014997,10,1
2,0.03,0.318309886183791,5.30516476972984,0.4,1.25663706143592,0.075398223686155,1,1.06447320047662,10,1
2,0.03,0.318309886183791,5.30516476972984,0.7,2.19911485751286,0.131946891450771,1,1.06038893651045,10,1
2,0.03,0.318309886183791,5.30516476972984,1,3.14159265358979,0.188495559215388,1,1.07666878053922,10,1
2,0.03,0.318309886183791,5.30516476972984,1.4,4.39822971502571,0.263893782901543,1,1.08201468787446,10,1
2,0.03,0.318309886183791,5.30516476972984,2,6.28318530717959,0.376991118430775,1,1.07392007586079,10,1
2,0.03,0.318309886183791,5.30516476972984,3,9.42477796076938,0.565486677646163,1,1.06409728114224,10,1
2,0.03,0.318309886183791,5.30516476972984,4.5,14.1371669411541,0.848230016469244,1,1.0584834961358,10,1
2,0.03,0.318309886183791,5.30516476972984,6,18.8495559215388,1.13097335529233,1,1.05676185721678,10,1
2,0.05,0.318309886183791,3.18309886183791,0.2,0.628318530717959,0.0628318530717959,1,1.12455214841401,30,10
2,0.05,0.318309886183791,3.18309886183791,0.4,1.25663706143592,0.125663706143592,1,1.13499530864606,30,10
2,0.05,0.318309886183791,3.18309886183791,0.7,2.19911485751286,0.219911485751285,1,1.13535932668285,30,10
2,0.05,0.318309886183791,3.18309886183791,1,3.14159265358979,0.314159265358979,1,1.13433208592618,30,10
2,0.05,0.318309886183791,3.18309886183791,1.4,4.39822971502571,0.439822971502571,1,1.13087974267055,30,10
2,0.05,0.318309886183791,3.18309886183791,2,6.28318530717959,0.628318530717959,1,1.12788576560155,30,10
2,0.05,0.318309886183791,3.18309886183791,3,9.42477796076938,0.942477796076938,1,1.12299010165398,30,10
2,0.05,0.318309886183791,3.18309886183791,4.5,14.1371669411541,1.41371669411541,1,1.12382923632352,30,10
2,0.05,0.318309886183791,3.18309886183791,6,18.8495559215388,1.88495559215388,1,1.11357753666692,30,10
2,0.08,0.318309886183791,1.98943678864869,0.2,0.628318530717959,0.100530964914873,1,1.1249651494217,30,10
2,0.08,0.318309886183791,1.98943678864869,0.4,1.25663706143592,0.201061929829747,1,1.13461712143655,30,10
2,0.08,0.318309886183791,1.98943678864869,0.7,2.19911485751286,0.351858377202057,1,1.13449438782057,30,10
2,0.08,0.318309886183791,1.98943678864869,1,3.14159265358979,0.502654824574367,1,1.13285285222153,30,10
2,0.08,0.318309886183791,1.98943678864869,1.4,4.39822971502571,0.703716754404114,1,1.1303286884067,30,10
2,0.08,0.318309886183791,1.98943678864869,2,6.28318530717959,1.00530964914873,1,1.12780921892716,30,10
2,0.08,0.318309886183791,1.98943678864869,3,9.42477796076938,1.5079644737231,1,1.12291153366481,30,10
2,0.08,0.318309886183791,1.98943678864869,4.5,14.1371669411541,2.26194671058465,1,1.12328630468038,30,10
2,0.08,0.318309886183791,1.98943678864869,6,18.8495559215388,3.0159289474462,1,1.11164957218265,30,10
2,0.12,0.318309886183791,1.32629119243246,0.2,0.628318530717959,0.15079644737231,1,1.13510740126367,30,10
2,0.12,0.318309886183791,1.32629119243246,0.4,1.25663706143592,0.30159289474462,1,1.14440939912835,30,10
2,0.12,0.318309886183791,1.32629119243246,0.7,2.19911485751286,0.527787565803085,1,1.14387764589712,30,10
2,0.12,0.318309886183791,1.32629119243246,1,3.14159265358979,0.75398223686155,1,1.14141274459596,30,10
2,0.12,0.318309886183791,1.32629119243246,1.4,4.39822971502571,1.05557513160617,1,1.13909348126506,30,10
2,0.12,0.318309886183791,1.32629119243246,2,6.28318530717959,1.5079644737231,1,1.13580184760774,30,10
2,0.12,0.318309886183791,1.32629119243246,3,9.42477796076938,2.26194671058465,1,1.13230750433921,30,10
2,0.12,0.318309886183791,1.32629119243246,4.5,14.1371669411541,3.39292006587698,1,1.14049857102303,30,10
2,0.12,0.318309886183791,1.32629119243246,6,18.8495559215388,4.5238934211693,1,1.12503677462527,30,10
4,0.03,0.636619772367581,5.30516476972984,0.2,0.314159265358979,0.0376991118430775,1,1.12878114953552,10,1
4,0.03,0.636619772367581,5.30516476972984,0.4,0.628318530717959,0.075398223686155,1,1.13956754137748,10,1
4,0.03,0.636619772367581,5.30516476972984,0.7,1.09955742875643,0.131946891450771,1,1.14690757205815,10,1
4,0.03,0.636619772367581,5.30516476972984,1,1.5707963267949,0.188495559215388,1,1.15987858109563,10,1
4,0.03,0.636619772367581,5.30516476972984,1.4,2.19911485751286,0.263893782901543,1,1.17368939118667,10,1
4,0.03,0.636619772367581,5.30516476972984,2,3.14159265358979,0.376991118430775,1,1.1472927798154,10,1
4,0.03,0.636619772367581,5.30516476972984,3,4.71238898038469,0.565486677646163,1,1.12986052894159,10,1
4,0.03,0.636619772367581,5.30516476972984,4.5,7.06858347057703,0.848230016469244,1,1.13448889301445,10,1
4,0.03,0.636619772367581,5.30516476972984,6,9.42477796076938,1.13097335529233,1,1.12847641053663,10,1
4,0.05,0.636619772367581,3.18309886183791,0.2,0.314159265358979,0.0628318530717959,1,1.16502153815695,30,10
4,0.05,0.636619772367581,3.18309886183791,0.4,0.628318530717959,0.125663706143592,1,1.17725888554502,30,10
4,0.05,0.636619772367581,3.18309886183791,0.7,1.09955742875643,0.219911485751285,1,1.17571973619835,30,10
4,0.05,0.636619772367581,3.18309886183791,1,1.5707963267949,0.314159265358979,1,1.17307822256132,30,10
4,0.05,0.636619772367581,3.18309886183791,1.4,2.19911485751286,0.439822971502571,1,1.17159798957033,30,10
4,0.05,0.636619772367581,3.18309886183791,2,3.14159265358979,0.628318530717959,1,1.16981475535514,30,10
4,0.05,0.636619772367581,3.18309886183791,3,4.71238898038469,0.942477796076938,1,1.16983214641353,30,10
4,0.05,0.636619772367581,3.18309886183791,4.5,7.06858347057703,1.41371669411541,1,1.16827813151619,30,10
4,0.05,0.636619772367581,3.18309886183791,6,9.42477796076938,1.88495559215388,1,1.15800302345209,30,10
4,0.08,0.636619772367581,1.98943678864869,0.2,0.314159265358979,0.100530964914873,1,1.16656378606989,30,10
4,0.08,0.636619772367581,1.98943678864869,0.4,0.628318530717959,0.201061929829747,1,1.17636647747756,30,10
4,0.08,0.636619772367581,1.98943678864869,0.7,1.09955742875643,0.351858377202057,1,1.17684495256084,30,10
4,0.08,0.636619772367581,1.98943678864869,1,1.5707963267949,0.502654824574367,1,1.1748857643412,30,10
4,0.08,0.636619772367581,1.98943678864869,1.4,2.19911485751286,0.703716754404114,1,1.17305771270166,30,10
4,0.08,0.636619772367581,1.98943678864869,2,3.14159265358979,1.00530964914873,1,1.17003354524598,30,10
4,0.08,0.636619772367581,1.98943678864869,3,4.71238898038469,1.5079644737231,1,1.17313918401241,30,10
4,0.08,0.636619772367581,1.98943678864869,4.5,7.06858347057703,2.26194671058465,1,1.16854116544429,30,10
4,0.08,0.636619772367581,1.98943678864869,6,9.42477796076938,3.0159289474462,1,1.1565630819499,30,10
4,0.12,0.636619772367581,1.32629119243246,0.2,0.314159265358979,0.15079644737231,1,1.17950744154495,30,10
4,0.12,0.636619772367581,1.32629119243246,0.4,0.628318530717959,0.30159289474462,1,1.18816912952501,30,10
4,0.12,0.636619772367581,1.32629119243246,0.7,1.09955742875643,0.527787565803085,1,1.18711402026242,30,10
4,0.12,0.636619772367581,1.32629119243246,1,1.5707963267949,0.75398223686155,1,1.18423238184164,30,10
4,0.12,0.636619772367581,1.32629119243246,1.4,2.19911485751286,1.05557513160617,1,1.18163733545376,30,10
4,0.12,0.636619772367581,1.32629119243246,2,3.14159265358979,1.5079644737231,1,1.17944560816505,30,10
4,0.12,0.636619772367581,1.32629119243246,3,4.71238898038469,2.26194671058465,0.833333333333333,1.81142319235767,30,10
4,0.12,0.636619772367581,1.32629119243246,4.5,7.06858347057703,3.39292006587698,1,1.1904718488585,30,10
4,0.12,0.636619772367581,1.32629119243246,6,9.42477796076938,4.5238934211693,1,1.17417313231776,30,10
6,0.03,0.954929658551372,5.30516476972984,0.2,0.20943951023932,0.0376991118430775,1,1.28446022491903,30,10
6,0.03,0.954929658551372,5.30516476972984,0.4,0.418879020478639,0.075398223686155,1,1.29051596250949,30,10
