rocket_id,regime,wind_mult,sr,rms
R0123,EASY,1.5x,1.0,8.313955554584444
R0124,EASY,1.5x,1.0,2.8476105559145637
R0125,EASY,1.5x,1.0,3.494545561090151
R0126,EASY,1.5x,1.0,2.9418315101911667
R0127,EASY,1.5x,1.0,5.73870290237062
R0128,EASY,1.5x,1.0,8.549290271791188
R0129,EASY,1.5x,1.0,4.039686207587746
R0130,EASY,1.5x,1.0,5.988870776396834
R0131,EASY,1.5x,1.0,3.9322423322355093
R0132,EASY,1.5x,1.0,3.399188648281882
R0133,EASY,1.5x,1.0,3.7964299108651454
R0134,EASY,1.5x,1.0,2.1703025521794688
R0135,EASY,1.5x,1.0,3.551330684663011
R0136,EASY,1.5x,1.0,4.284028172371325
R0137,EASY,1.5x,1.0,1.6562283323029756
R0138,EASY,1.5x,1.0,4.104349926527569
R0139,EASY,1.5x,1.0,2.8778359894433834
R0140,EASY,1.5x,1.0,1.2672388788629843
R0141,EASY,1.5x,1.0,3.3694908731260593
R0142,EASY,1.5x,1.0,3.5245623022450965
R0143,EASY,1.5x,1.0,7.796747099711386
R0144,EASY,1.5x,1.0,3.617123393867825
R0145,EASY,1.5x,1.0,2.515959428806573
R0146,FRAGILE,1.5x,1.0,5.155389175883862
R0147,EASY,1.5x,1.0,3.4828879500751633
R0148,EASY,1.5x,1.0,3.889693278823811
R0149,EASY,1.5x,1.0,4.689725637914168
R0150,EASY,1.5x,1.0,3.776076100869714
R0151,EASY,1.5x,1.0,2.4416236715269757
R0152,EASY,1.5x,1.0,3.4451640607000846
R0153,EASY,1.5x,1.0,2.684824362322523
R0154,EASY,1.5x,1.0,6.181157113251653
R0155,EASY,1.5x,1.0,6.319486054249924
R0156,EASY,1.5x,0.0,16.88041312605008
R0157,EASY,1.5x,1.0,4.612695007285617
R0158,EASY,1.5x,1.0,4.357273912071222
R0159,EASY,1.5x,1.0,2.9295995257007803
R0160,EASY,1.5x,1.0,4.015647263080898
R0161,EASY,1.5x,1.0,3.722707809671007
R0162,EASY,1.5x,1.0,3.2879155305999834
R0163,EASY,1.5x,1.0,1.5792815509259306
R0164,EASY,1.5x,1.0,6.522046207581776
R0165,EASY,1.5x,1.0,3.9316343014082142
R0166,EASY,1.5x,1.0,1.9786709096120794
R0167,EASY,1.5x,0.6666666666666666,7.816434761788429
R0168,EASY,1.5x,1.0,1.4906277651896576
R0169,EASY,1.5x,1.0,3.9880478665295556
R0170,EASY,1.5x,1.0,4.5666191443739885
R0171,EASY,1.5x,0.6666666666666666,7.010146276100209
R0172,EASY,1.5x,1.0,2.2153130772539034
R0173,EASY,1.5x,1.0,2.3260315871175488
R0174,EASY,1.5x,1.0,2.8965794578585666
R0175,EASY,1.5x,1.0,2.188844680865024
R0176,EASY,1.5x,1.0,5.430656581606488
R0177,EASY,1.5x,1.0,0.9390925074231191
R0178,EASY,1.5x,1.0,3.6450841371785394
R0179,EASY,1.5x,1.0,1.789544519013204
R0180,EASY,1.5x,1.0,7.970818850472724
R0181,EASY,1.5x,1.0,3.3802512078158657
R0182,EASY,1.5x,1.0,4.126203203871125
R0183,EASY,1.5x,0.3333333333333333,14.724326184898294
R0184,EASY,1.5x,1.0,3.8154191204440955
R0185,EASY,1.5x,1.0,3.6754230382932302
R0186,EASY,1.5x,1.0,4.048098519727291
R0187,EASY,1.5x,1.0,6.562503716627006
R0188,EASY,1.5x,1.0,3.076212883801825
R0189,EASY,1.5x,1.0,3.1706670722479315
R0190,EASY,1.5x,1.0,3.284163066477159
R0191,EASY,1.5x,1.0,3.3785676497998356
R0192,EASY,1.5x,1.0,2.1345094039915202
R0193,EASY,1.5x,1.0,2.2865909206190342
R0194,EASY,1.5x,1.0,3.9599406115464055
R0195,EASY,1.5x,0.6666666666666666,7.767241431576391
R0196,EASY,1.5x,1.0,6.303654758760209
R0197,EASY,1.5x,1.0,4.786665547236602
R0198,EASY,1.5x,1.0,4.7428643523266265
R0199,EASY,1.5x,0.6666666666666666,7.379653861182722
R0200,EASY,1.5x,1.0,3.0488049791949656
R0201,EASY,1.5x,1.0,2.9762160250561203
R0202,EASY,1.5x,1.0,4.398674889883013
R0203,EASY,1.5x,0.6666666666666666,8.048480927484654
R0204,EASY,1.5x,1.0,1.82542239302692
R0205,EASY,1.5x,1.0,4.8345205846234025
R0206,EASY,1.5x,0.6666666666666666,7.240641181113979
R0207,EASY,1.5x,0.6666666666666666,8.19470126900034
R0208,EASY,1.5x,1.0,3.8583307643490756
R0209,EASY,1.5x,1.0,3.156464979835634
R0210,EASY,1.5x,1.0,5.11217518452387
R0211,EASY,1.5x,1.0,2.359570262209319
R0212,EASY,1.5x,1.0,3.2021239976941342
R0213,EASY,1.5x,1.0,6.0652158092148305
R0214,EASY,1.5x,1.0,4.127055814183677
R0215,EASY,1.5x,1.0,2.485118899211952
R0216,EASY,1.5x,1.0,4.468324808353467
R0217,EASY,1.5x,0.6666666666666666,6.61992029115617
R0218,EASY,1.5x,1.0,2.142320784060652
R0219,EASY,1.5x,0.6666666666666666,5.210008938254425
R0220,EASY,1.5x,1.0,2.4940333941548576
R0221,EASY,1.5x,1.0,4.460338910772825
R0222,EASY,1.5x,0.6666666666666666,6.784052228232649
R0223,EASY,1.5x,1.0,1.781986652176501
R0224,EASY,1.5x,1.0,2.749829537827022
R0225,EASY,1.5x,1.0,3.1149988856172635
R0226,EASY,1.5x,1.0,1.9488476954246785
R0227,EASY,1.5x,1.0,1.6393048769768734
R0228,EASY,1.5x,1.0,1.226460299642915
R0229,EASY,1.5x,1.0,2.6030962405670706
R0230,EASY,1.5x,1.0,3.5855262799675836
R0231,EASY,1.5x,1.0,3.5360443110505506
R0232,EASY,1.5x,1.0,5.837455413274731
R0233,EASY,1.5x,0.0,9.236774208621926
R0234,EASY,1.5x,1.0,2.5949132063232696
R0235,EASY,1.5x,1.0,2.827133337278427
R0236,EASY,1.5x,1.0,4.829494923363458
R0237,EASY,1.5x,1.0,2.007862268603848
R0238,EASY,1.5x,1.0,3.5860030705642507
R0239,EASY,1.5x,1.0,3.5402393596020256
R0240,EASY,1.5x,1.0,5.398881490958324
R0241,EASY,1.5x,1.0,3.803078210172862
R0242,EASY,1.5x,1.0,4.177581952460597
R0243,EASY,1.5x,1.0,2.7288924180363154
R0244,EASY,1.5x,1.0,4.908545943627764
R0245,EASY,1.5x,1.0,2.7024836166421546
R0246,EASY,1.5x,1.0,3.9840431656220914
R0247,EASY,1.5x,1.0,2.4147864815408098
R0248,EASY,1.5x,1.0,5.772087373155828
R0249,EASY,1.5x,1.0,5.5635050479981345
R0250,EASY,1.5x,1.0,6.132835410318229
R0251,EASY,1.5x,1.0,2.598129282361766
R0252,EASY,1.5x,1.0,4.166496981904874
R0253,EASY,1.5x,1.0,4.392157547269737
R0254,EASY,1.5x,1.0,4.604111550407786
R0255,EASY,1.5x,1.0,5.0813548576250325
R0256,EASY,1.5x,1.0,5.236251722057243
R0257,EASY,1.5x,0.6666666666666666,8.166854309592454
R0258,EASY,1.5x,1.0,3.5343964304764293
R0259,EASY,1.5x,1.0,1.6543186073770269
R0260,EASY,1.5x,1.0,4.688473250502662
