Iyy,td,floor_kp,ceil_kp,window_ratio,ceil_capped
0.005,188.49555921538757,10.857670466379624,354.4097133350338,32.64141368375937,False
0.005963499409021294,158.0410647230388,9.037839114462042,354.4097133350338,39.21398786220032,False
0.007112665040279458,132.50698447623054,9.037839114462042,511.50480425075546,56.5959183132905,False
0.008483274752854595,111.09834627951867,6.26210730203502,511.50480425075546,81.68253585890005,False
0.01011800079504272,93.14861850363778,3.0062999042780216,425.77255788038127,141.6267742531272,False
0.012067738352342844,78.0989584426948,1.733868479521449,511.50480425075546,295.00784534241706,False
0.014393190106484027,65.48081343359445,4.338867661347438,511.50480425075546,117.88900795649235,False
0.017166756138789728,54.90133304493853,4.338867661347438,511.50480425075546,117.88900795649235,False
0.020474788017697025,46.03113816183707,3.6116391617911954,425.77255788038127,117.88900795649226,False
0.024420277248674502,38.59406617212318,2.502420288847383,425.77255788038127,170.14430380777182,False
0.029126061788121282,32.35857298295358,2.0829948778975518,425.77255788038127,204.4040349778153,False
0.0347386504521158,27.130524180150907,2.502420288847383,354.4097133350338,141.62677425312725,False
0.04143278428827796,22.747150891898446,2.0829948778975518,295.00784534241706,141.6267742531273,False
0.04941687692345045,19.07198218003314,2.502420288847383,295.00784534241706,117.88900795649235,False
0.05893950326573494,15.990596185171054,2.0829948778975518,245.56219973379717,117.88900795649229,False
0.07029713857864377,13.407057742792139,1.4432584238096626,204.40403497781534,141.62677425312725,False
0.08384338887392599,11.240931559841018,1.4432584238096626,245.56219973379717,170.14430380777185,False
0.1,9.42477796076938,1.0,204.40403497781534,204.40403497781534,False
