label,rocket_id,regime,theta_ddot,Iyy,Kp,sr,rms_deg
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,1,0.8,5.950297279488943
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,2,1.0,3.78146465827498
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,3,0.8,4.959059243034958
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,4,0.8,4.479968625015015
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,5,0.8,4.43994926239274
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,6,0.6,7.099890588505422
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,7,0.8,4.629319360287029
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,10,0.8,5.457603477047202
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,12,0.8,6.202303684429536
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,16,1.0,4.505663280242622
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,20,1.0,5.3332864241103675
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,26,1.0,3.5743147328712817
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,33,1.0,3.3416515947938223
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,43,1.0,3.3030369957087253
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,55,1.0,2.668135832427594
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,71,1.0,2.5898529057233133
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,91,1.0,2.7809475917341047
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,117,1.0,2.1617937437463524
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,151,1.0,2.215543558443484
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,194,1.0,2.1988551832931
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,249,1.0,1.9361147428315522
EASY_low,R0630,EASY,15.254920317329251,0.0311071905360288,320,1.0,2.1197257428958594
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,1,0.4,8.89126087520451
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,2,0.2,17.45473630500853
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,3,0.4,9.972472240214229
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,4,0.4,9.020737989814862
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,5,0.6,8.62349238261832
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,6,0.4,11.692673075681373
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,7,0.0,15.61657173517467
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,10,0.6,7.58033298964021
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,12,0.8,7.565567656779794
EASY_mid,R0764,EASY,37.60416690998562,0.0268277320339064,16,0.6,9.10928238374975
