Iyy,td,Kp,sr,rms
0.005,188.49555921538757,1.0,0.2,17.622314533859914
0.005,188.49555921538757,1.201356909419371,0.2,16.334284372239065
0.005,188.49555921538757,1.4432584238096626,0.4,18.777853494521146
0.005,188.49555921538757,1.733868479521449,0.2,23.277606404564164
0.005,188.49555921538757,2.0829948778975518,0.2,18.583859341917684
0.005,188.49555921538757,2.502420288847383,0.5,16.187943999311976
0.005,188.49555921538757,3.0062999042780216,0.4,11.398565865558243
0.005,188.49555921538757,3.6116391617911954,0.7,10.041589155837311
0.005,188.49555921538757,4.338867661347438,0.7,9.744186855879507
0.005,188.49555921538757,5.212528644016011,0.3,13.2048229389303
0.005,188.49555921538757,6.26210730203502,0.7,13.755678057374041
0.005,188.49555921538757,7.523025874825267,0.5,10.816635385944465
0.005,188.49555921538757,9.037839114462042,0.5,11.232604422089429
0.005,188.49555921538757,10.857670466379624,0.9,9.184934883036885
0.005,188.49555921538757,13.043937434983807,0.5,9.207270862147976
0.005,188.49555921538757,15.67042436355178,0.5,8.926170139138794
0.005,188.49555921538757,18.825772582686582,0.7,7.004122961083922
0.005,188.49555921538757,22.616471967368284,0.6,6.732805905199358
0.005,188.49555921538757,27.170454864687393,0.7,5.994258130947565
0.005,188.49555921538757,32.64141368375937,1.0,6.435932146248929
0.005,188.49555921538757,39.21398786220032,0.9,5.16767515937414
0.005,188.49555921538757,47.10999526414169,1.0,4.241813579583955
0.005,188.49555921538757,56.59591831329047,1.0,3.6249568368312004
0.005,188.49555921538757,67.99189751060582,0.9,3.8655303705720128
0.005,188.49555921538757,81.68253585890001,1.0,4.211115223977478
0.005,188.49555921538757,98.12987883298509,1.0,3.781906245189866
0.005,188.49555921538757,117.88900795649232,0.9,3.716852656393989
0.005,188.49555921538757,141.6267742531272,1.0,3.1530190913781766
0.005,188.49555921538757,170.14430380777196,1.0,3.174465437748176
0.005,188.49555921538757,204.40403497781534,0.9,3.840582442449437
0.005,188.49555921538757,245.56219973379717,0.9,3.0070503285119217
0.005,188.49555921538757,295.00784534241706,0.9,3.675744479228469
0.005,188.49555921538757,354.4097133350338,0.8,3.964631060511361
0.005,188.49555921538757,425.77255788038127,0.7,4.484597550938654
0.005,188.49555921538757,511.50480425075546,0.4,4.326574824622654
0.005,188.49555921538757,614.4998307878476,0.3,10.321649060112952
0.005,188.49555921538757,738.2336175540148,0.1,24.76997011662112
0.005,188.49555921538757,886.8820572141738,0.0,85.43221187618735
0.005,188.49555921538757,1065.461887274313,0.0,180.1586923446229
0.005,188.49555921538757,1280.0,0.0,257.2456834292366
0.005963499409021294,158.0410647230388,1.0,0.1,20.676636199644598
0.005963499409021294,158.0410647230388,1.201356909419371,0.1,25.659235157704806
0.005963499409021294,158.0410647230388,1.4432584238096626,0.4,13.78015044061901
0.005963499409021294,158.0410647230388,1.733868479521449,0.2,18.025241583685823
0.005963499409021294,158.0410647230388,2.0829948778975518,0.3,17.448850966414362
0.005963499409021294,158.0410647230388,2.502420288847383,0.6,13.963656732996247
0.005963499409021294,158.0410647230388,3.0062999042780216,0.4,15.152899657624104
0.005963499409021294,158.0410647230388,3.6116391617911954,0.3,13.849827070794538
0.005963499409021294,158.0410647230388,4.338867661347438,0.5,12.48654136193847
0.005963499409021294,158.0410647230388,5.212528644016011,0.6,10.107605326247427
0.005963499409021294,158.0410647230388,6.26210730203502,0.6,9.080258368371846
0.005963499409021294,158.0410647230388,7.523025874825267,0.7,9.462414558545184
0.005963499409021294,158.0410647230388,9.037839114462042,0.8,8.205394575742037
0.005963499409021294,158.0410647230388,10.857670466379624,0.7,7.8223658701304135
0.005963499409021294,158.0410647230388,13.043937434983807,1.0,6.323698518561131
0.005963499409021294,158.0410647230388,15.67042436355178,0.8,6.52294859293779
0.005963499409021294,158.0410647230388,18.825772582686582,0.8,5.692893838939936
0.005963499409021294,158.0410647230388,22.616471967368284,0.8,5.293202351177473
0.005963499409021294,158.0410647230388,27.170454864687393,0.8,5.633331125309599
0.005963499409021294,158.0410647230388,32.64141368375937,1.0,4.458980140128013
0.005963499409021294,158.0410647230388,39.21398786220032,1.0,4.104950980499861
0.005963499409021294,158.0410647230388,47.10999526414169,0.8,4.506746086476357
0.005963499409021294,158.0410647230388,56.59591831329047,0.8,4.257832618329919
0.005963499409021294,158.0410647230388,67.99189751060582,0.9,3.9738049350381646
0.005963499409021294,158.0410647230388,81.68253585890001,1.0,3.5086686699454406
0.005963499409021294,158.0410647230388,98.12987883298509,0.9,3.8491540491248535
0.005963499409021294,158.0410647230388,117.88900795649232,1.0,2.9567827582159345
0.005963499409021294,158.0410647230388,141.6267742531272,0.9,3.303902281487261
0.005963499409021294,158.0410647230388,170.14430380777196,1.0,3.1582891515879328
0.005963499409021294,158.0410647230388,204.40403497781534,1.0,3.164781175633539
0.005963499409021294,158.0410647230388,245.56219973379717,0.9,3.2042944854394895
0.005963499409021294,158.0410647230388,295.00784534241706,0.8,3.1332983674499535
0.005963499409021294,158.0410647230388,354.4097133350338,0.8,3.0193068651260484
0.005963499409021294,158.0410647230388,425.77255788038127,0.6,3.887537234127985
0.005963499409021294,158.0410647230388,511.50480425075546,0.4,6.261098853591626
0.005963499409021294,158.0410647230388,614.4998307878476,0.4,7.007541873239264
0.005963499409021294,158.0410647230388,738.2336175540148,0.1,18.70095569844239
0.005963499409021294,158.0410647230388,886.8820572141738,0.0,77.69367049387651
0.005963499409021294,158.0410647230388,1065.461887274313,0.0,124.00656494831523
0.005963499409021294,158.0410647230388,1280.0,0.0,200.78032901745536
0.007112665040279458,132.50698447623054,1.0,0.3,20.43816228584989
0.007112665040279458,132.50698447623054,1.201356909419371,0.2,16.97614006978912
0.007112665040279458,132.50698447623054,1.4432584238096626,0.3,13.54739502936452
0.007112665040279458,132.50698447623054,1.733868479521449,0.4,12.101152715623723
0.007112665040279458,132.50698447623054,2.0829948778975518,0.4,13.51052045386995
0.007112665040279458,132.50698447623054,2.502420288847383,0.5,11.296037498911643
0.007112665040279458,132.50698447623054,3.0062999042780216,0.5,10.833701387019206
0.007112665040279458,132.50698447623054,3.6116391617911954,0.4,9.320339668889883
0.007112665040279458,132.50698447623054,4.338867661347438,0.5,10.801075646028572
0.007112665040279458,132.50698447623054,5.212528644016011,0.6,8.9672218666851
0.007112665040279458,132.50698447623054,6.26210730203502,0.6,7.1818944325175185
0.007112665040279458,132.50698447623054,7.523025874825267,0.4,9.034401629551542
0.007112665040279458,132.50698447623054,9.037839114462042,0.8,7.9713042762920505
0.007112665040279458,132.50698447623054,10.857670466379624,0.7,6.380020179778059
0.007112665040279458,132.50698447623054,13.043937434983807,0.7,7.078325650528868
0.007112665040279458,132.50698447623054,15.67042436355178,0.7,7.070296710344873
0.007112665040279458,132.50698447623054,18.825772582686582,1.0,5.021974490212043
0.007112665040279458,132.50698447623054,22.616471967368284,1.0,5.418662174352042
0.007112665040279458,132.50698447623054,27.170454864687393,0.8,4.47473059058258
0.007112665040279458,132.50698447623054,32.64141368375937,0.9,5.254652404395463
0.007112665040279458,132.50698447623054,39.21398786220032,1.0,4.805387980259015
0.007112665040279458,132.50698447623054,47.10999526414169,1.0,3.7905839199263696
0.007112665040279458,132.50698447623054,56.59591831329047,1.0,3.6567554050009234
0.007112665040279458,132.50698447623054,67.99189751060582,1.0,3.0240343150058537
0.007112665040279458,132.50698447623054,81.68253585890001,0.9,3.6737175850847144
0.007112665040279458,132.50698447623054,98.12987883298509,1.0,2.600573242996991
0.007112665040279458,132.50698447623054,117.88900795649232,1.0,2.3520289557009195
0.007112665040279458,132.50698447623054,141.6267742531272,1.0,2.5813249002241045
0.007112665040279458,132.50698447623054,170.14430380777196,1.0,2.562495530104085
