rocket_id,design_id,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,n_success_gain_sets,nominal_diverge_rate,nominal_band_30_rate,nominal_band_20_rate,nominal_band_10_rate,under_diverge_rate,over_diverge_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,oscillation_score,under_u_sat_frac,over_u_sat_frac,regime_label,regime_code
R0001,1,0.0,1.3576780674399598,0.0130647154798341,-0.2641108535497068,-37.88210121005577,12.932920307048692,1.7603501903582248,69.7915926730087,3.020328484504756,3,0.0269778421269918,0.1317738856224588,0.3551844798131129,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.9256413640940664,2.560609933223188,1.5961687755098746,2.560609933223188,0.0,0.0127777777777777,1.88,4.666666666666667,0.0,0.0,EASY,2
R0002,2,0.0,1.7551108082514633,0.0283475670161518,-0.0803666802509317,-18.438868867680853,7.226921414404747,2.4044968240070395,47.89764681336276,8.424342655615982,3,0.0229768462683728,0.2349510879363254,0.0731350881068192,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.864280416053336,6.13922077386987,3.12504763784648,6.13922077386987,0.0,0.1066666666666666,2.4683333333333333,5.0,0.0,0.0,EASY,2
R0003,3,0.0,1.8834350392473325,0.0327815536884221,-0.1410567273372627,-63.83343168733383,9.228360680304228,2.12934096021244,85.65811229719573,9.083308014025846,5,0.0150122022276564,0.1698554710021843,0.2396186119826783,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.0709526734057473,4.299227742359806,2.827443805477565,4.299227742359806,0.0,0.1177777777777777,2.0,7.333333333333333,0.0,0.0,EASY,2
R0004,4,0.0,1.0016657985191049,0.0107941112974232,-0.0423913090266203,-32.86765621429425,8.215119806299999,2.022340021457648,52.41070465688095,10.77877027030216,2,0.0925352051631729,0.0998734807632479,0.0844319118927125,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.1152114052030433,3.35881101554765,1.6381482153368594,3.35881101554765,0.0,0.2494444444444444,1.9633333333333336,5.666666666666667,0.0,0.0,EASY,2
R0005,5,1.5815109539402252,1.017573298463366,0.0125470757564266,0.2044854243145777,-36.227543246625686,7.961399023408376,1.97222717029716,52.69830887603365,3.20367055136734,5,0.1290996008211599,0.1950193728765973,0.3908055045133487,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.5929236980820365,6.450464277222697,2.336384580193211,6.450464277222697,0.0,0.3349999999999999,2.0,8.333333333333334,0.0,0.0,EASY,2
R0006,6,0.5964284416217986,1.5053190936947234,0.0342614043760085,0.1484704985244698,-22.12380930201718,5.116592822409847,2.726354471735614,102.21017706434674,2.1897502946227,3,0.1119551943631775,0.0704740248435266,0.1659546264063591,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.0151617188252564,3.1836075578752303,2.0304450680892687,3.1836075578752303,0.0,0.0,1.9383333333333328,6.333333333333333,0.0,0.0,EASY,2
R0007,7,0.0,1.3432079510155437,0.0385543769174805,-0.1107711110802849,-57.88799398131784,9.942343946848018,1.860943759563287,9.632110816909057,5.671717160643642,2,0.0730257722142389,0.0890447298991107,0.2676791466469372,40.0,2.0,1.0,1.0,1.0,1.0,3,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,6.468208584490839,27.61984705049367,5.863224628651167,27.61984705049367,0.0,0.1833333333333333,2.373333333333333,2.333333333333333,0.0,0.0,EASY,2
R0008,8,1.3451634756171666,1.1917094694301498,0.0267956641274433,0.0843522711271296,-77.03196262096968,6.275155402950345,2.0974142672531846,50.77082727036092,5.47163521250042,5,0.1060318308128528,0.1155273097442734,0.0724047119912706,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.4191679108433124,5.866808345093533,1.7415937813183906,5.866808345093533,0.0,0.1822222222222222,1.75,5.0,0.0,0.0,EASY,2
R0009,9,1.788312040239855,2.015263255299472,0.0115716628042113,0.1359171077506643,-51.82877101257724,10.585854082023856,1.394769154083458,56.94999017863236,10.6401457958192,1,0.0553403727410288,0.2058220233602984,0.1958879599844933,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.325832086853515,3.235758116460825,1.822610453533785,3.235758116460825,0.0,0.1455555555555555,2.0,5.666666666666667,0.0,0.0,EASY,2
R0010,10,0.0007316244944299,1.8098593831080807,0.0271042572170663,6.82513464282386e-05,-51.024020234122425,8.970845971452666,2.0365458209946485,38.33896891293629,8.51063068198738,4,0.0808518173572586,0.0450177302350903,0.2106986247546559,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.9502527884615688,7.342157494933531,3.36367970833246,7.342157494933531,0.0,0.2227777777777777,2.0,5.666666666666667,0.0,0.0,EASY,2
