rocket_id,regime,is_fragile,seed,rms,slew_sat,success,peak,td_max,latency
R0026,FRAGILE,1,1,53.448442616685476,0.7433333333333333,0,83.42122961347678,367.97884529976704,5
R0026,FRAGILE,1,2,7.822887112806894,0.75,1,14.716512356690915,367.97884529976704,5
R0026,FRAGILE,1,3,16.867239532399605,0.7466666666666667,0,29.95816100406088,367.97884529976704,5
R0026,FRAGILE,1,4,11.49751404552298,0.7466666666666667,1,20.10714582213193,367.97884529976704,5
R0026,FRAGILE,1,5,21.95033936097265,0.7433333333333333,0,34.37180238179601,367.97884529976704,5
R0026,FRAGILE,1,6,24.98213222775471,0.7516666666666667,0,41.48791017291549,367.97884529976704,5
R0026,FRAGILE,1,7,16.36713394671311,0.7616666666666667,0,30.63778833157267,367.97884529976704,5
R0179,FRAGILE,1,1,6.594073772356369,0.5983333333333334,1,12.458848470786492,98.96797353395854,5
R0179,FRAGILE,1,2,5.0917152590187795,0.5733333333333334,1,8.790968535400895,98.96797353395854,5
R0179,FRAGILE,1,3,10.815481683031736,0.6366666666666667,1,17.290877430642293,98.96797353395854,5
R0179,FRAGILE,1,4,8.265437745396845,0.615,1,13.459537447817643,98.96797353395854,5
R0179,FRAGILE,1,5,6.364540490178862,0.6016666666666667,1,14.524552937651572,98.96797353395854,5
R0179,FRAGILE,1,6,10.96397939013212,0.6016666666666667,0,18.49059075852595,98.96797353395854,5
R0179,FRAGILE,1,7,7.559308033506525,0.605,0,18.467766505193786,98.96797353395854,5
R0236,FRAGILE,1,1,11.48218403769441,0.7066666666666667,1,18.11798357974375,168.5998668667279,6
R0236,FRAGILE,1,2,13.674523290058197,0.725,1,22.309634552117924,168.5998668667279,6
R0236,FRAGILE,1,3,18.33751286493239,0.715,0,39.91683523329677,168.5998668667279,6
R0236,FRAGILE,1,4,16.01709219331735,0.7366666666666667,0,26.82374647134891,168.5998668667279,6
R0236,FRAGILE,1,5,1.3364239058968694,0.7333333333333333,1,2.8503931517098775,168.5998668667279,6
R0236,FRAGILE,1,6,6.65756524866866,0.7333333333333333,1,11.522187403149942,168.5998668667279,6
R0236,FRAGILE,1,7,11.15864173668337,0.7366666666666667,1,20.037406346143058,168.5998668667279,6
R0303,FRAGILE,1,1,26.774516470347795,0.7666666666666667,0,41.7196937787971,217.5129605955632,6
R0303,FRAGILE,1,2,27.873816535132402,0.7483333333333333,0,61.55425338152412,217.5129605955632,6
R0303,FRAGILE,1,3,12.424427727217468,0.7683333333333333,1,24.2914683988568,217.5129605955632,6
R0303,FRAGILE,1,4,35.111740386569764,0.7566666666666667,0,62.76726098497231,217.5129605955632,6
