rocket_id,td,keff,u_max,latency_steps,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew,static_margin,opt_Kp,opt_Kd,peak_sr_search,kp_floor,kp_ceiling,window_ratio,peak_sr,floor_censored,ceil_censored,best_kd_floor,best_kd_ceil,td_bin,lat_bin
R0049,80.04661205068682,9.821145129103911,8.15043571787543,3,0.020533460059270533,2.56764149246812,10.188044647344288,0.3171429428628271,128.4606643240587,-0.04966838354080971,1.2689051339413573,0.10171350971479927,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,21.5,td80-120,lat2-3
R0093,182.0763566033869,30.700856807441465,5.930660428970637,2,0.005976380844903858,2.3361400764223568,7.413325536213296,0.0689352429808166,132.33576488739337,-0.17057871875320008,2.764295700129689,0.06517462781510076,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,0.38,td180-300,lat2-3
R0213,219.2985103352799,24.032644502282682,9.12502618321718,5,0.007113359232873254,2.176639081013015,11.406282729021475,0.2916098216683963,166.1837251406423,0.007410852379798438,0.9231014057756852,0.13391975929963193,1.0,0.6008008345083048,53.1565572177533,88.47617074509661,1.0,False,False,0.13391975929963193,0.38,td180-300,lat5-6
R0234,44.89246476578255,5.245894664664795,8.557637473769427,1,0.036674186992451716,2.4495718329973184,10.697046842211783,0.22020608632903793,96.82737634939254,0.29009120390868687,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.05217092291062181,5.62,td40-80,lat1
R0259,145.52418670934162,12.98487367899014,11.207208503291296,1,0.014098743683370808,2.3309248008565544,14.009010629114119,0.12262768416700567,195.94043469592594,0.04819566623362859,1.7442506628941208,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.1,1.46,td120-180,lat1
R0266,105.3105867363675,11.644412544545062,9.04387287323492,5,0.0062298852123422455,0.9236506640640498,11.304841091543649,0.3826588669944616,111.11834081739644,0.20332456393884885,5.630718226396487,0.182142683484797,1.0,0.9406177265238869,500.0,531.5655721775328,1.0,False,True,0.38,21.5,td80-120,lat5-6
R0384,348.8473292395993,29.392138566166818,11.868729063531163,1,0.006071298935761828,2.2720763545538047,14.835911329413953,0.42950015903508126,157.90789605725786,-0.2811332265252654,2.764295700129689,0.14580139875562764,1.0,0.6008008345083048,500.0,832.2225457779197,1.0,False,True,0.38,0.38,td300+,lat1
R0477,53.876395063902805,4.990970497578579,10.79477329910916,6,0.042946283436679215,2.729107904784412,13.49346662388645,0.2153985432917086,110.05385043860548,0.28310140144188994,1.4629349445311304,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,21.5,td40-80,lat5-6
R0606,417.7390547846609,36.38709683579572,11.480417266312687,5,0.006019963417865381,2.7890183863718345,14.35052158289086,0.3567069641785257,92.45161244664885,0.26100947088708343,1.007955487955366,0.08141953168269683,1.0,0.1,203.9880567310155,2039.880567310155,1.0,True,False,0.08141953168269683,5.62,td300+,lat5-6
R0624,285.35936586946815,35.34114097649544,8.074424254136389,1,0.00532596633603666,2.396564391030915,10.093030317670486,0.2624679302841973,72.41554532599976,0.22585710161215983,1.5974120466458859,0.0858113194000959,1.0,0.1,500.0,5000.0,1.0,True,True,0.0858113194000959,1.46,td180-300,lat1
R0787,148.50363741170023,19.188431032631897,7.739227723160614,2,0.012163789686139716,2.9717925297696137,9.674034653950768,0.09099647222341894,173.6709997203717,-0.2824680243791907,1.1006095964566462,0.0858113194000959,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,1.46,td120-180,lat2-3
R0890,209.53367289522254,18.043363505944612,11.612783438419841,4,0.010458233159647137,2.4026246981933044,14.515979298024801,0.3658809008906195,150.4156485588162,0.23224568021557918,0.5224755538857248,0.17632369565418615,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,21.5,td180-300,lat4
R1143,48.688531120868284,11.860211022771509,4.105199395473377,5,0.010215477642896154,1.5426280094551403,5.131499244341722,0.10678403887492197,64.43293132495455,0.11046260773426814,1.007955487955366,0.06309246695711429,1.0,0.1,500.0,5000.0,1.0,True,True,0.1,21.5,td40-80,lat5-6
R1330,281.6801299868545,25.923012886958027,10.866025921260446,1,0.007449715614964485,2.458868417205217,13.582532401575559,0.31479751109642634,90.40090771566035,0.2692429455756273,1.3122518027091157,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,1.46,td180-300,lat1
R1345,314.55303443606647,32.588304965558144,9.652328796128261,2,0.005242973016666744,2.175452038927996,12.065410995160324,0.3193386345486193,80.20501112326679,-0.03590889174457962,1.0,0.09342467805372084,1.0,0.245112389427443,500.0,2039.8805673101547,1.0,False,True,0.38,5.62,td300+,lat2-3
R1489,154.48555476007593,21.862045211862924,7.066381633693081,1,0.00863501107216079,2.4036089115347865,8.832977042116351,0.12037292049760087,121.2739131680344,-0.2426532857705283,2.195819803031792,0.07478449574760791,1.0,0.1,500.0,5000.0,1.0,True,True,0.38,1.46,td120-180,lat1
R1569,82.5177343996346,36.38646136537409,2.2678142172450917,4,0.0053407775558939425,2.4743118236737067,2.834767771556365,0.21534491356671515,125.47544736910189,0.14064645287463934,0.5224755538857248,0.1071999591382603,1.0,0.1,500.0,5000.0,1.0,True,True,0.1,5.62,td80-120,lat4
R1641,12.966247434470345,2.2769127253672448,5.694661587162508,1,0.06072755863027519,1.7605255202995327,7.118326983953134,0.10737221021577777,194.15633867332508,0.03455808560689644,0.5224755538857248,0.05217092291062181,1.0,0.1,500.0,5000.0,1.0,True,True,0.05217092291062181,5.62,td0-40,lat1
R1687,208.4842785550694,36.304267137687866,5.742693490117021,3,0.00532058565321915,2.4593890320274348,7.178366862646276,0.3313635529237941,108.40201651577138,-0.060624094134767936,2.0109661301814286,0.05217092291062181,1.0,0.38374956432070695,500.0,1302.9330753380095,1.0,False,True,0.1,5.62,td180-300,lat2-3
