regime_label,slew_val,success_rate_mean,success_rate_std,success_rate_q25,success_rate_q75
EASY,20.0,0.39444444444444443,0.3388896607073425,0.0,0.6666666666666666
EASY,24.166666666666668,0.45,0.33516446197725785,0.3333333333333333,0.6666666666666666
EASY,28.333333333333336,0.4944444444444444,0.34440191706360646,0.3333333333333333,0.6666666666666666
EASY,32.5,0.5611111111111111,0.35516987085419605,0.3333333333333333,1.0
EASY,36.66666666666667,0.5722222222222223,0.35833716548557454,0.3333333333333333,1.0
EASY,40.833333333333336,0.5555555555555556,0.3285915080442886,0.3333333333333333,0.75
EASY,45.0,0.5611111111111111,0.3275870043955325,0.3333333333333333,0.75
EASY,49.16666666666667,0.5777777777777777,0.3297357651626067,0.3333333333333333,0.75
EASY,53.333333333333336,0.6222222222222222,0.3157310988875991,0.3333333333333333,1.0
EASY,57.5,0.611111111111111,0.3314447440074961,0.3333333333333333,1.0
EASY,61.66666666666667,0.6,0.3350239612534243,0.3333333333333333,1.0
EASY,65.83333333333334,0.6166666666666667,0.34073698788839213,0.3333333333333333,1.0
EASY,70.0,0.6055555555555555,0.34440191706360646,0.3333333333333333,1.0
EASY,74.16666666666667,0.6277777777777778,0.34766732300107955,0.3333333333333333,1.0
EASY,78.33333333333334,0.6388888888888888,0.3146855463709602,0.3333333333333333,1.0
EASY,82.5,0.6277777777777778,0.32527934781006135,0.3333333333333333,1.0
EASY,86.66666666666667,0.6388888888888888,0.3206142096625464,0.3333333333333333,1.0
EASY,90.83333333333334,0.6222222222222221,0.30356740622021955,0.3333333333333333,1.0
EASY,95.0,0.6055555555555555,0.2778154400080068,0.3333333333333333,0.6666666666666666
EASY,99.16666666666667,0.6277777777777778,0.28185334078646673,0.3333333333333333,0.6666666666666666
EASY,103.33333333333334,0.611111111111111,0.26868352182949234,0.3333333333333333,0.6666666666666666
EASY,107.5,0.611111111111111,0.29539253252866327,0.3333333333333333,0.6666666666666666
EASY,111.66666666666667,0.5833333333333334,0.3106702553077083,0.3333333333333333,0.6666666666666666
EASY,115.83333333333334,0.6055555555555555,0.26390995059175654,0.3333333333333333,0.6666666666666666
EASY,120.0,0.5611111111111111,0.29105734038560427,0.3333333333333333,0.6666666666666666
FRAGILE,20.0,0.2722222222222222,0.2845134391370502,0.0,0.41666666666666663
FRAGILE,24.166666666666668,0.27777777777777773,0.31393659121221607,0.0,0.3333333333333333
FRAGILE,28.333333333333336,0.31111111111111106,0.3121317667254026,0.0,0.6666666666666666
FRAGILE,32.5,0.3222222222222222,0.3359595228660652,0.0,0.6666666666666666
FRAGILE,36.66666666666667,0.36111111111111105,0.35938672740765754,0.0,0.6666666666666666
FRAGILE,40.833333333333336,0.4222222222222222,0.3675473074675102,0.0,0.6666666666666666
FRAGILE,45.0,0.3888888888888889,0.3639429740861771,0.0,0.6666666666666666
FRAGILE,49.16666666666667,0.4222222222222222,0.37765590146602435,0.0,0.6666666666666666
FRAGILE,53.333333333333336,0.4666666666666667,0.38911750073535767,0.0,0.6666666666666666
FRAGILE,57.5,0.47777777777777775,0.370100340986051,0.0,0.6666666666666666
FRAGILE,61.66666666666667,0.5,0.37077818100632326,0.0,0.6666666666666666
FRAGILE,65.83333333333334,0.4722222222222222,0.3487489973480739,0.25,0.6666666666666666
FRAGILE,70.0,0.48333333333333334,0.3494682535848621,0.3333333333333333,0.6666666666666666
FRAGILE,74.16666666666667,0.47777777777777775,0.3491537612957836,0.25,0.6666666666666666
FRAGILE,78.33333333333334,0.5111111111111111,0.29089553697809245,0.3333333333333333,0.6666666666666666
FRAGILE,82.5,0.48333333333333334,0.3213964351854355,0.3333333333333333,0.6666666666666666
FRAGILE,86.66666666666667,0.45,0.33516446197725774,0.0,0.6666666666666666
FRAGILE,90.83333333333334,0.5111111111111111,0.3442651863295481,0.3333333333333333,0.6666666666666666
FRAGILE,95.0,0.4611111111111111,0.28845759489956524,0.3333333333333333,0.6666666666666666
FRAGILE,99.16666666666667,0.48333333333333334,0.32139643518543554,0.3333333333333333,0.6666666666666666
FRAGILE,103.33333333333334,0.45,0.3351644619772578,0.25,0.6666666666666666
FRAGILE,107.5,0.4444444444444444,0.3109227301606804,0.3333333333333333,0.6666666666666666
FRAGILE,111.66666666666667,0.4444444444444444,0.3169217923610189,0.25,0.6666666666666666
FRAGILE,115.83333333333334,0.45,0.33516446197725774,0.0,0.6666666666666666
FRAGILE,120.0,0.45555555555555555,0.346989564237735,0.0,0.6666666666666666
INFEASIBLE,20.0,0.10555555555555556,0.1563672661024328,0.0,0.3333333333333333
INFEASIBLE,24.166666666666668,0.1,0.15404159684748153,0.0,0.3333333333333333
INFEASIBLE,28.333333333333336,0.1,0.15404159684748153,0.0,0.3333333333333333
INFEASIBLE,32.5,0.10555555555555556,0.16797976143303264,0.0,0.3333333333333333
INFEASIBLE,36.66666666666667,0.1111111111111111,0.15846089618050946,0.0,0.3333333333333333
INFEASIBLE,40.833333333333336,0.12222222222222222,0.17322320128638824,0.0,0.3333333333333333
INFEASIBLE,45.0,0.12222222222222222,0.17322320128638824,0.0,0.3333333333333333
INFEASIBLE,49.16666666666667,0.13333333333333333,0.19600530374468236,0.0,0.3333333333333333
INFEASIBLE,53.333333333333336,0.11666666666666667,0.1823161303197405,0.0,0.3333333333333333
INFEASIBLE,57.5,0.12777777777777777,0.20439305830922158,0.0,0.3333333333333333
