rocket_id,final_label,td,keff,latency,Pi,best_Kp,best_Kd,peak_pid_sr,peak_adrc_sr,best_wc,sr_delta,adrc_sr_wc1.5,adrc_sr_wc2.0,adrc_sr_wc3.0,adrc_sr_wc5.0,adrc_sr_wc7.0,adrc_sr_wc10.0,adrc_sr_wc15.0
R0759,EASY,7.951734562755677,0.9963964572749004,3,71.56561106480109,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1901,EASY,19.4349943680732,2.0028584217757572,2,77.7399774722928,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2
R0946,EASY,2.028558742885993,0.7584439256856249,2,8.114234971543972,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1525,EASY,17.857336955499775,3.1182510461585973,2,71.4293478219991,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1644,EASY,8.067356176151623,0.9223472796455295,2,32.26942470460649,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R0539,EASY,5.37901380524983,1.0661332600883864,3,48.411124247248466,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1602,EASY,5.254015540592518,1.1344867910668734,4,84.06424864948029,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333
R0508,EASY,1.4645489652206005,0.6266804910860875,3,13.180940686985405,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1873,EASY,17.35108115898163,5.87656746104484,2,69.40432463592651,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2369,EASY,6.2405471369284555,0.6076837131808676,4,99.84875419085529,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8
R0598,EASY,5.553656378355663,3.0804594552796845,5,138.84140945889158,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7333333333333333
R1606,EASY,6.987913388122564,2.1404537202563483,5,174.6978347030641,41.78105458855241,0.5,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
