rocket_id,td,original_label,new_Kp,new_Kd,orig_Kp,orig_Kd,nom_sr,nom_ci_lo,nom_ci_hi,under_sr,under_ci_lo,under_ci_hi,over_sr,over_ci_lo,over_ci_hi,robustness,final_label,label_flipped,uncertain
R0026,367.97884529976704,FRAGILE,58.65987877815546,1.0,22.73,1.0,0.6666666666666666,0.4877972581383026,0.807697044731538,0.8666666666666667,0.7031831605558306,0.9469043057578189,0.7666666666666667,0.5907132766967573,0.8820776078949878,0.6666666666666666,FRAGILE,0,1
R0028,411.8370450147294,FRAGILE,115.62844575768011,1.0,113.27,1.0,0.9666666666666667,0.8332924860304112,0.9940915620051425,1.0,0.886482908609522,1.0,0.8333333333333334,0.6643529481431982,0.9266356575964831,1.0,EASY,1,1
R0236,168.5998668667279,FRAGILE,41.78105458855241,1.0,46.78,1.0,0.9333333333333333,0.7867618227892791,0.9815233646723066,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.6666666666666666,FRAGILE,0,1
R0303,217.5129605955632,FRAGILE,58.65987877815546,1.0,50.74,1.0,0.5666666666666667,0.39197009545408734,0.7262276256938489,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.4,0.24590394326083398,0.5767994750172617,0.6666666666666666,FRAGILE,0,1
R0350,330.55956133823173,FRAGILE,320.0,4.0,36.97,1.0,0.16666666666666666,0.07336434240351682,0.3356470518568018,0.16666666666666666,0.07336434240351682,0.3356470518568018,0.3333333333333333,0.19230295526846194,0.5122027418616973,0.0,INFEASIBLE,1,0
R0400,214.6999063287188,FRAGILE,41.78105458855241,1.0,19.32,1.0,0.7,0.5212387898833981,0.8333543735604106,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.7,0.5212387898833981,0.8333543735604106,0.6666666666666666,FRAGILE,0,1
R0452,168.3853926409828,FRAGILE,15.097120013097204,1.0,16.43,1.0,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.8333333333333334,0.6643529481431982,0.9266356575964831,1.0,EASY,1,1
R0475,192.7758558470076,INFEASIBLE,29.758952096260835,1.0,155.45,1.0,0.9,0.7437855868473338,0.9654007400402839,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.8,0.6269395261897257,0.9049502189759876,1.0,EASY,1,1
R0612,111.773604397946,FRAGILE,21.19609566078763,1.0,46.78,1.0,1.0,0.886482908609522,1.0,1.0,0.886482908609522,1.0,0.8666666666666667,0.7031831605558306,0.9469043057578189,1.0,EASY,1,1
R0815,143.24327127054778,FRAGILE,21.19609566078763,1.0,59.67,1.0,0.8666666666666667,0.7031831605558306,0.9469043057578189,0.9333333333333333,0.7867618227892791,0.9815233646723066,0.8,0.6269395261897257,0.9049502189759876,1.0,EASY,1,1
R0859,99.38261865341676,FRAGILE,82.35745631970453,1.0,59.21,1.0,0.9,0.7437855868473338,0.9654007400402839,1.0,0.886482908609522,1.0,0.9333333333333333,0.7867618227892791,0.9815233646723066,1.0,EASY,1,1
R0864,297.6144442048734,MARGINAL,58.65987877815546,1.0,70.18,1.0,0.8666666666666667,0.7031831605558306,0.9469043057578189,0.9333333333333333,0.7867618227892791,0.9815233646723066,0.5,0.3315385122717376,0.6684614877282624,0.6666666666666666,FRAGILE,1,1
R0906,79.44097470036105,FRAGILE,115.62844575768011,1.0,88.81,1.0,0.8666666666666667,0.7031831605558306,0.9469043057578189,1.0,0.886482908609522,1.0,0.6333333333333333,0.4551324643360493,0.7812629779598231,0.6666666666666666,FRAGILE,0,0
R0969,115.84897376423488,FRAGILE,162.34034009544706,1.0,112.39,1.0,0.4,0.24590394326083398,0.5767994750172617,0.43333333333333335,0.27377237430615114,0.6080299045459127,0.3333333333333333,0.19230295526846194,0.5122027418616973,0.3333333333333333,FRAGILE,0,1
R1080,89.61299441200431,FRAGILE,115.62844575768011,1.0,113.27,1.0,0.8333333333333334,0.6643529481431982,0.9266356575964831,1.0,0.886482908609522,1.0,0.6333333333333333,0.4551324643360493,0.7812629779598231,0.6666666666666666,FRAGILE,0,0
R1103,55.05358597483785,FRAGILE,82.35745631970453,1.0,88.81,1.0,0.9666666666666667,0.8332924860304112,0.9940915620051425,1.0,0.886482908609522,1.0,0.9,0.7437855868473338,0.9654007400402839,1.0,EASY,1,1
R1217,143.54577869065147,INFEASIBLE,82.35745631970453,1.0,113.27,1.0,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.6,0.42320052498273836,0.754096056739166,0.6666666666666666,FRAGILE,1,0
R1229,58.81504741996059,FRAGILE,162.34034009544706,1.0,168.58,1.0,1.0,0.886482908609522,1.0,1.0,0.886482908609522,1.0,0.43333333333333335,0.27377237430615114,0.6080299045459127,0.6666666666666666,FRAGILE,0,0
R1293,76.98365259721514,FRAGILE,162.34034009544706,1.0,168.58,1.0,1.0,0.886482908609522,1.0,1.0,0.886482908609522,1.0,0.8333333333333334,0.6643529481431982,0.9266356575964831,1.0,EASY,1,1
R1300,174.62530282827237,FRAGILE,82.35745631970453,2.0,132.17,4.0,0.8666666666666667,0.7031831605558306,0.9469043057578189,0.7666666666666667,0.5907132766967573,0.8820776078949878,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.3333333333333333,FRAGILE,0,1
R1513,283.50681934531883,FRAGILE,29.758952096260835,1.0,12.98,1.0,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.8,0.6269395261897257,0.9049502189759876,1.0,EASY,1,1
R1526,66.78993016253548,FRAGILE,21.19609566078763,1.0,168.58,1.0,1.0,0.886482908609522,1.0,1.0,0.886482908609522,1.0,1.0,0.886482908609522,1.0,1.0,EASY,1,0
R1641,209.91106234246683,FRAGILE,82.35745631970453,1.0,96.31,1.0,0.8333333333333334,0.6643529481431982,0.9266356575964831,1.0,0.886482908609522,1.0,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.6666666666666666,FRAGILE,0,1
R1645,56.13260415400903,FRAGILE,82.35745631970453,1.0,88.81,1.0,1.0,0.886482908609522,1.0,1.0,0.886482908609522,1.0,0.9333333333333333,0.7867618227892791,0.9815233646723066,1.0,EASY,1,1
R1672,76.11995954838007,FRAGILE,7.658973741837444,1.0,1.9,1.0,0.9666666666666667,0.8332924860304112,0.9940915620051425,1.0,0.886482908609522,1.0,0.9666666666666667,0.8332924860304112,0.9940915620051425,1.0,EASY,1,0
R1701,173.3475551633541,FRAGILE,41.78105458855241,1.0,88.81,1.0,0.7666666666666667,0.5907132766967573,0.8820776078949878,1.0,0.886482908609522,1.0,0.7666666666666667,0.5907132766967573,0.8820776078949878,0.6666666666666666,FRAGILE,0,1
R1715,170.13315758703897,MARGINAL,10.753066807087182,1.0,36.97,1.0,0.5666666666666667,0.39197009545408734,0.7262276256938489,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.7666666666666667,0.5907132766967573,0.8820776078949878,0.3333333333333333,FRAGILE,1,1
