rocket_id,final_label,td,keff,latency_steps,kp_simple,kp_full,Kp_floor,Kp_ceiling,window_ratio,Kp_miss,Kp_miss_fraction,miss_type,gain_ok,sr_simple_in_full,sr_full_in_full,false_rejection_v2
R0001,EASY,5.258026473747831,1.1262862916153844,3,3.6,3.6,0.19628879766898394,126.66666666666667,645.3076699785684,0.0,0.0,inside,True,1.0,1.0,0
R0002,EASY,47.29591112250553,7.790937722029132,3,295.07,168.58,1.5278223060750713,126.66666666666667,82.9066745281848,168.4033333333333,2.031239755926807,overtuned,False,1.0,1.0,0
R0003,EASY,85.02870707323525,7.67760236608218,2,46.78,22.73,1.0175799574396684,190.0,186.71751404976445,0.0,0.0,inside,True,1.0,1.0,0
R0004,EASY,23.326416449147143,9.689102628325909,5,168.58,12.98,3.150686466771462,76.0,24.121727376408202,92.58000000000001,3.8380335933381837,overtuned,False,1.0,1.0,0
R0005,EASY,8.953883761314323,2.5288636575923937,2,70.18,81.89,0.3132189517242414,190.0,606.6044182641808,0.0,0.0,inside,True,1.0,1.0,0
R0006,EASY,4.818821554633435,0.9704992742822712,4,24.65,50.74,0.22117651212302689,95.0,429.52119593583853,0.0,0.0,inside,True,1.0,1.0,0
R0007,EASY,13.196078903159302,1.4095878039866265,2,1.0,113.27,0.16847323679533338,190.0,1127.7755661026326,0.0,0.0,inside,True,0.3333333333333333,1.0,1
R0008,EASY,20.58146819137509,7.732355086957431,1,8.72,69.63,0.5255935888966592,380.0,722.992076059578,0.0,0.0,inside,True,1.0,1.0,0
R0009,EASY,8.783389642835251,1.2717611621500213,4,3.6,43.14,0.2946533473381306,95.0,322.4127635345761,0.0,0.0,inside,True,1.0,1.0,0
R0010,EASY,31.77953919976749,4.33523656482278,5,295.07,81.89,1.3422361038928348,76.0,56.62193095505342,219.07,3.868995569471096,overtuned,False,1.0,1.0,0
R0011,EASY,33.321442856022095,3.082991100419862,4,295.07,81.89,0.7539397853765242,95.0,126.00475773082616,200.07,1.58779718800296,overtuned,False,1.0,1.0,0
R0012,EASY,45.037551615981165,7.8393549935435765,1,36.68,295.07,0.5333136283923033,380.0,712.5263255423008,0.0,0.0,inside,True,1.0,1.0,0
R0013,EASY,14.042711605293194,8.067036203115922,6,320.0,50.74,3.092520705652213,63.333333333333336,20.479517960083093,256.6666666666667,12.532847070274759,overtuned,False,1.0,1.0,0
R0014,EASY,42.2813985296572,5.957865470668003,2,50.74,26.73,0.7775268424005302,190.0,244.3645539148147,0.0,0.0,inside,True,1.0,1.0,0
R0015,EASY,52.33002406819334,4.980509506320417,3,36.68,132.17,0.9503938415932768,126.66666666666667,133.27808022652778,0.0,0.0,inside,True,0.3333333333333333,1.0,1
R0016,EASY,18.044753500106683,3.0316306304677796,4,295.07,81.89,0.7406203174040265,95.0,128.27085318559412,200.07,1.5597463884528797,overtuned,False,1.0,1.0,0
R0017,EASY,57.43636150440098,5.52631868919335,4,3.6,155.45,1.400430625123867,95.0,67.83627713911021,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0018,EASY,8.615437920873436,2.9056183968966423,1,113.27,88.81,0.18605758523868132,380.0,2042.3784362917663,0.0,0.0,inside,True,1.0,1.0,0
R0019,EASY,9.164133729592852,1.4637031049063904,5,1.0,96.31,0.42413485251550853,76.0,179.1882924717229,0.0,0.0,inside,True,1.0,1.0,0
R0020,EASY,64.97357261833929,5.85122267916786,6,43.14,88.81,2.1995696888924265,63.333333333333336,28.793510682184507,0.0,0.0,inside,True,0.6666666666666666,0.6666666666666666,0
R0021,EASY,13.739450266806193,1.9718740022139947,2,26.73,12.98,0.24055309899675548,190.0,789.8464031118663,0.0,0.0,inside,True,1.0,1.0,0
R0022,EASY,35.063115775923826,5.820613883222404,2,31.19,46.78,0.7585357487118056,190.0,250.48259139094006,0.0,0.0,inside,True,1.0,1.0,0
R0023,EASY,25.884994149360605,4.146491042999177,6,320.0,36.68,1.5263295487511161,63.333333333333336,41.493878818735034,256.6666666666667,6.18565132914926,overtuned,False,1.0,1.0,0
R0024,EASY,156.25481013841963,18.031389647496997,4,320.0,36.97,4.911159754203717,95.0,19.343699809130534,225.0,11.631694154693013,overtuned,False,0.0,1.0,1
R0025,EASY,14.11941350881511,4.529158228780869,4,46.78,69.63,1.1338918725485574,95.0,83.78223911815873,0.0,0.0,inside,True,1.0,1.0,0
R0026,FRAGILE,367.97884529976704,32.39137830158145,5,320.0,22.73,11.337673809625194,76.0,6.703315095860254,244.0,36.39990012563878,overtuned,False,0.0,1.0,1
R0027,EASY,24.59447525959861,2.431273838252241,4,6.84,88.81,0.5860124264771283,95.0,162.11260326184873,0.0,0.0,inside,True,1.0,1.0,0
R0028,EASY,411.8370450147294,36.92325017955721,3,168.58,113.27,7.961618402400946,126.66666666666667,15.909663119306048,41.91333333333334,2.634457626099724,overtuned,False,0.6666666666666666,1.0,0
R0029,EASY,41.97885545226906,11.38498455558345,3,16.56,70.18,2.284887727104943,126.66666666666667,55.43671365733105,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0030,EASY,22.02922777703841,2.0767754858505127,5,4.6,8.72,0.6147643087336456,76.0,123.62461340111395,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0031,EASY,19.053391607070907,4.356983817932917,2,46.78,24.65,0.5578538772666486,190.0,340.59098223168195,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0032,EASY,3.645778337941748,0.7640321471767557,5,4.6,59.67,0.21278439571168706,76.0,357.1690477857054,0.0,0.0,inside,True,1.0,1.0,0
R0033,EASY,12.805158574948296,2.902471798976318,5,295.07,81.89,0.8769103415839155,76.0,86.66792532372845,219.07,2.5276940596156363,overtuned,False,1.0,1.0,0
R0034,EASY,4.525189593030063,1.6182623694650478,2,6.31,113.27,0.19504961012735378,190.0,974.1111498553792,0.0,0.0,inside,True,1.0,1.0,0
R0035,EASY,5.7901784726788526,3.6024218012146862,2,70.18,88.81,0.4559224699318694,190.0,416.7375212465237,0.0,0.0,inside,True,1.0,1.0,0
R0036,EASY,25.895133194965304,2.8892484780012544,3,16.43,4.6,0.5333212785487685,126.66666666666667,237.50536826758898,0.0,0.0,inside,True,0.3333333333333333,1.0,1
R0037,EASY,3.415107070109129,1.662380755974614,6,12.98,69.63,0.5787408251972448,63.333333333333336,109.43298031851866,0.0,0.0,inside,True,1.0,1.0,0
R0038,EASY,19.099429056274776,3.3275195300759974,2,50.74,59.67,0.41909659922233555,190.0,453.3561006043927,0.0,0.0,inside,True,1.0,1.0,0
R0039,EASY,5.820223289714672,2.9127653457673346,5,12.98,50.74,0.8802103460830432,76.0,86.34299782796441,0.0,0.0,inside,True,1.0,1.0,0
R0040,EASY,11.99952373764398,1.9779796425618015,5,320.0,81.89,0.5837806327679519,76.0,130.1858878730727,244.0,1.8742430841497402,overtuned,False,1.0,1.0,0
R0041,EASY,33.56610343160417,17.16343039454574,5,12.98,50.74,5.779273895410639,76.0,13.150440933479917,0.0,0.0,inside,True,0.0,1.0,1
R0042,EASY,24.974801251769616,2.313760268622948,3,320.0,6.84,0.42134507219902423,126.66666666666667,300.6245356225149,193.33333333333331,0.6431056365143001,overtuned,False,1.0,1.0,0
R0043,EASY,17.243077841943453,2.855264700335265,4,2.83,31.43,0.6949889301293625,95.0,136.6928247077505,0.0,0.0,inside,True,1.0,1.0,0
R0044,EASY,3.35216324599941,1.3650763508645114,2,3.6,133.21,0.16283422164160533,190.0,1166.830891470627,0.0,0.0,inside,True,1.0,1.0,0
R0045,EASY,42.81399736985294,9.173907968367606,6,320.0,36.68,3.544534859701535,63.333333333333336,17.86788276605249,256.6666666666667,14.364693905106222,overtuned,False,0.3333333333333333,1.0,1
R0046,EASY,21.699957502757588,1.9362278100033896,6,43.14,36.97,0.6803773588555797,63.333333333333336,93.08559802733939,0.0,0.0,inside,True,1.0,1.0,0
R0047,EASY,18.077474622848,2.070816429282639,3,36.68,70.18,0.37456084796089417,126.66666666666667,338.1738036856731,0.0,0.0,inside,True,1.0,1.0,0
R0048,EASY,281.9656155049529,25.861134826252673,3,31.43,24.65,5.4565133323805135,126.66666666666667,23.21384718607584,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0049,EASY,6.17212987218904,0.9138138707926258,4,22.73,50.74,0.20749476802234115,95.0,457.84286951163637,0.0,0.0,inside,True,1.0,1.0,0
R0050,EASY,18.30773097955948,2.481256503720416,6,2.4,70.18,0.8851883501897405,63.333333333333336,71.54786133341882,0.0,0.0,inside,True,1.0,1.0,0
R0051,EASY,17.995436049540853,5.019575927460857,4,320.0,24.65,1.2645756022020798,95.0,75.12401776103455,225.0,2.9950474788996626,overtuned,False,0.3333333333333333,1.0,1
R0052,EASY,11.787960148405292,2.5232023266646344,5,50.74,70.18,0.7558393318331672,76.0,100.5504699202067,0.0,0.0,inside,True,1.0,1.0,0
R0053,EASY,25.74852046602583,3.415793275712436,5,43.14,69.63,1.0423003897113188,76.0,72.91564001146482,0.0,0.0,inside,True,1.0,1.0,0
R0054,EASY,12.357646610555271,1.062611781880915,4,8.72,43.14,0.243512108525094,95.0,390.12433745244425,0.0,0.0,inside,True,1.0,1.0,0
R0055,EASY,57.04309073180751,6.080137568530906,4,113.27,59.67,1.549776979111168,95.0,61.299142573717056,18.269999999999996,0.2980465832459056,overtuned,False,1.0,1.0,0
R0056,EASY,7.283970865154241,1.7763158623241866,2,2.4,96.31,0.21532035742770309,190.0,882.4061146368626,0.0,0.0,inside,True,1.0,1.0,0
R0057,EASY,24.843572156717343,2.167012889541353,5,3.6,88.81,0.6431427529195116,76.0,118.16972150428832,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0058,EASY,6.5493938967735765,1.3595406181410736,4,132.17,43.14,0.3162759673367664,95.0,300.37059344077596,37.16999999999999,0.12374713374639583,overtuned,False,1.0,1.0,0
R0059,EASY,11.808718963054668,2.200274173277106,3,5.36,24.65,0.3994514719648088,126.66666666666667,317.10151434321375,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0060,EASY,233.8851279001163,25.19689041316748,1,1.9,272.09,1.8406887640528782,380.0,206.4444611284016,0.0,0.0,inside,True,0.3333333333333333,1.0,1
R0061,EASY,59.20580777636883,6.398990264625914,3,10.18,46.78,1.2398820931108143,126.66666666666667,102.16025166462812,0.0,0.0,inside,True,0.3333333333333333,1.0,1
R0062,EASY,27.55363620291073,3.013087771634662,2,3.6,69.63,0.3772034600927975,190.0,503.706938301301,0.0,0.0,inside,True,0.3333333333333333,1.0,1
