metric,threshold,low_regime_mean_peak
CMD_GAP,1.48964232950244,0.870591122278583
LESO_DHAT_O12,113.68283462573,35.2636997349491
LESO_DHAT_O16,222.375648979326,71.6269106669004
LESO_DHAT_O4,22.2806497216406,14.2617125781931
LESO_DHAT_O8,40.5850762924148,24.2998052230083
Q_ABS,13.1289848403107,9.29001672950649
RATE_GAP,10.6710449380633,6.6565005432001
THETA_ABS,3.33033854304802,2.22484229086877
