rocket_id,Kp,opt_Kd,max_sr,best_kd_at_Kp,frozen_sr
R0049,0.1,0.10171350971479927,0.9166666666666666,0.38,0.3333333333333333
R0049,0.1565606557943096,0.10171350971479927,0.9166666666666666,0.38,0.5833333333333334
R0049,0.245112389427443,0.10171350971479927,1.0,0.38,0.5833333333333334
R0049,0.38374956432070695,0.10171350971479927,1.0,0.38,0.75
R0049,0.6008008345083048,0.10171350971479927,1.0,0.38,0.9166666666666666
R0049,0.9406177265238869,0.10171350971479927,1.0,0.38,0.9166666666666666
R0049,1.472637281163324,0.10171350971479927,1.0,0.38,0.8333333333333334
R0049,2.3055705848607913,0.10171350971479927,1.0,0.38,0.9166666666666666
R0049,3.6096164274587546,0.10171350971479927,1.0,0.1,0.9166666666666666
R0049,5.651239150488556,0.10171350971479927,1.0,0.38,0.9166666666666666
R0049,8.847617074509655,0.10171350971479927,1.0,0.38,0.9166666666666666
R0049,13.85188731402163,0.10171350971479927,1.0,0.38,0.6666666666666666
R0049,21.686605618721064,0.10171350971479927,1.0,0.38,0.08333333333333333
R0049,33.9526919761953,0.10171350971479927,1.0,0.38,0.0
R0049,53.1565572177533,0.10171350971479927,1.0,0.38,0.0
R0049,83.222254577792,0.10171350971479927,1.0,0.38,0.0
R0049,130.293307533801,0.10171350971479927,1.0,1.46,0.0
R0049,203.9880567310155,0.10171350971479927,1.0,1.46,0.0
R0049,319.36503936014617,0.10171350971479927,1.0,1.46,0.0
R0049,500.0,0.10171350971479927,1.0,21.5,0.0
R0093,0.1,0.06517462781510076,1.0,0.38,0.16666666666666666
R0093,0.1565606557943096,0.06517462781510076,1.0,0.38,0.16666666666666666
R0093,0.245112389427443,0.06517462781510076,1.0,0.38,0.25
R0093,0.38374956432070695,0.06517462781510076,1.0,0.1,0.6666666666666666
R0093,0.6008008345083048,0.06517462781510076,1.0,0.1,0.5833333333333334
R0093,0.9406177265238869,0.06517462781510076,1.0,0.1,0.6666666666666666
R0093,1.472637281163324,0.06517462781510076,1.0,0.1,0.9166666666666666
R0093,2.3055705848607913,0.06517462781510076,1.0,0.1,0.6666666666666666
R0093,3.6096164274587546,0.06517462781510076,1.0,0.1,0.5833333333333334
R0093,5.651239150488556,0.06517462781510076,1.0,0.1,0.5833333333333334
R0093,8.847617074509655,0.06517462781510076,1.0,0.1,0.5
R0093,13.85188731402163,0.06517462781510076,1.0,0.1,0.25
R0093,21.686605618721064,0.06517462781510076,1.0,0.38,0.08333333333333333
R0093,33.9526919761953,0.06517462781510076,1.0,0.38,0.0
R0093,53.1565572177533,0.06517462781510076,1.0,0.38,0.0
R0093,83.222254577792,0.06517462781510076,1.0,0.38,0.0
R0093,130.293307533801,0.06517462781510076,1.0,0.38,0.0
R0093,203.9880567310155,0.06517462781510076,1.0,0.38,0.0
R0093,319.36503936014617,0.06517462781510076,1.0,0.38,0.0
R0093,500.0,0.06517462781510076,1.0,0.38,0.0
R0213,0.1,0.13391975929963193,0.5,0.38,0.3333333333333333
R0213,0.1565606557943096,0.13391975929963193,0.5,0.38,0.3333333333333333
R0213,0.245112389427443,0.13391975929963193,0.6666666666666666,0.1,0.6666666666666666
R0213,0.38374956432070695,0.13391975929963193,0.75,0.1,0.6666666666666666
R0213,0.6008008345083048,0.13391975929963193,0.9166666666666666,0.13391975929963193,0.9166666666666666
R0213,0.9406177265238869,0.13391975929963193,0.8333333333333334,0.13391975929963193,0.8333333333333334
R0213,1.472637281163324,0.13391975929963193,0.8333333333333334,0.13391975929963193,0.8333333333333334
R0213,2.3055705848607913,0.13391975929963193,0.9166666666666666,0.13391975929963193,0.9166666666666666
R0213,3.6096164274587546,0.13391975929963193,1.0,0.1,1.0
R0213,5.651239150488556,0.13391975929963193,1.0,0.1,1.0
R0213,8.847617074509655,0.13391975929963193,1.0,0.13391975929963193,1.0
R0213,13.85188731402163,0.13391975929963193,1.0,0.13391975929963193,1.0
R0213,21.686605618721064,0.13391975929963193,1.0,0.38,0.8333333333333334
R0213,33.9526919761953,0.13391975929963193,1.0,0.38,0.3333333333333333
R0213,53.1565572177533,0.13391975929963193,0.8333333333333334,0.38,0.0
R0213,83.222254577792,0.13391975929963193,0.6666666666666666,5.62,0.0
R0213,130.293307533801,0.13391975929963193,0.6666666666666666,5.62,0.0
R0213,203.9880567310155,0.13391975929963193,0.5,5.62,0.0
R0213,319.36503936014617,0.13391975929963193,0.5833333333333334,5.62,0.0
R0213,500.0,0.13391975929963193,0.5,5.62,0.0
R0234,0.1,0.05217092291062181,1.0,0.05217092291062181,1.0
R0234,0.1565606557943096,0.05217092291062181,1.0,0.05217092291062181,1.0
R0234,0.245112389427443,0.05217092291062181,1.0,0.05217092291062181,1.0
R0234,0.38374956432070695,0.05217092291062181,1.0,0.05217092291062181,1.0
R0234,0.6008008345083048,0.05217092291062181,1.0,0.05217092291062181,1.0
R0234,0.9406177265238869,0.05217092291062181,1.0,0.05217092291062181,1.0
R0234,1.472637281163324,0.05217092291062181,1.0,0.05217092291062181,1.0
R0234,2.3055705848607913,0.05217092291062181,1.0,0.05217092291062181,1.0
R0234,3.6096164274587546,0.05217092291062181,1.0,0.05217092291062181,1.0
R0234,5.651239150488556,0.05217092291062181,1.0,0.05217092291062181,1.0
R0234,8.847617074509655,0.05217092291062181,1.0,0.05217092291062181,1.0
R0234,13.85188731402163,0.05217092291062181,1.0,0.05217092291062181,1.0
R0234,21.686605618721064,0.05217092291062181,1.0,0.05217092291062181,1.0
R0234,33.9526919761953,0.05217092291062181,1.0,0.1,0.4166666666666667
R0234,53.1565572177533,0.05217092291062181,1.0,0.38,0.0
R0234,83.222254577792,0.05217092291062181,1.0,0.38,0.0
R0234,130.293307533801,0.05217092291062181,1.0,0.38,0.0
R0234,203.9880567310155,0.05217092291062181,1.0,1.46,0.0
R0234,319.36503936014617,0.05217092291062181,1.0,5.62,0.0
R0234,500.0,0.05217092291062181,1.0,5.62,0.0
R0259,0.1,0.05217092291062181,1.0,0.1,0.8333333333333334
R0259,0.1565606557943096,0.05217092291062181,1.0,0.1,0.9166666666666666
R0259,0.245112389427443,0.05217092291062181,1.0,0.05217092291062181,1.0
R0259,0.38374956432070695,0.05217092291062181,1.0,0.05217092291062181,1.0
R0259,0.6008008345083048,0.05217092291062181,1.0,0.1,0.9166666666666666
R0259,0.9406177265238869,0.05217092291062181,1.0,0.1,0.9166666666666666
R0259,1.472637281163324,0.05217092291062181,1.0,0.05217092291062181,1.0
R0259,2.3055705848607913,0.05217092291062181,1.0,0.05217092291062181,1.0
R0259,3.6096164274587546,0.05217092291062181,1.0,0.05217092291062181,1.0
R0259,5.651239150488556,0.05217092291062181,1.0,0.1,0.9166666666666666
R0259,8.847617074509655,0.05217092291062181,1.0,0.1,0.8333333333333334
R0259,13.85188731402163,0.05217092291062181,1.0,0.1,0.25
R0259,21.686605618721064,0.05217092291062181,1.0,0.38,0.25
R0259,33.9526919761953,0.05217092291062181,1.0,0.38,0.0
R0259,53.1565572177533,0.05217092291062181,1.0,0.38,0.0
R0259,83.222254577792,0.05217092291062181,1.0,0.38,0.0
R0259,130.293307533801,0.05217092291062181,1.0,0.38,0.0
R0259,203.9880567310155,0.05217092291062181,1.0,0.38,0.0
R0259,319.36503936014617,0.05217092291062181,1.0,0.38,0.0
R0259,500.0,0.05217092291062181,1.0,1.46,0.0
R0266,0.1,0.182142683484797,0.25,0.38,0.16666666666666666
R0266,0.1565606557943096,0.182142683484797,0.4166666666666667,1.46,0.25
R0266,0.245112389427443,0.182142683484797,0.4166666666666667,0.38,0.25
R0266,0.38374956432070695,0.182142683484797,0.5833333333333334,0.38,0.3333333333333333
R0266,0.6008008345083048,0.182142683484797,0.6666666666666666,0.38,0.4166666666666667
R0266,0.9406177265238869,0.182142683484797,0.9166666666666666,0.38,0.75
R0266,1.472637281163324,0.182142683484797,0.9166666666666666,0.38,0.6666666666666666
R0266,2.3055705848607913,0.182142683484797,0.9166666666666666,0.38,0.6666666666666666
R0266,3.6096164274587546,0.182142683484797,0.9166666666666666,0.182142683484797,0.9166666666666666
R0266,5.651239150488556,0.182142683484797,1.0,0.38,0.75
R0266,8.847617074509655,0.182142683484797,1.0,0.38,0.9166666666666666
R0266,13.85188731402163,0.182142683484797,1.0,0.38,0.8333333333333334
R0266,21.686605618721064,0.182142683484797,1.0,0.38,0.6666666666666666
R0266,33.9526919761953,0.182142683484797,1.0,0.38,0.25
R0266,53.1565572177533,0.182142683484797,1.0,0.38,0.0
R0266,83.222254577792,0.182142683484797,1.0,0.38,0.0
R0266,130.293307533801,0.182142683484797,0.9166666666666666,5.62,0.0
R0266,203.9880567310155,0.182142683484797,0.6666666666666666,5.62,0.0
R0266,319.36503936014617,0.182142683484797,0.9166666666666666,5.62,0.0
