rocket_id,keff,lat,Pi_keff,td,kp,sr_pd,sr_h1,sr_h5,sr_adrc
R0951,0.939,3,9.5,12.0,231.01,1.0,0.0,1.0,1.0
R0951,0.939,3,9.5,12.0,398.11,0.1,0.0,1.0,1.0
R2385,2.533,5,53.6,18.2,1.0,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,1.72,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,2.97,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,5.12,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,8.82,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,15.2,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,26.19,1.0,1.0,1.0,1.0
R2385,2.533,5,53.6,18.2,45.14,1.0,0.2,1.0,1.0
R2385,2.533,5,53.6,18.2,77.79,1.0,0.0,1.0,1.0
R2385,2.533,5,53.6,18.2,134.05,1.0,0.0,1.0,1.0
R2385,2.533,5,53.6,18.2,231.01,0.2,0.0,1.0,1.0
R2385,2.533,5,53.6,18.2,398.11,0.0,0.0,1.0,1.0
R1730,1.219,4,27.3,5.5,1.0,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,1.72,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,2.97,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,5.12,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,8.82,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,15.2,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,26.19,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,45.14,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,77.79,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,134.05,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,231.01,1.0,1.0,1.0,1.0
R1730,1.219,4,27.3,5.5,398.11,1.0,1.0,1.0,1.0
R1082,1.985,3,23.9,28.7,1.0,0.9,0.9,0.1,1.0
R1082,1.985,3,23.9,28.7,1.72,1.0,1.0,0.1,1.0
R1082,1.985,3,23.9,28.7,2.97,1.0,1.0,0.1,1.0
R1082,1.985,3,23.9,28.7,5.12,1.0,1.0,0.1,1.0
R1082,1.985,3,23.9,28.7,8.82,1.0,1.0,0.1,1.0
R1082,1.985,3,23.9,28.7,15.2,1.0,1.0,0.1,1.0
R1082,1.985,3,23.9,28.7,26.19,1.0,1.0,0.1,1.0
R1082,1.985,3,23.9,28.7,45.14,1.0,0.5,0.1,1.0
R1082,1.985,3,23.9,28.7,77.79,1.0,0.0,0.1,1.0
R1082,1.985,3,23.9,28.7,134.05,0.2,0.0,0.1,1.0
R1082,1.985,3,23.9,28.7,231.01,0.1,0.0,0.1,1.0
R1082,1.985,3,23.9,28.7,398.11,0.0,0.0,0.1,1.0
R1539,3.366,2,24.0,43.9,1.0,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,1.72,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,2.97,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,5.12,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,8.82,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,15.2,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,26.19,1.0,1.0,1.0,1.0
R1539,3.366,2,24.0,43.9,45.14,1.0,0.1,1.0,1.0
R1539,3.366,2,24.0,43.9,77.79,1.0,0.0,1.0,1.0
R1539,3.366,2,24.0,43.9,134.05,1.0,0.0,1.0,1.0
R1539,3.366,2,24.0,43.9,231.01,1.0,0.0,1.0,1.0
R1539,3.366,2,24.0,43.9,398.11,0.0,0.0,1.0,1.0
R0322,2.873,6,180.2,32.0,1.0,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,1.72,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,2.97,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,5.12,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,8.82,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,15.2,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,26.19,1.0,1.0,1.0,1.0
R0322,2.873,6,180.2,32.0,45.14,1.0,0.0,1.0,1.0
R0322,2.873,6,180.2,32.0,77.79,1.0,0.0,1.0,1.0
R0322,2.873,6,180.2,32.0,134.05,1.0,0.0,1.0,1.0
R0322,2.873,6,180.2,32.0,231.01,0.0,0.0,1.0,1.0
R0322,2.873,6,180.2,32.0,398.11,0.0,0.0,1.0,1.0
R1326,6.788,1,5.9,32.3,1.0,1.0,1.0,0.9,1.0
R1326,6.788,1,5.9,32.3,1.72,1.0,1.0,0.9,1.0
R1326,6.788,1,5.9,32.3,2.97,1.0,1.0,0.9,1.0
R1326,6.788,1,5.9,32.3,5.12,1.0,1.0,0.9,1.0
R1326,6.788,1,5.9,32.3,8.82,1.0,1.0,0.9,1.0
R1326,6.788,1,5.9,32.3,15.2,1.0,1.0,0.9,1.0
R1326,6.788,1,5.9,32.3,26.19,1.0,0.8,0.9,1.0
R1326,6.788,1,5.9,32.3,45.14,1.0,0.0,0.9,1.0
R1326,6.788,1,5.9,32.3,77.79,1.0,0.0,0.9,1.0
R1326,6.788,1,5.9,32.3,134.05,1.0,0.0,1.0,1.0
R1326,6.788,1,5.9,32.3,231.01,1.0,0.0,1.0,1.0
R1326,6.788,1,5.9,32.3,398.11,1.0,0.0,1.0,1.0
R0178,2.794,3,34.5,35.1,1.0,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,1.72,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,2.97,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,5.12,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,8.82,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,15.2,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,26.19,1.0,1.0,1.0,1.0
R0178,2.794,3,34.5,35.1,45.14,1.0,0.2,1.0,1.0
R0178,2.794,3,34.5,35.1,77.79,1.0,0.0,1.0,1.0
R0178,2.794,3,34.5,35.1,134.05,1.0,0.0,1.0,1.0
R0178,2.794,3,34.5,35.1,231.01,0.3,0.0,1.0,1.0
R0178,2.794,3,34.5,35.1,398.11,0.0,0.0,1.0,1.0
R1625,7.448,4,92.9,34.9,1.0,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,1.72,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,2.97,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,5.12,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,8.82,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,15.2,1.0,1.0,1.0,1.0
R1625,7.448,4,92.9,34.9,26.19,1.0,0.2,1.0,1.0
R1625,7.448,4,92.9,34.9,45.14,1.0,0.0,1.0,1.0
R1625,7.448,4,92.9,34.9,77.79,1.0,0.0,1.0,1.0
R1625,7.448,4,92.9,34.9,134.05,1.0,0.0,1.0,1.0
R1625,7.448,4,92.9,34.9,231.01,1.0,0.0,1.0,1.0
R1625,7.448,4,92.9,34.9,398.11,0.3,0.0,1.0,1.0
R2157,3.949,1,4.3,51.2,1.0,1.0,1.0,0.8,1.0
R2157,3.949,1,4.3,51.2,1.72,1.0,1.0,0.8,1.0
R2157,3.949,1,4.3,51.2,2.97,1.0,1.0,0.8,1.0
R2157,3.949,1,4.3,51.2,5.12,1.0,1.0,0.8,1.0
R2157,3.949,1,4.3,51.2,8.82,1.0,1.0,0.8,1.0
R2157,3.949,1,4.3,51.2,15.2,1.0,1.0,0.8,1.0
R2157,3.949,1,4.3,51.2,26.19,1.0,1.0,0.8,1.0
R2157,3.949,1,4.3,51.2,45.14,1.0,0.1,0.8,1.0
R2157,3.949,1,4.3,51.2,77.79,1.0,0.0,0.8,1.0
R2157,3.949,1,4.3,51.2,134.05,1.0,0.0,0.8,1.0
R2157,3.949,1,4.3,51.2,231.01,0.2,0.0,1.0,1.0
R2157,3.949,1,4.3,51.2,398.11,0.0,0.0,1.0,1.0
R1470,3.57,1,4.2,31.3,1.0,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,1.72,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,2.97,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,5.12,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,8.82,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,15.2,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,26.19,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,45.14,1.0,1.0,1.0,1.0
R1470,3.57,1,4.2,31.3,77.79,1.0,0.0,1.0,1.0
