rocket_id,variant,lat,keff_base,keff_eff,Pi_base,Pi_eff,Kp_probe,best_kd,sr_sat,fsat,regime
R0207,gimbal_double,5,22.899,22.899,572.5,572.5,38.0,0.57,0.95,0.6285,saturation
R0207,Iyy_half,5,22.899,45.797,572.5,1144.9,38.0,0.57,0.5,0.7287,saturation
R0207,Iyy_double,5,22.899,11.449,572.5,286.2,38.0,0.57,1.0,0.3485,transitional
R0207,motor_half,5,22.899,11.449,572.5,286.2,38.0,0.57,1.0,0.3397,transitional
R0207,motor_double,5,22.899,45.797,572.5,1144.9,38.0,0.57,0.4,0.729,saturation
R0207,damping_half,5,22.899,22.899,572.5,572.5,38.0,0.57,0.95,0.6278,saturation
R0207,damping_double,5,22.899,22.899,572.5,572.5,38.0,0.57,0.95,0.6278,saturation
R1513,baseline,6,24.076,24.076,866.7,866.7,31.67,0.57,0.8,0.6903,saturation
R1513,gimbal_half,6,24.076,24.076,866.7,866.7,31.67,0.57,1.0,0.6047,saturation
R1513,gimbal_double,6,24.076,24.076,866.7,866.7,31.67,0.57,0.8,0.6903,saturation
R1513,Iyy_half,6,24.076,48.151,866.7,1733.4,31.67,3.167,0.2,0.8655,saturation
R1513,Iyy_double,6,24.076,12.038,866.7,433.4,31.67,0.57,1.0,0.4952,saturation
R1513,motor_half,6,24.076,12.038,866.7,433.4,31.67,0.57,1.0,0.4943,saturation
R1513,motor_double,6,24.076,48.151,866.7,1733.4,31.67,0.57,0.65,0.7745,saturation
R1513,damping_half,6,24.076,24.076,866.7,866.7,31.67,0.57,0.8,0.6903,saturation
R1513,damping_double,6,24.076,24.076,866.7,866.7,31.67,0.57,0.8,0.6903,saturation
R2072,baseline,6,33.474,33.474,1205.1,1205.1,31.67,0.57,0.65,0.7286,saturation
R2072,gimbal_half,6,33.474,33.474,1205.1,1205.1,31.67,3.167,0.45,0.5232,saturation
R2072,gimbal_double,6,33.474,33.474,1205.1,1205.1,31.67,0.57,0.65,0.7286,saturation
R2072,Iyy_half,6,33.474,66.949,1205.1,2410.2,31.67,0.57,0.3,0.7932,saturation
R2072,Iyy_double,6,33.474,16.737,1205.1,602.5,31.67,0.57,0.85,0.6084,saturation
R2072,motor_half,6,33.474,16.737,1205.1,602.5,31.67,0.57,0.95,0.6088,saturation
R2072,motor_double,6,33.474,66.949,1205.1,2410.2,31.67,0.57,0.35,0.7928,saturation
R2072,damping_half,6,33.474,33.474,1205.1,1205.1,31.67,0.57,0.65,0.7286,saturation
R2072,damping_double,6,33.474,33.474,1205.1,1205.1,31.67,0.57,0.65,0.7286,saturation
