rocket_id,wind,floor,ceil,window_ratio,floor_censored,ceil_censored,opt_kd_floor,opt_kd_ceil,fsat_floor,usat_floor,fsat_mid,fsat_above,regime
R2087,0.1,0.28957771427824713,4.192762630330707,14.478885713912357,0,0,0.09266486856903909,0.4192762630330707,0.0,0.0,0.0,0.7077777777777778,linear
R2087,0.15,0.4242134573078013,1.9537170402858262,4.605504626573517,0,0,0.1357483063384964,0.19537170402858262,0.034999999999999996,0.0,0.0,0.41111111111111115,linear
R2087,0.2,0.4242134573078013,13.181298440098702,31.0723250595386,0,0,0.1357483063384964,0.57,0.03833333333333334,0.0,0.4116666666666666,0.7444444444444445,linear
R2087,0.25,0.4242134573078013,13.181298440098702,31.0723250595386,0,0,0.1357483063384964,0.57,0.07166666666666667,0.0,0.4077777777777778,0.7577777777777778,linear
R2087,0.3,0.4242134573078013,19.30978769211261,45.51903613491873,0,0,0.1357483063384964,0.57,0.0688888888888889,0.0,0.6222222222222222,0.7516666666666668,linear
R2087,0.35,1.3336515028610507,19.30978769211261,14.478885713912357,0,0,0.13336515028610507,0.57,0.035,0.0,0.7138888888888889,0.7533333333333333,linear
R2087,0.4,1.3336515028610507,13.181298440098702,9.883615331157486,0,0,0.13336515028610507,0.57,0.04555555555555555,0.0,0.7144444444444445,0.7583333333333334,linear
R2087,0.45,1.3336515028610507,13.181298440098702,9.883615331157486,0,0,0.13336515028610507,0.57,0.022777777777777775,0.0,0.7133333333333333,0.7555555555555555,linear
R2087,0.5,1.9537170402858262,4.192762630330707,2.146043947959481,0,0,0.19537170402858262,0.4192762630330707,0.4344444444444444,0.0,0.616111111111111,0.7155555555555555,transitional
R2920,0.1,0.02,41.43965301304073,,1,0,0.0632,0.57,,,,0.6416666666666667,censored
R2920,0.15,0.029298764123829396,190.8505136751604,6513.944167356092,0,0,0.09258409463130089,19.08505136751604,0.0,0.0,0.325,0.8472222222222223,linear
R2920,0.2,0.029298764123829396,41.43965301304073,1414.382287181078,0,0,0.09258409463130089,0.57,0.0,0.0,0.0,0.6522222222222221,linear
R2920,0.25,0.09211009253147032,41.43965301304073,449.8926434025942,0,0,0.09211009253147032,0.57,0.0,0.0,0.3244444444444445,0.6472222222222223,linear
R2920,0.3,0.13493559372518243,28.287645743621564,209.63813151653525,0,0,0.13493559372518243,0.57,0.0,0.0,0.32,0.7000000000000001,linear
R2920,0.35,0.28957771427824713,28.287645743621564,97.68585201429126,0,0,0.09266486856903909,0.57,0.0,0.0,0.5455555555555556,0.6955555555555555,linear
R2920,0.4,0.4242134573078013,41.43965301304073,97.68585201429124,0,0,0.1357483063384964,0.57,0.0,0.0,0.6344444444444445,0.6372222222222222,linear
R2920,0.45,0.4242134573078013,28.287645743621564,66.68257514305252,0,0,0.1357483063384964,0.57,0.0,0.0,0.5522222222222223,0.6805555555555555,linear
R2920,0.5,0.4242134573078013,28.287645743621564,66.68257514305252,0,0,0.1357483063384964,0.57,0.0,0.0,0.5494444444444444,0.6583333333333333,linear
