rocket_id,td,keff,u_max,latency_steps,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew,static_margin,opt_Kd,kp_floor,kp_ceiling,window_ratio,peak_sr,floor_censored,ceil_censored,td_bin,lat_bin,search_best_sr
R0049,80.04661205068682,9.821145129103911,8.15043571787543,3,0.0205334600592705,2.56764149246812,10.188044647344288,0.3171429428628271,128.4606643240587,-0.0496683835408097,1.0,0.760926835001139,447.9997067987973,588.7552997104206,1.0,False,False,td80-120,lat2-3,
R0093,182.0763566033869,30.700856807441465,5.930660428970637,2,0.0059763808449038,2.3361400764223568,7.413325536213296,0.0689352429808166,132.33576488739337,-0.1705787187532,1.0,5.790096482248505,598.6649859805054,103.39464770853388,1.0,False,False,td180-300,lat2-3,
R0213,219.2985103352799,24.03264450228268,9.12502618321718,5,0.0071133592328732,2.176639081013015,11.406282729021475,0.2916098216683963,166.1837251406423,0.0074108523797984,1.0,7.737344415111075,44.05839790588585,5.694253162601831,0.8666666666666667,False,False,td180-300,lat5-6,
R0234,44.89246476578255,5.245894664664795,8.557637473769427,1,0.0366741869924517,2.4495718329973184,10.697046842211783,0.2202060863290379,96.82737634939254,0.2900912039086868,1.0,0.1336306646846475,250.87967161476035,1877.4109386255504,1.0,False,False,td40-80,lat1,
R0259,145.52418670934162,12.98487367899014,11.207208503291296,1,0.0140987436833708,2.3309248008565544,14.00901062911412,0.1226276841670056,195.94043469592597,0.0481956662336285,1.0,0.760926835001139,800.0,1051.3494375563748,1.0,False,True,td120-180,lat1,
R0266,105.3105867363675,11.644412544545062,9.04387287323492,5,0.0062298852123422,0.9236506640640498,11.304841091543649,0.3826588669944616,111.11834081739644,0.2033245639388488,1.0,5.790096482248505,78.67576203691237,13.587988089338316,1.0,False,False,td80-120,lat5-6,
R0384,348.8473292395993,29.392138566166818,11.868729063531164,1,0.0060712989357618,2.2720763545538047,14.835911329413952,0.4295001590350812,157.90789605725786,-0.2811332265252654,1.0,2.4264280325417045,800.0,329.70275205813255,1.0,False,True,td300+,lat1,
R0477,53.876395063902805,4.990970497578579,10.79477329910916,6,0.0429462834366792,2.729107904784412,13.49346662388645,0.2153985432917086,110.05385043860548,0.2831014014418899,1.0,0.1,140.49252415648894,1404.9252415648891,1.0,True,False,td40-80,lat5-6,
R0606,417.7390547846609,36.38709683579572,11.480417266312688,5,0.0060199634178653,2.7890183863718345,14.35052158289086,0.3567069641785257,92.45161244664884,0.2610094708870834,1.0,7.737344415111075,58.87552997104207,7.609268350011387,1.0,False,False,td300+,lat5-6,
R0624,285.3593658694681,35.34114097649544,8.074424254136389,1,0.0053259663360366,2.396564391030915,10.093030317670486,0.2624679302841973,72.41554532599976,0.2258571016121598,1.0,1.016831587375873,800.0,786.757620369123,1.0,False,True,td180-300,lat1,
R0787,148.50363741170025,19.188431032631897,7.739227723160614,2,0.0121637896861397,2.9717925297696137,9.674034653950768,0.0909964722234189,173.6709997203717,-0.2824680243791907,1.0,2.4264280325417045,800.0,329.70275205813255,1.0,False,True,td120-180,lat2-3,
R0890,209.5336728952225,18.04336350594461,11.61278343841984,4,0.0104582331596471,2.4026246981933044,14.5159792980248,0.3658809008906195,150.4156485588162,0.2322456802155791,1.0,4.332910036713837,105.13494375563756,24.264280325417037,1.0,False,False,td180-300,lat4,
R1143,48.68853112086829,11.860211022771509,4.105199395473377,5,0.0102154776428961,1.5426280094551403,5.131499244341722,0.1067840388749219,64.43293132495455,0.1104626077342681,1.0,2.4264280325417045,140.49252415648894,57.90096482248509,1.0,False,False,td40-80,lat5-6,
R1330,281.6801299868545,25.923012886958027,10.866025921260446,1,0.0074497156149644,2.458868417205217,13.58253240157556,0.3147975110964263,90.40090771566037,0.2692429455756273,1.0,1.3587988089338316,800.0,588.7552997104202,1.0,False,True,td180-300,lat1,
R1345,314.55303443606647,32.588304965558144,9.65232879612826,2,0.0052429730166667,2.175452038927996,12.065410995160324,0.3193386345486193,80.20501112326679,-0.0359088917445796,1.0,2.4264280325417045,447.9997067987973,184.633420316,1.0,False,False,td300+,lat2-3,
R1489,154.48555476007593,21.862045211862924,7.066381633693081,1,0.0086350110721607,2.4036089115347865,8.832977042116351,0.1203729204976008,121.2739131680344,-0.2426532857705283,1.0,1.3587988089338316,800.0,588.7552997104202,1.0,False,True,td120-180,lat1,
R1569,82.5177343996346,36.38646136537409,2.267814217245092,4,0.0053407775558939,2.4743118236737067,2.834767771556365,0.2153449135667151,125.47544736910189,0.1406464528746393,4.0,13.816695498126338,598.6649859805054,43.3291003671384,1.0,False,False,td80-120,lat4,
R1641,12.966247434470343,2.2769127253672448,5.694661587162508,1,0.0607275586302751,1.760525520299533,7.118326983953134,0.1073722102157777,194.15633867332508,0.0345580856068964,1.0,0.1,447.9997067987973,4479.9970679879725,1.0,True,False,td0-40,lat1,
R1687,208.4842785550694,36.304267137687866,5.742693490117021,3,0.0053205856532191,2.4593890320274348,7.178366862646276,0.3313635529237941,108.40201651577138,-0.0606240941347679,1.0,7.737344415111075,187.74109386255512,24.264280325417047,1.0,False,False,td180-300,lat2-3,
R1809,148.48450566368834,16.946830246477106,8.7617863343238,4,0.0125530705105693,2.7086230262423228,10.95223291790475,0.2560231260191134,121.42262580464654,-0.2886944815742102,1.0,7.737344415111075,105.13494375563756,13.587988089338308,1.0,False,False,td120-180,lat4,
R1990,121.73297752400958,25.91928958566501,4.696617055096122,2,0.0065709808493783,2.1685199104636634,5.870771318870153,0.1784794509145567,117.46763619254249,-0.2943882735624212,1.0,5.790096482248505,800.0,138.16695498126327,1.0,False,True,td120-180,lat2-3,
R2068,61.78183772597944,6.530168311779696,9.460987033754074,6,0.0192105165611586,1.5972523536080008,11.826233792192594,0.2429181103009256,182.72812744463116,0.0942348798461686,1.0,1.3587988089338316,78.67576203691237,57.90096482248505,1.0,False,False,td40-80,lat5-6,
R2070,340.01630356325313,28.4834850801614,11.937313941968174,4,0.0068147792574294,2.471468260938062,14.921642427460217,0.1330169227480045,150.36441205575386,0.1746988441489362,1.0,5.790096482248505,105.13494375563756,18.157718801053527,1.0,False,False,td300+,lat4,
R2200,35.08846199957421,2.989525954000008,11.73713242148829,1,0.0492595533513631,1.8750070994478036,14.671415526860365,0.2864902541470724,181.6640261345494,0.0460252423249812,1.0,0.2386263431099305,335.2521727374652,1404.925241564889,1.0,False,False,td0-40,lat1,
R2208,194.3450306530616,19.60808855057857,9.911472510528164,4,0.0080727747375141,2.015432290003314,12.389340638160206,0.2631747435107146,172.57852166428285,0.0966566777653783,1.0,7.737344415111075,105.13494375563756,13.587988089338308,1.0,False,False,td180-300,lat4,
R2226,97.57342002454222,12.364871304743607,7.891179586083484,1,0.0067527558705578,1.063116278889828,9.863974482604355,0.2172271075547726,143.98429093080006,-0.2372190419952109,1.0,1.3587988089338316,800.0,588.7552997104202,1.0,False,True,td80-120,lat1,
R2338,14.884406983975955,1.674992324213307,8.886253846546259,2,0.0397312609422355,0.8473352779650355,11.107817308182824,0.1029122695507646,102.41222271990962,0.1151329828580075,1.0,0.1,140.49252415648894,1404.9252415648891,1.0,True,False,td0-40,lat2-3,
R2340,72.01649998856557,12.083272491485353,5.960016215748921,1,0.0183268206422548,2.819563096060888,7.450020269686152,0.1902383784724846,180.4739452013741,0.2112109804831024,1.0,0.760926835001139,800.0,1051.3494375563748,1.0,False,True,td40-80,lat1,
R2362,57.44967594224752,4.916643540852401,11.684734812458547,1,0.0316921144637765,1.9839469601029645,14.605918515573189,0.2923668196584603,153.53215261184152,-0.1360718097989497,1.0,0.760926835001139,335.2521727374652,440.5839790588584,1.0,False,False,td40-80,lat1,
R2377,215.5924564121108,18.46628988474905,11.674919962680994,2,0.0108624698807267,2.553985061718905,14.593649953351242,0.1683831320334438,166.70464002459096,-0.0960786836503265,1.0,3.242451907980094,800.0,246.7268667982696,1.0,False,True,td180-300,lat2-3,
R2449,82.747726674471,12.13237466192751,6.820406472785649,4,0.0052949170396993,0.8179280309438202,8.525508090982061,0.1327141892888852,122.8065688275204,-0.1568089487477904,1.0,1.8157718801053533,140.49252415648894,77.37344415111075,1.0,False,False,td80-120,lat4,
R2557,86.37776710644869,8.377831681307478,10.31027721637972,4,0.0176104539106834,1.878504758107868,12.887846520474648,0.0942825906373357,148.74922309386488,-0.0039826110231824,1.0,0.3188779684104678,250.87967161476035,786.757620369124,1.0,False,False,td80-120,lat4,
R2611,57.76796349566478,8.552719887363091,6.75433829898004,2,0.0184469671620035,2.0088122211225663,8.442922873725049,0.2337399562298437,126.04012593894552,0.0877501738539493,1.0,0.760926835001139,447.9997067987973,588.7552997104206,1.0,False,False,td40-80,lat2-3,
R2792,84.5784943760398,13.10158267304766,6.455593685641747,2,0.0105346726842343,1.757336489162991,8.069492107052184,0.4321962687936396,125.77846753418784,-0.2425821594248917,1.0,1.3587988089338316,598.6649859805054,440.5839790588587,1.0,False,False,td80-120,lat2-3,
R2836,5.395053090643795,0.956295627363065,5.641616395884158,4,0.065927945490618,0.8027343191252663,7.052020494855198,0.3979392784756445,144.31441701865043,-0.1462511255313563,1.0,1.3587988089338316,187.74109386255512,138.16695498126344,1.0,False,False,td0-40,lat4,
R2866,187.2036709209204,25.640616518724965,7.301059659942586,3,0.0063507995767688,2.073323113346872,9.126324574928232,0.3803226370525209,100.94521690375616,-0.1590620277687966,1.0,3.242451907980094,140.49252415648894,43.3291003671384,1.0,False,False,td180-300,lat2-3,
R2871,197.0149988681936,21.0016330459664,9.380937112699078,4,0.0082900539152975,2.216769510985602,11.726171390873846,0.0755698210874506,86.7109438718916,0.1233933039563079,1.0,5.790096482248505,140.49252415648894,24.26428032541706,1.0,False,False,td180-300,lat4,
R2939,40.86772317676719,3.5283207332847795,11.582768763405571,1,0.0425086759668324,1.9096586896697425,14.478460954256969,0.1691849774335254,139.05508006014475,0.0515060749053977,1.0,0.178571545440607,250.87967161476035,1404.925241564889,1.0,False,False,td40-80,lat1,
R2965,183.51517845625463,18.468441541442413,9.93669000410534,4,0.0096760748703207,2.2753048252636017,12.420862505131671,0.3989834646660724,175.43986713691092,-0.008645036142227,1.0,10.33946477085338,105.13494375563756,10.168315873758727,1.0,False,False,td180-300,lat4,
R3022,169.85385585466702,15.508487265962064,10.95231616996335,6,0.0070887044749607,1.399736951338724,13.690395212454188,0.1758098769050246,107.9675485413696,0.2673786480148916,1.0,3.242451907980094,58.87552997104207,18.157718801053534,1.0,False,False,td120-180,lat5-6,
R3095,134.10945668054418,12.121640639258544,11.063639046203186,4,0.0187498700811169,2.893808487823918,13.829548807753982,0.3668909998768195,185.77362570823368,0.2572913973607375,1.0,4.332910036713837,140.49252415648894,32.42451907980097,1.0,False,False,td120-180,lat4,
R3278,192.4959153292264,18.649579924266032,10.321729288859691,6,0.007633404157155,1.8125810265111024,12.902161611074614,0.2017293725379887,127.79198483099856,-0.0312488402273232,2.0,,,,0.7333333333333333,False,False,td180-300,lat5-6,
R3316,123.61081438724516,18.008013909747095,6.864211400921843,4,0.012776523560085,2.9294671761511686,8.580264251152304,0.0554414930712643,62.43532116227173,0.0326846770245058,1.0,1.016831587375873,140.49252415648894,138.16695498126344,1.0,False,False,td120-180,lat4,
R3332,98.21039227829112,22.64229052354827,4.337476024174809,6,0.0057935966848057,1.6702394457631915,5.421845030218512,0.2642113586348519,167.26888510739516,-0.0310045091186161,4.0,58.87552997104207,250.87967161476035,4.261187487198086,1.0,False,False,td80-120,lat5-6,
R3429,22.364842509492814,2.737771319869597,8.16899583510798,3,0.079355565809136,2.76620703064128,10.211244793884974,0.3828676737402626,133.3583511183796,-0.0902765822985505,1.0,0.4261187487198085,187.74109386255512,440.5839790588585,1.0,False,False,td0-40,lat2-3,
R3515,525.2981033934673,44.69590347142803,11.752712499239788,4,0.005021141912668,2.8574611541507378,14.690890624049736,0.1955395335293733,185.07193891474424,-0.2922155036253211,1.0,32.9702752058133,58.87552997104207,1.7857154544060696,0.8,False,False,td300+,lat4,
R3686,96.76087718854484,9.619540736303277,10.05878345349462,4,0.0151238659034012,1.85236802081156,12.573479316868276,0.3805405892322066,157.54151533201954,-0.1431792556427479,1.0,1.8157718801053533,250.87967161476035,138.1669549812634,1.0,False,False,td80-120,lat4,
R3724,61.10966698595062,7.8221661868943935,7.812371346486666,1,0.0204066707197758,2.0324005979441138,9.765464183108332,0.3568693281253962,138.83892287461515,-0.0162998754472988,1.0,0.760926835001139,447.9997067987973,588.7552997104206,1.0,False,False,td40-80,lat1,
R3761,260.9835896649666,23.227957389869054,11.23575290261189,2,0.0075720849762081,2.2394254962221747,14.044691128264862,0.2681689056595356,140.90725736643012,-0.0990885124922768,1.0,4.332910036713837,598.6649859805054,138.16695498126347,1.0,False,False,td180-300,lat2-3,
R3870,8.37985466379884,0.715916264036867,11.70507653583256,4,0.0851077753770071,0.775785371394641,14.6313456697907,0.2113606008024169,122.5412117512438,0.2434489462132602,1.0,0.1,187.74109386255512,1877.4109386255511,1.0,True,False,td0-40,lat4,
R3898,387.1041703768857,34.675735267602015,11.163546133614709,4,0.0062453654601949,2.757361163290064,13.954432667018384,0.132059379977846,170.96702420565754,-0.0505219419812634,4.0,250.87967161476035,250.87967161476035,1.0,0.8,False,False,td300+,lat4,
R4018,346.45540488958306,29.56095556512956,11.720034020086477,4,0.0075250591190035,2.832295116143104,14.650042525108091,0.18907937146574,86.84068205175042,-0.1012185946132844,2.0,44.05839790588585,140.49252415648894,3.1887796841046794,1.0,False,False,td300+,lat4,
R4075,181.37476476554596,17.959792551040692,10.09893428613328,5,0.0106661010393671,2.4390299204014685,12.623667857666602,0.3830265444003425,137.80082191393004,-0.2837746130006278,2.0,24.672686679826995,105.13494375563756,4.2611874871980815,0.9333333333333332,False,False,td180-300,lat5-6,
R4215,29.580633453465925,3.874267554740951,7.635155041697632,5,0.0526617847740637,2.5977377288780263,9.54394380212204,0.0597099426375028,126.32074275680364,-0.2221408538310136,1.0,0.3188779684104678,187.74109386255512,588.7552997104209,1.0,False,False,td0-40,lat5-6,
R4332,335.1705207718114,32.949792818448024,10.172158672395511,5,0.0064606459775776,2.7104334636290277,12.71519834049439,0.4471696191862452,131.30806172569595,0.1941828988143328,1.0,24.672686679826995,58.87552997104207,2.3862634310993043,0.9333333333333332,False,False,td300+,lat5-6,
