policy,p_unstable,slew_scale,util_frac,actual_slew_deg_s,actual_u_max_deg,design_slew_deg_s,design_u_max_deg,gain1,gain2,success_rate,rms_deg,peak_deg
NOMINAL_PD,10,1,1,90,10,90,10,30,3,1,1.09672766447352,4.60697845605745
MEASURED_PD,10,1,1,90,10,90,10,30,3,1,1.09672766447352,4.60697845605745
VALIDATOR_LQR,10,1,1,90,10,90,8.5,26.8614066163452,2.57743520831219,1,1.17825310055423,4.65315252767468
NOMINAL_PD,10,1,0.75,90,7.5,90,10,30,3,1,1.09672766447352,4.60697845605745
MEASURED_PD,10,1,0.75,90,7.5,90,7.5,30,3,1,1.09672766447352,4.60697845605745
VALIDATOR_LQR,10,1,0.75,90,7.5,90,7.5,26.8614066163452,2.57743520831219,1,1.17825310055423,4.65315252767468
NOMINAL_PD,10,1,0.55,90,5.5,90,10,30,3,1,1.09672766447352,4.60697845605745
MEASURED_PD,10,1,0.55,90,5.5,90,5.5,30,3,1,1.09672766447352,4.60697845605745
VALIDATOR_LQR,10,1,0.55,90,5.5,90,5.5,26.8614066163452,2.57743520831219,1,1.17825310055423,4.65315252767468
NOMINAL_PD,10,1,0.35,90,3.5,90,10,30,3,1,1.09672766447352,4.60697845605745
MEASURED_PD,10,1,0.35,90,3.5,90,3.5,30,3,1,1.09672766447352,4.60697845605745
VALIDATOR_LQR,10,1,0.35,90,3.5,90,3.5,26.8614066163452,2.57743520831219,1,1.17825310055423,4.65315252767468
NOMINAL_PD,10,0.7,1,63,10,90,10,30,3,1,1.09672766447352,4.60697845605745
MEASURED_PD,10,0.7,1,63,10,63,10,30,3,1,1.09672766447352,4.60697845605745
VALIDATOR_LQR,10,0.7,1,63,10,63,8.5,26.8614066163452,2.57743520831219,1,1.17825310055423,4.65315252767468
NOMINAL_PD,10,0.7,0.75,63,7.5,90,10,30,3,1,1.09672766447352,4.60697845605745
MEASURED_PD,10,0.7,0.75,63,7.5,63,7.5,30,3,1,1.09672766447352,4.60697845605745
VALIDATOR_LQR,10,0.7,0.75,63,7.5,63,7.5,26.8614066163452,2.57743520831219,1,1.17825310055423,4.65315252767468
NOMINAL_PD,10,0.7,0.55,63,5.5,90,10,30,3,1,1.09672766447352,4.60697845605745
MEASURED_PD,10,0.7,0.55,63,5.5,63,5.5,30,3,1,1.09672766447352,4.60697845605745
VALIDATOR_LQR,10,0.7,0.55,63,5.5,63,5.5,26.8614066163452,2.57743520831219,1,1.17825310055423,4.65315252767468
NOMINAL_PD,10,0.7,0.35,63,3.5,90,10,30,3,1,1.09672766447352,4.60697845605745
MEASURED_PD,10,0.7,0.35,63,3.5,63,3.5,30,3,1,1.09672766447352,4.60697845605745
VALIDATOR_LQR,10,0.7,0.35,63,3.5,63,3.5,26.8614066163452,2.57743520831219,1,1.17825310055423,4.65315252767468
NOMINAL_PD,10,0.5,1,45,10,90,10,30,3,1,1.10507988831544,4.62490951308289
MEASURED_PD,10,0.5,1,45,10,45,10,30,3,1,1.10507988831544,4.62490951308289
VALIDATOR_LQR,10,0.5,1,45,10,45,8.5,26.8614066163452,2.57743520831219,1,1.18067856078311,4.65975193391938
NOMINAL_PD,10,0.5,0.75,45,7.5,90,10,30,3,1,1.10507988831544,4.62490951308289
MEASURED_PD,10,0.5,0.75,45,7.5,45,7.5,30,3,1,1.10507988831544,4.62490951308289
VALIDATOR_LQR,10,0.5,0.75,45,7.5,45,7.5,26.8614066163452,2.57743520831219,1,1.18067856078311,4.65975193391938
NOMINAL_PD,10,0.5,0.55,45,5.5,90,10,30,3,1,1.10507988831544,4.62490951308289
