profile,method,p_unstable,gust_std,cmd_deg,slew_code,u_max_code,servo_deadband,servo_backlash,Kp,Kd,design_success_rate,deploy_success_rate,rms_error_deg,peak_error_deg,end_error_deg,u_cmd_sat_frac,slew_sat_frac
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,10,1.5,20,60,12,0.05,0.1,60,8,1,1,4.07254998783393,7.62057554637283,0.710591219754198,0.000173370319001387,0.0263888888888889
HOBBY_NOMINAL,CLEAN_RETUNED_PID,10,1.5,20,60,12,0.05,0.1,60,24,1,1,3.66866134092059,7.07995632682719,0.851095585265555,0.0310332871012483,0.227951388888889
HOBBY_NOMINAL,BENCH_TUNED_PID,10,1.5,20,60,12,0.05,0.1,60,24,1,1,3.66866134092059,7.07995632682719,0.851095585265555,0.0310332871012483,0.227951388888889
HOBBY_NOMINAL,BENCH_TUNED_PCH,10,1.5,20,60,12,0.05,0.1,30,8,1,1,1.85738193839912,3.62451055412484,0.916133568931588,0,0.413368055555556
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,10,2.5,20,60,12,0.05,0.1,60,8,1,1,4.07308461861267,7.60305033139709,0.729304611378384,0.00121359223300971,0.0291666666666667
HOBBY_NOMINAL,CLEAN_RETUNED_PID,10,2.5,20,60,12,0.05,0.1,60,24,1,1,3.66174755412719,7.09685707024232,0.802160075504019,0.0329403606102635,0.235590277777778
HOBBY_NOMINAL,BENCH_TUNED_PID,10,2.5,20,60,12,0.05,0.1,60,24,1,1,3.66174755412719,7.09685707024232,0.802160075504019,0.0329403606102635,0.235590277777778
HOBBY_NOMINAL,BENCH_TUNED_PCH,10,2.5,20,60,12,0.05,0.1,30,4,1,1,1.92812615837215,3.62970254500393,0.697532025873225,0,0.161805555555556
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,12,0.9,20,60,12,0.05,0.1,60,8,1,0,90,90,90,0.638002773925104,0.00920138888888889
HOBBY_NOMINAL,CLEAN_RETUNED_PID,12,0.9,20,60,12,0.05,0.1,60,24,1,0.125,79.5400660845232,80.3429112734617,78.7815130925455,0.429438280166436,0.0796875
HOBBY_NOMINAL,BENCH_TUNED_PID,12,0.9,20,60,12,0.05,0.1,5,4,0,0,90,90,90,0.768550624133148,0
HOBBY_NOMINAL,BENCH_TUNED_PCH,12,0.9,20,60,12,0.05,0.1,30,12,1,1,2.76850613509066,5.18765481880008,0.770579292083792,0.0459431345353675,0.399479166666667
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,12,1.5,20,60,12,0.05,0.1,60,8,1,0,90,90,90,0.623439667128987,0.00972222222222222
HOBBY_NOMINAL,CLEAN_RETUNED_PID,12,1.5,20,60,12,0.05,0.1,60,24,1,0.125,69.3446672769389,71.3190086613725,67.9373669812404,0.400658807212205,0.0866319444444444
HOBBY_NOMINAL,BENCH_TUNED_PID,12,1.5,20,60,12,0.05,0.1,60,24,0,0.125,69.3446672769389,71.3190086613725,67.9373669812404,0.400658807212205,0.0866319444444444
HOBBY_NOMINAL,BENCH_TUNED_PCH,12,1.5,20,60,12,0.05,0.1,30,12,1,1,2.77009922552753,5.1866296194213,0.78607864731907,0.0469833564493759,0.391319444444444
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,12,2.5,20,60,12,0.05,0.1,60,8,1,0,90,90,90,0.618932038834951,0.0102430555555556
HOBBY_NOMINAL,CLEAN_RETUNED_PID,12,2.5,20,60,12,0.05,0.1,60,24,1,0,69.3412694060563,71.1104391810494,68.0613466903915,0.417995839112344,0.0899305555555556
HOBBY_NOMINAL,BENCH_TUNED_PID,12,2.5,20,60,12,0.05,0.1,60,24,0,0,69.3412694060563,71.1104391810494,68.0613466903915,0.417995839112344,0.0899305555555556
HOBBY_NOMINAL,BENCH_TUNED_PCH,12,2.5,20,60,12,0.05,0.1,30,8,1,1,2.79781251788785,5.28050481611373,0.650191202212821,0.0403952843273232,0.239756944444444
SLOPPY_TVC,AMATEUR_NOMINAL_PID,6,0.9,25,30,10,0.15,0.3,60,8,1,0,90,90,90,0.680141579731744,0.446828358208955
SLOPPY_TVC,CLEAN_RETUNED_PID,6,0.9,25,30,10,0.15,0.3,45,4,1,0,72.3335664291124,90,90,0.531110283159464,0.412126865671642
SLOPPY_TVC,BENCH_TUNED_PID,6,0.9,25,30,10,0.15,0.3,30,4,1,1,3.49257343738569,7.70848166016181,0.416652742654054,0,0.19384328358209
SLOPPY_TVC,BENCH_TUNED_PCH,6,0.9,25,30,10,0.15,0.3,5,4,1,1,4.94963849137292,10.4454661241517,1.98953490213719,0,0.559701492537313
SLOPPY_TVC,AMATEUR_NOMINAL_PID,6,1.5,25,30,10,0.15,0.3,60,8,1,0,90,90,90,0.690387481371088,0.409141791044776
SLOPPY_TVC,CLEAN_RETUNED_PID,6,1.5,25,30,10,0.15,0.3,45,4,1,0,79.3038712808395,81.9051265124099,81.9051265124099,0.56371087928465,0.377238805970149
SLOPPY_TVC,BENCH_TUNED_PID,6,1.5,25,30,10,0.15,0.3,30,4,1,1,3.50892881601268,7.85249913572016,0.644037084080217,0,0.202238805970149
SLOPPY_TVC,BENCH_TUNED_PCH,6,1.5,25,30,10,0.15,0.3,5,4,1,1,5.13138248950511,10.5486143267194,2.35337355395791,0,0.552611940298507
SLOPPY_TVC,AMATEUR_NOMINAL_PID,6,2.5,25,30,10,0.15,0.3,60,8,1,0,90,90,90,0.721684053651267,0.383022388059702
SLOPPY_TVC,CLEAN_RETUNED_PID,6,2.5,25,30,10,0.15,0.3,45,4,1,0.125,69.1448889739715,73.3287063635352,72.5008699793856,0.51322652757079,0.375186567164179
SLOPPY_TVC,BENCH_TUNED_PID,6,2.5,25,30,10,0.15,0.3,30,4,1,0.875,7.52241281010474,18.2944076802082,11.9885755496792,0.0244038748137109,0.261753731343284
SLOPPY_TVC,BENCH_TUNED_PCH,6,2.5,25,30,10,0.15,0.3,5,4,1,0.75,5.86929485935821,13.7303998283101,5.87673803752625,0,0.55
SLOPPY_TVC,AMATEUR_NOMINAL_PID,8,0.9,25,30,10,0.15,0.3,60,8,1,0,90,90,90,0.714418777943368,0.334888059701493
SLOPPY_TVC,CLEAN_RETUNED_PID,8,0.9,25,30,10,0.15,0.3,30,12,1,0,60.9434683881878,70.6558944466624,64.9700475469362,0.565573770491803,0.375
SLOPPY_TVC,BENCH_TUNED_PID,8,0.9,25,30,10,0.15,0.3,30,4,1,0.75,6.95113634533916,14.0534875518484,0.609006399679943,0.0003725782414307,0.268283582089552
