p_unstable,slew_min_observed,slew_min_predicted_powerlaw
6,12.5223787200719,11.1585363319841
8,19.3762997215061,19.7777338220927
10,20.8159090028033,30.8305911811587
12,59.6936076322562,44.3113797683259
