rocket_id,wind,Kp,Kd,Kd_Kp_ratio,sr
R2087,0.1,0.02,0.01,0.5,0.06666666666666667
R2087,0.1,0.02,0.02,1.0,0.06666666666666667
R2087,0.1,0.02,0.0632,3.16,0.2
R2087,0.1,0.02,0.57,28.499999999999996,0.06666666666666667
R2087,0.1,0.029298764123829396,0.01,0.3413113248646129,0.06666666666666667
R2087,0.1,0.029298764123829396,0.029298764123829396,1.0,0.06666666666666667
R2087,0.1,0.029298764123829396,0.09258409463130089,3.16,0.26666666666666666
R2087,0.1,0.029298764123829396,0.57,19.454745517282934,0.06666666666666667
R2087,0.1,0.042920878959189626,0.01,0.23298684096167463,0.06666666666666667
R2087,0.1,0.042920878959189626,0.01373468126694068,0.32,0.06666666666666667
R2087,0.1,0.042920878959189626,0.042920878959189626,1.0,0.06666666666666667
R2087,0.1,0.042920878959189626,0.13562997751103922,3.16,0.4666666666666667
R2087,0.1,0.042920878959189626,0.57,13.280249934815453,0.06666666666666667
R2087,0.1,0.06287643543063644,0.01,0.1590420947293001,0.06666666666666667
R2087,0.1,0.06287643543063644,0.02012045933780366,0.32,0.06666666666666667
R2087,0.1,0.06287643543063644,0.06287643543063644,1.0,0.13333333333333333
R2087,0.1,0.06287643543063644,0.19868953596081115,3.16,0.4
R2087,0.1,0.06287643543063644,0.57,9.065399399570104,0.13333333333333333
R2087,0.1,0.09211009253147032,0.01,0.10856573612260136,0.06666666666666667
R2087,0.1,0.09211009253147032,0.029475229610070503,0.32,0.06666666666666667
R2087,0.1,0.09211009253147032,0.09211009253147032,1.0,0.4666666666666667
R2087,0.1,0.09211009253147032,0.2910678923994462,3.1599999999999997,0.2
R2087,0.1,0.09211009253147032,0.57,6.188246958988277,0.0
R2087,0.1,0.13493559372518243,0.013493559372518244,0.1,0.06666666666666667
R2087,0.1,0.13493559372518243,0.04317938999205838,0.32,0.06666666666666667
R2087,0.1,0.13493559372518243,0.13493559372518243,1.0,0.6666666666666666
R2087,0.1,0.13493559372518243,0.4263964761715765,3.16,0.13333333333333333
R2087,0.1,0.13493559372518243,0.57,4.2242375363234,0.13333333333333333
R2087,0.1,0.19767230662314975,0.019767230662314977,0.10000000000000002,0.06666666666666667
R2087,0.1,0.19767230662314975,0.06325513811940792,0.32,0.26666666666666666
R2087,0.1,0.19767230662314975,0.19767230662314975,1.0,0.4666666666666667
R2087,0.1,0.19767230662314975,0.57,2.8835602201307355,0.0
