rocket_id,n_pass,qr_floor,qr_ceiling,window_equiv,td,keff,latency,Pi,log_Pi
R0048,19,12.663801734674022,100000.0,7896.522868499733,281.9656155049529,25.861134826252677,3,232.7502134362741,5.4499658331761935
R0060,21,7.896522868499725,100000.0,12663.801734674034,233.8851279001163,25.19689041316748,1,25.19689041316748,3.2267205906005496
R0117,4,15117.7507061566,100000.0,6.614740641230159,37.78142083120142,14.586186477180387,6,525.1027131784939,6.263593887605315
R0137,26,0.4641588833612777,100000.0,215443.46900318845,62.37820181077502,6.426212767628209,3,57.835914908653876,4.05760994791253
R0163,21,3.07029062975785,100000.0,32570.20655659783,159.18853296651844,23.175611525197468,2,92.70244610078987,4.529394859502958
R0234,9,1425.1026703029963,100000.0,70.17038286703837,11.170847658177289,6.810427366810912,5,170.2606841702728,5.137330698833088
R0236,5,215.44346900318823,15117.7507061566,70.17038286703823,168.5998668667279,21.485337127938408,6,773.4721366057827,6.650889646876619
R0278,24,1.1937766417144358,100000.0,83767.76400682924,65.47841163338043,7.013634279981204,4,112.21814847969927,4.720444731164253
R0387,27,0.4641588833612777,100000.0,215443.46900318845,34.03617402910283,6.2256281011444905,3,56.03065291030042,4.025898914379198
R0400,6,52.23345074266843,1425.1026703029963,27.283333764867642,214.6999063287188,19.379628939556724,5,484.4907234889181,6.183098284581822
R0432,37,0.0016037187437513,100000.0,62355073.41274033,143.74605132208225,12.80911013569716,2,51.23644054278864,3.9364510082375817
R0471,11,134.33993325988988,100000.0,744.3803013251696,180.5698446495365,21.76700663752589,3,195.903059737733,5.277619943704137
R0482,27,0.2894266124716751,100000.0,345510.7294592219,14.144109366747472,1.9199667014653892,5,47.99916753663473,3.871183667770723
R0522,21,7.896522868499725,100000.0,12663.801734674034,216.8522999839436,41.37695025803256,1,41.37695025803256,3.7227239687321556
R0564,28,0.180472176682717,100000.0,554102.0330009492,82.31233447726521,12.511072270401854,2,50.04428908160742,3.9129083949872547
R0728,26,0.7443803013251689,100000.0,134339.93325989,97.65740686673432,9.378674994338272,2,37.51469997735309,3.624732855560757
R0764,40,0.001,100000.0,100000000.0,12.930340314164486,2.412275137104066,1,2.412275137104066,0.8805703424689189
R0831,10,52.23345074266843,24244.62017082326,464.1588833612773,94.61875762584027,13.567305029148502,4,217.07688046637602,5.380251578658818
R0837,40,0.001,100000.0,100000000.0,3.723689642814445,1.90878330948278,5,47.7195827370695,3.865341853207193
R0912,40,0.001,100000.0,100000000.0,40.01734294547792,6.267045957526658,1,6.267045957526658,1.8353051044734543
R0923,18,0.4641588833612777,100000.0,215443.46900318845,4.422144768349797,0.8011251781261479,1,0.8011251781261479,-0.22173806681275862
