keff,latency,k_couple,Kd,d_amp,pid_floor,pid_ceil,pid_window,smith_ceil,smith_window,smith_ratio,pi_keff,n_wind
5.0,3,0.0,0.5,3.0,3.030949496748786,45.236786211746484,14.924955450518297,150.3941259021549,36.74661940736688,3.32459793227094,45.0,N/A (fixed wind)
5.0,3,0.05,0.5,3.0,3.030949496748786,45.236786211746484,14.924955450518297,150.3941259021549,36.74661940736688,3.32459793227094,45.0,N/A (fixed wind)
5.0,3,0.1,0.5,3.0,3.030949496748786,45.236786211746484,14.924955450518297,150.3941259021549,36.74661940736688,3.32459793227094,45.0,N/A (fixed wind)
5.0,3,0.3,0.5,3.0,4.092733653534514,45.236786211746484,11.052951411260217,150.3941259021549,36.74661940736688,3.32459793227094,45.0,N/A (fixed wind)
5.0,3,0.5,0.5,3.0,4.092733653534514,45.236786211746484,11.052951411260217,150.3941259021549,27.213387683753073,3.32459793227094,45.0,N/A (fixed wind)
5.0,6,0.0,1.0,3.0,3.030949496748786,33.50093751754793,11.052951411260214,203.07929941884896,36.7466194073669,6.061898993497575,180.0,N/A (fixed wind)
5.0,6,0.05,1.0,3.0,3.030949496748786,33.50093751754793,11.052951411260214,203.07929941884896,36.7466194073669,6.061898993497575,180.0,N/A (fixed wind)
5.0,6,0.1,1.0,3.0,3.030949496748786,33.50093751754793,11.052951411260214,203.07929941884896,36.7466194073669,6.061898993497575,180.0,N/A (fixed wind)
5.0,6,0.3,1.0,3.0,3.030949496748786,33.50093751754793,11.052951411260214,203.07929941884896,27.21338768375309,6.061898993497575,180.0,N/A (fixed wind)
5.0,6,0.5,1.0,3.0,3.030949496748786,33.50093751754793,11.052951411260214,203.07929941884896,27.21338768375309,6.061898993497575,180.0,N/A (fixed wind)
12.0,3,0.0,0.5,3.0,1.2310462007473129,33.50093751754793,27.21338768375307,111.3771475999778,67.00187503509585,3.32459793227094,108.0,N/A (fixed wind)
12.0,3,0.05,0.5,3.0,1.2310462007473129,33.50093751754793,27.21338768375307,111.3771475999778,67.00187503509585,3.32459793227094,108.0,N/A (fixed wind)
12.0,3,0.1,0.5,3.0,1.2310462007473129,33.50093751754793,27.21338768375307,111.3771475999778,67.00187503509585,3.32459793227094,108.0,N/A (fixed wind)
12.0,3,0.3,0.5,3.0,1.6622989661354703,33.50093751754793,20.153376859417325,111.3771475999778,49.619476030029,3.32459793227094,108.0,N/A (fixed wind)
12.0,3,0.5,0.5,3.0,1.6622989661354703,33.50093751754793,20.153376859417325,111.3771475999778,36.74661940736687,3.32459793227094,108.0,N/A (fixed wind)
12.0,6,0.0,1.0,3.0,0.6751570189349365,24.809738015014513,36.74661940736689,203.07929941884896,90.47357242349297,8.185467307069029,432.0,N/A (fixed wind)
12.0,6,0.05,1.0,3.0,0.6751570189349365,24.809738015014513,36.74661940736689,203.07929941884896,67.00187503509589,8.185467307069029,432.0,N/A (fixed wind)
12.0,6,0.1,1.0,3.0,0.9116740004342205,24.809738015014513,27.213387683753076,203.07929941884896,67.00187503509589,8.185467307069029,432.0,N/A (fixed wind)
12.0,6,0.3,1.0,3.0,0.9116740004342205,24.809738015014513,27.213387683753076,203.07929941884896,49.619476030029034,8.185467307069029,432.0,N/A (fixed wind)
12.0,6,0.5,1.0,3.0,1.2310462007473129,24.809738015014513,20.153376859417328,203.07929941884896,27.21338768375309,8.185467307069029,432.0,N/A (fixed wind)
25.0,3,0.0,0.5,3.0,0.5,24.809738015014513,49.61947603002903,111.3771475999778,164.96480740980195,4.489251258218602,225.0,N/A (fixed wind)
25.0,3,0.05,0.5,3.0,0.5,24.809738015014513,49.61947603002903,111.3771475999778,164.96480740980195,4.489251258218602,225.0,N/A (fixed wind)
25.0,3,0.1,0.5,3.0,0.5,24.809738015014513,49.61947603002903,111.3771475999778,122.16773489967912,4.489251258218602,225.0,N/A (fixed wind)
25.0,3,0.3,0.5,3.0,0.6751570189349365,24.809738015014513,36.74661940736689,111.3771475999778,90.47357242349291,4.489251258218602,225.0,N/A (fixed wind)
25.0,3,0.5,0.5,3.0,0.9116740004342205,24.809738015014513,27.213387683753076,111.3771475999778,67.00187503509585,4.489251258218602,225.0,N/A (fixed wind)
25.0,6,0.0,0.5,3.0,0.5,13.606693841876535,27.21338768375307,111.3771475999778,90.47357242349291,8.185467307069025,900.0,N/A (fixed wind)
25.0,6,0.05,0.5,3.0,0.5,13.606693841876535,27.21338768375307,111.3771475999778,67.00187503509585,8.185467307069025,900.0,N/A (fixed wind)
25.0,6,0.1,0.5,3.0,0.5,13.606693841876535,27.21338768375307,111.3771475999778,67.00187503509585,8.185467307069025,900.0,N/A (fixed wind)
25.0,6,0.3,0.5,3.0,0.6751570189349365,13.606693841876535,20.153376859417325,111.3771475999778,27.213387683753062,8.185467307069025,900.0,N/A (fixed wind)
25.0,6,0.5,0.5,3.0,0.9116740004342205,13.606693841876535,14.924955450518292,111.3771475999778,6.061898993497572,8.185467307069025,900.0,N/A (fixed wind)
