rocket_id,td,latency_steps,Iyy,motor_scale,max_gimbal_deg,new_Kp,new_Kd,nom_sr,under_sr,over_sr,margin,nom_rms
R2334,2.484039347537522,1,0.09801514956002953,0.6125495017326236,6.326020842917098,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.9135491538064782
R0496,2.5987846513962314,3,0.07324017194698045,0.9863190334059793,3.0713008930642918,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.706591271149423
R3042,3.569803627546137,5,0.09009270323322974,1.362966934026701,3.7555085620061646,115.62844575768011,1.0,1.0,1.0,1.0,1.0,1.1896121345987818
R1655,3.1053008392402606,3,0.08051763985457441,1.3885234125649475,2.86590401979413,162.34034009544706,1.0,1.0,1.0,1.0,1.0,1.3034186729295307
R3484,4.145347426287864,3,0.049740052382803095,1.422315792354885,2.30723203409943,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.176160667378249
R3110,4.350317224886372,3,0.033123210768811154,0.7858512425516153,2.918321551624438,115.62844575768011,1.0,1.0,1.0,1.0,1.0,1.1911257530321036
R0620,4.1084325437721025,3,0.07394641096551571,1.2426022679088522,3.8911793679167683,115.62844575768011,1.0,1.0,1.0,1.0,1.0,1.0227915791930402
R2883,2.8370082322625976,3,0.09872125971992876,2.0131211432344216,2.214223756376014,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.9009857132404789
R3756,2.4928872042848966,5,0.08253569238036276,1.1690194201521265,2.8011917142489215,227.9230326898601,2.0,1.0,1.0,1.0,1.0,1.222466014750357
R0998,4.307320469721345,5,0.09531858577374218,2.054208666490429,3.1809756867537344,115.62844575768011,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.481167418051203
R1816,1.8759379817680493,6,0.06456200300339705,0.5714443177194168,3.3731968440310545,162.34034009544706,1.0,1.0,1.0,1.0,1.0,1.0437286026675723
R2209,2.7591894013559513,6,0.09255926126781813,0.626443962420444,6.488425114539064,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.5499605024433337
R2199,4.538831314868173,5,0.05194576136162577,1.2507961921639845,3.0000447976007263,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.5302592073993513
R1926,7.751912352518925,1,0.06085473808623394,1.6472158918880266,4.557984661340242,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.8147599244311169
R0622,5.658209561410346,2,0.07042043362472089,1.358588712893813,4.667774344964451,115.62844575768011,1.0,1.0,1.0,1.0,1.0,0.8549714708893326
R2057,5.905686840306137,5,0.09405509746522486,0.9880596135317916,8.947253357839442,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.6996247981012612
R3852,6.822793308617269,5,0.04936968810462819,1.188813751094189,4.509505387237463,162.34034009544706,2.0,1.0,1.0,1.0,1.0,1.5412759569371015
R2444,5.4042760229647975,5,0.0888616399596712,1.7344908769126908,4.406562742875305,82.35745631970453,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,2.1274786920178173
R2952,5.2944149935391955,4,0.06594178085102423,0.8515562926704594,6.525073687314478,58.65987877815546,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.432881314618445
R1107,6.024962808829157,1,0.024654043365738027,0.5776832026194336,4.0923513954508675,115.62844575768011,1.0,1.0,1.0,1.0,1.0,1.4882696763954038
R2501,5.385411806206925,5,0.09860695466060689,1.5459816795627246,5.4669141388642,41.78105458855241,1.0,1.0,1.0,1.0,1.0,1.3300700889510537
R0086,5.357535333825297,2,0.019347410341342013,0.5973043459306794,2.761927941747703,115.62844575768011,1.0,1.0,1.0,1.0,1.0,1.3376712225978975
