rocket_id,design_id,regime_label,best_Kp,best_Kd,grad_magnitude,topology_class,best_param,best_direction,best_magnitude,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,grad_rms_mass,grad_rms_Iyy,grad_rms_static_margin,grad_rms_Cm_alpha,grad_rms_control_effectiveness,grad_rms_thrust,grad_rms_servo_slew_deg_s,grad_rms_max_gimbal_deg,grad_rms_deadband,grad_rms_backlash,grad_rms_wind_strength,grad_rms_latency_steps,curv_rms_mass,curv_rms_Iyy,curv_rms_static_margin,curv_rms_Cm_alpha,curv_rms_control_effectiveness,curv_rms_thrust,curv_rms_servo_slew_deg_s,curv_rms_max_gimbal_deg,curv_rms_deadband,curv_rms_backlash,curv_rms_wind_strength,topology_class_pop
R0899,899,INFEASIBLE,10.0,4.0,435.6436042920216,bowl,Cm_alpha,+,234.27855932558083,2.6608966366000053,1.709114402979432,0.0236130863121646,0.2277093094623261,-63.18282595021655,6.0165126306769965,37.8412098848941,117.5617196239842,13.05604282108738,5,0.1138913759988351,0.1454713010632396,0.4186209518203148,-81.5141932013987,1268.9352396404618,667.0146722613738,-5.85696398313952,-24.692423613204294,-5.392764419185747,-0.8344495459078616,16.800223584180213,64.74536969708998,-110.7201681005525,324.69554478181226,4.1465965475999305,927.6645857222381,5960075.160083883,244028.1383135911,10.246785879099827,252.08450824958487,40.50817646496795,4.67638546444196,253.57320420589352,0.0,209006.97759244917,49475.84391146735,bowl
R0900,900,FRAGILE,10.0,4.0,33.70120571030183,bowl,static_margin,+,20.681384554605906,0.6364287935672048,1.2189697752888151,0.014895614687395,0.0678437115059154,-56.9272096590083,8.123576929906335,47.66731707101316,91.1544514914248,13.882571622433296,3,0.1068366964243994,0.177929138537716,0.1377105738278171,-6.833063576080616,-4.504846754946296,-103.40692277302954,0.0885168327466872,0.4087732076448468,0.2689319536320706,-0.049998240863001975,1.501530194173379,-0.07534651479653347,-15.733089395960661,51.14811441085369,-0.1859740093674409,1595.085842005209,778020.0525518843,91183.81536704965,1.4459741941759288,48.09466203925899,3.5147417038523394,0.3048372409216792,33.927051220237225,0.0,58113.34525401861,11227.160560396005,bowl
R0901,901,FRAGILE,45.0,4.0,13.503306783733516,cliff,servo_slew_deg_s,+,8.345821129171219,0.3826771436263976,1.3818982012143697,0.0358687614048609,0.0472342487550696,-45.902045092911365,5.708374365144865,41.55032309508762,24.725752734889127,10.360790115949271,1,0.0805080404537254,0.1726273185123543,0.1888049103122953,-2.2183293190981463,-69.86388391390831,3.395820168761305,-0.01035672232974938,-0.12472407060955223,-0.0003368670848740152,-0.08345821129171219,0.19734471599952583,-6.91599108194497,9.322229905618817,23.83517441544938,-0.046929759514369174,-327.2628199423384,-431063.75629999157,-7076.84915420221,-0.1403596384951067,0.003857708108126293,-0.3202499634019978,-0.019662467315085617,-2.101657028270979,-3976.174058529718,-1125.8049968087087,-3060.776159973592,plateau
R0902,902,EASY,10.0,4.0,35.32477322883913,bowl,Iyy,+,12.544782480538766,0.6083772779847649,1.0656984254257464,0.0372574333998896,0.1039830931214902,-32.56905471810316,9.974417871795636,40.10986108420176,94.14458322198828,8.721262227509106,3,0.1059869587131255,0.1293368443611361,0.2881899872116756,-8.74654630746668,-418.15941601795885,-55.12004798392763,0.03119000821758,-0.4859961107805173,-0.1666730848945619,0.04946081831604952,2.4927782026057863,12.443039129405804,80.93669108459758,22.20267352922958,0.9620638314215757,-132.7880348637067,561787.6290871163,10472.942513372862,-0.07037620578740766,12.836380411006282,-1.438604155870939,0.0484899612488687,-11.267575657090934,0.0,19328.025181900077,12167.712035678443,bowl
R0903,903,EASY,10.0,4.0,31.469580247181433,cliff,backlash,+,12.39558491653279,1.3355047472065085,1.8397179010939448,0.0312087747862841,0.2210515663795089,-35.75087960279634,5.865416020239479,45.324303732666245,32.85330106218957,8.466421092095898,4,0.1466644462448256,0.0895146572691926,0.1339738215731857,-2.5489363302623467,9.646022172750792,24.279704662777025,-0.17871265096943834,-0.01409175873045873,0.014067991705888261,0.2329078294015859,0.0027485489207863243,5.229510909072859,-49.58233966613116,36.17207836819568,-0.262912758681638,195.12804308360285,-268747.80958357407,15376.813666497505,0.30779509862997956,2.55083528644079,0.2236721474126108,0.0604748016813032,10.786931944556132,-11467.373449779237,8282.562686693753,-1459.8285572143936,cliff
R0904,904,EASY,10.0,4.0,33.05680487966718,bowl,control_effectiveness,+,18.076012687170454,0.9640831360220394,1.8686549865715327,0.0371322126307052,0.1416463358557911,-40.624154378807056,9.67418408212732,46.11176456782453,96.89631382928684,10.46863577708303,3,0.0715117723809785,0.167352782146012,0.2283150933577843,-13.349649022180227,-296.9524800902249,-31.941661952457927,0.12689544013650278,-2.0084458541300503,-0.20150086851362659,-0.015058990133145933,1.8515612211757246,24.06885415948042,-49.488884435523055,3.2686440348196806,-0.08710435910019632,636.3034418509145,426534.2114111859,5571.830826968432,-0.19543215687139126,4.160974256638894,0.08076673367225908,0.06839312291885812,-2.457347906360197,-15570.416542044955,-5660.520405828255,3237.678518450503,bowl
R0905,905,FRAGILE,20.0,4.0,16.872232110713842,bowl,servo_slew_deg_s,+,9.77086539159611,0.5682612491617822,1.7292007128813385,0.033262339161491,0.0815912251839478,-42.14735037308995,5.880450274501693,47.401571281233686,32.008668615356285,8.284241155257808,1,0.0586642071735664,0.2267344172625444,0.2471689997840723,-1.9021732137872414,-143.45592752315892,12.666025083666595,-0.12153234011757363,-0.15165503524252752,-0.08243702887515311,-0.0977086539159611,0.4770907043031957,0.0,4.012275763319689,27.05913644807971,0.023819208647728907,-16.76102649937669,487816.3911703955,2488.923365088989,-0.12264128164967181,3.249205153047319,-0.35263512815518766,0.006909049506165843,6.591736992544716,0.0,674.6328418382393,-1870.3128297138526,plateau
R0906,906,FRAGILE,45.0,4.0,24.089585193084385,bowl,servo_slew_deg_s,+,16.935796014622778,0.5986260343009953,1.3536089774517963,0.0378809405295733,0.0969499983659931,-36.840268438746605,12.3984062810468,46.07775810713204,20.413897236436288,14.457199141496936,5,0.0016283567692509,0.1299052732534112,0.3036176462914717,-6.6065484189929835,-154.877876509879,25.47877657873562,-0.08123593825781161,-0.14302061557650272,-0.027797483718202187,-0.16935796014622778,0.35897939577741905,0.0,20.959154867807143,29.220323883624783,0.03426143372515256,197.63883549715678,257562.7875764574,5421.7118816131615,0.07306462938794489,1.097368107560079,0.15683972452359626,-10.963907084160398,1.1526110147947455,0.0,1539.4191886413644,766.5115460265057,bowl
R0907,907,FRAGILE,20.0,4.0,76.70475286402137,bowl,Cm_alpha,+,49.81000170758827,2.381730510381711,1.3001819167894708,0.0266434641025756,0.2226673955897326,-64.61877547219423,8.8757552558858,47.239666567301576,93.72205156068088,14.89628641342301,6,0.0401428746603709,0.1615068048136949,0.2203795453986995,-28.17911226180757,953.1276967342377,146.62664438600586,-1.2452500426897068,-1.5518529344191423,-0.08874249340990659,0.0814666386875805,1.4801607940225538,-78.11974784507036,-23.769620972268136,14.835980597324745,1.5689694904710816,727.3594945024262,1453132.4133043287,-19086.063260158888,0.06704299090218857,-7.609815609357867,0.13716727810203225,0.15602081208197127,-277.4561536334124,-35625.194055601714,-9559.766606595691,3127.588652654304,bowl
R0908,908,INFEASIBLE,10.0,4.0,345.8423576793141,bowl,Cm_alpha,+,147.9727940899213,2.55520988392586,0.9191050062539584,0.0391942555544264,0.2137464990321285,-61.99499740733888,8.357169590209129,34.81124150881676,107.8923638036218,10.75775546484973,2,0.0969420192063238,0.137982594950532,0.3736792936167695,-55.46029762577173,1669.0549377111972,1280.333391601185,-3.699319852248033,-6.483177949269994,-2.8532865511116228,-0.16606475116765082,14.876221636360352,0.0,-113.83027576834071,172.8839380153538,4.667637681653751,79023.82316656825,-25012104.298726793,223374.1047638392,4.4891219975378345,110.95150212818686,6.99374856719699,-0.17650100215804457,21.926700392779694,0.0,-32161.83805920508,19441.582281705418,bowl
