rocket_id,label,keff,lat,Pi,Kp_probe,ceiling_theory,best_kd,search_sr,sr_sat,fsat,sr_nosat,sat_penalty,frac_explained,regime
R0220,EASY,5.733,5,143.3,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0662,EASY,5.948,5,148.7,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R1255,EASY,37.539,2,150.2,95.0,190.0,0.57,1.0,1.0,0.2681,1.0,0.0,0.0,transitional
R2107,FRAGILE,10.145,4,162.3,47.5,95.0,0.57,1.0,1.0,0.0728,1.0,0.0,0.0,linear
R1229,FRAGILE,6.709,5,167.7,38.0,76.0,0.57,1.0,1.0,0.0049,1.0,0.0,0.0,linear
R0716,EASY,4.661,6,167.8,31.67,63.3,0.57,1.0,1.0,0.0246,1.0,0.0,0.0,linear
R0234,EASY,6.81,5,170.3,38.0,76.0,0.57,1.0,0.85,0.0,0.85,0.0,0.0,linear
R1619,EASY,6.88,5,172.0,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R1511,EASY,7.434,5,185.9,38.0,76.0,0.57,1.0,1.0,0.0294,1.0,0.0,0.0,linear
R1016,EASY,7.45,5,186.2,38.0,76.0,0.57,1.0,1.0,0.0074,1.0,0.0,0.0,linear
R0699,EASY,20.708,3,186.4,63.33,126.7,0.57,1.0,1.0,0.2617,1.0,0.0,0.0,transitional
R1257,EASY,11.819,4,189.1,47.5,95.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R1154,EASY,21.246,3,191.2,63.33,126.7,0.57,1.0,1.0,0.4333,1.0,0.0,0.0,saturation
R1351,EASY,8.067,5,201.7,38.0,76.0,0.57,1.0,1.0,0.0526,1.0,0.0,0.0,linear
R1265,EASY,12.633,4,202.1,47.5,95.0,0.57,1.0,1.0,0.2274,1.0,0.0,0.0,transitional
R2113,EASY,22.963,3,206.7,63.33,126.7,0.57,1.0,1.0,0.3832,1.0,0.0,0.0,saturation
R0389,EASY,8.277,5,206.9,38.0,76.0,0.57,1.0,1.0,0.0371,1.0,0.0,0.0,linear
R2176,FRAGILE,8.383,5,209.6,38.0,76.0,0.57,1.0,1.0,0.0677,1.0,0.0,0.0,linear
R0870,EASY,8.559,5,214.0,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R1103,EASY,6.041,6,217.5,31.67,63.3,0.57,1.0,1.0,0.0041,1.0,0.0,0.0,linear
R2130,EASY,24.781,3,223.0,63.33,126.7,0.57,1.0,1.0,0.085,1.0,0.0,0.0,linear
R0899,EASY,14.027,4,224.4,47.5,95.0,0.57,1.0,1.0,0.1993,1.0,0.0,0.0,transitional
R0423,EASY,6.37,6,229.3,31.67,63.3,0.57,1.0,1.0,0.0052,1.0,0.0,0.0,linear
R1748,EASY,9.362,5,234.1,38.0,76.0,0.57,1.0,1.0,0.0943,1.0,0.0,0.0,linear
R1681,EASY,9.848,5,246.2,38.0,76.0,0.57,1.0,1.0,0.0602,1.0,0.0,0.0,linear
R0239,EASY,10.337,5,258.4,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R0248,EASY,16.779,4,268.5,47.5,95.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R2058,EASY,17.187,4,275.0,47.5,95.0,0.57,1.0,0.95,0.5067,1.0,0.05,1.0,saturation
R1648,EASY,17.815,4,285.0,47.5,95.0,0.57,1.0,1.0,0.4317,1.0,0.0,0.0,saturation
R1551,EASY,7.924,6,285.3,31.67,63.3,0.57,1.0,1.0,0.0074,1.0,0.0,0.0,linear
R1643,EASY,7.964,6,286.7,31.67,63.3,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R1656,EASY,11.61,5,290.3,38.0,76.0,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R1769,EASY,18.424,4,294.8,47.5,95.0,0.57,1.0,1.0,0.1567,1.0,0.0,0.0,transitional
R1290,EASY,33.601,3,302.4,63.33,126.7,0.57,1.0,1.0,0.5103,1.0,0.0,0.0,saturation
R1746,EASY,34.142,3,307.3,63.33,126.7,0.57,1.0,1.0,0.0,1.0,0.0,0.0,linear
R2135,EASY,8.598,6,309.5,31.67,63.3,0.57,1.0,1.0,0.1572,1.0,0.0,0.0,transitional
