rocket_id,regime_label,theta0_deg,sr,rms_deg,peak_deg,diverge_rate,best_Kp,best_Kd,Iyy,authority_inertia_ratio,static_margin,motor_scale,max_gimbal_deg,wind_strength,servo_slew_deg_s,p_unstable
R0091,FRAGILE,0.0,1.0,3.228294930251196,7.741190526463764,0.0,40.0,1.0,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759,1.3902629543608267
R0091,FRAGILE,1.0,1.0,4.15239677190691,9.519692137442549,0.0,40.0,1.0,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759,1.3902629543608267
R0091,FRAGILE,2.0,1.0,3.3259875490124693,7.784106178763389,0.0,40.0,1.0,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759,1.3902629543608267
R0091,FRAGILE,3.0,1.0,3.8950492454913084,8.338917034918543,0.0,40.0,1.0,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759,1.3902629543608267
R0091,FRAGILE,5.0,0.8,6.709113914041164,15.558548470356655,0.0,40.0,1.0,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759,1.3902629543608267
R0091,FRAGILE,7.0,0.6,10.235301059079692,22.415516147930695,0.0,40.0,1.0,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759,1.3902629543608267
R0091,FRAGILE,10.0,0.2,15.183707827360559,32.412301724105006,0.0,40.0,1.0,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759,1.3902629543608267
R0091,FRAGILE,13.0,0.0,20.951498588087254,45.171007708267624,0.6,40.0,1.0,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759,1.3902629543608267
R0091,FRAGILE,17.0,0.0,26.027519118164264,55.82307559861708,1.0,40.0,1.0,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759,1.3902629543608267
R0091,FRAGILE,21.0,0.0,29.168927664923935,61.490391981638695,1.0,40.0,1.0,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759,1.3902629543608267
R0091,FRAGILE,25.0,0.0,35.651291668259745,75.17007280590775,1.0,40.0,1.0,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759,1.3902629543608267
R0091,FRAGILE,30.0,0.0,44.82398391191773,93.84865825833596,1.0,40.0,1.0,0.0151299098571188,1861.1968593698386,0.2758937551535834,2.067585000955022,13.61962903368482,0.1134960049407453,174.053639550759,1.3902629543608267
R0146,FRAGILE,0.0,1.0,2.440105701951958,5.163616039644595,0.0,5.0,1.0,0.018251632977164,1563.4313267755094,-0.2366572370042907,2.118914109373487,13.46688600310672,0.4078919337191328,112.27430519580052,0.0
R0146,FRAGILE,1.0,1.0,3.206229672272479,6.274194718103876,0.0,5.0,1.0,0.018251632977164,1563.4313267755094,-0.2366572370042907,2.118914109373487,13.46688600310672,0.4078919337191328,112.27430519580052,0.0
R0146,FRAGILE,2.0,0.8,6.018923593550025,11.053908527870286,0.0,5.0,1.0,0.018251632977164,1563.4313267755094,-0.2366572370042907,2.118914109373487,13.46688600310672,0.4078919337191328,112.27430519580052,0.0
R0146,FRAGILE,3.0,0.4,6.817680147079568,12.831010532737135,0.0,5.0,1.0,0.018251632977164,1563.4313267755094,-0.2366572370042907,2.118914109373487,13.46688600310672,0.4078919337191328,112.27430519580052,0.0
R0146,FRAGILE,5.0,0.8,7.7087901021177725,13.666762738356278,0.0,5.0,1.0,0.018251632977164,1563.4313267755094,-0.2366572370042907,2.118914109373487,13.46688600310672,0.4078919337191328,112.27430519580052,0.0
R0146,FRAGILE,7.0,0.4,8.261050373637797,14.121429822304071,0.0,5.0,1.0,0.018251632977164,1563.4313267755094,-0.2366572370042907,2.118914109373487,13.46688600310672,0.4078919337191328,112.27430519580052,0.0
R0146,FRAGILE,10.0,0.6,10.349580507531511,18.422717048011684,0.0,5.0,1.0,0.018251632977164,1563.4313267755094,-0.2366572370042907,2.118914109373487,13.46688600310672,0.4078919337191328,112.27430519580052,0.0
R0146,FRAGILE,13.0,0.0,13.232956891777679,22.58988601365042,0.0,5.0,1.0,0.018251632977164,1563.4313267755094,-0.2366572370042907,2.118914109373487,13.46688600310672,0.4078919337191328,112.27430519580052,0.0
R0146,FRAGILE,17.0,0.2,14.267243860053322,24.381637587730697,0.0,5.0,1.0,0.018251632977164,1563.4313267755094,-0.2366572370042907,2.118914109373487,13.46688600310672,0.4078919337191328,112.27430519580052,0.0
R0146,FRAGILE,21.0,0.0,18.123554292198193,29.041038518036213,0.0,5.0,1.0,0.018251632977164,1563.4313267755094,-0.2366572370042907,2.118914109373487,13.46688600310672,0.4078919337191328,112.27430519580052,0.0
R0146,FRAGILE,25.0,0.2,20.009609943295523,32.847855100810634,0.0,5.0,1.0,0.018251632977164,1563.4313267755094,-0.2366572370042907,2.118914109373487,13.46688600310672,0.4078919337191328,112.27430519580052,0.0
R0146,FRAGILE,30.0,0.0,23.887262655988117,38.1520369442198,0.0,5.0,1.0,0.018251632977164,1563.4313267755094,-0.2366572370042907,2.118914109373487,13.46688600310672,0.4078919337191328,112.27430519580052,0.0
R0267,FRAGILE,0.0,1.0,2.533393859023474,6.559290571603799,0.0,80.0,1.0,0.0131592525219296,2866.227518459043,-0.1688103724015912,2.9127942504867965,12.948876047253496,0.286858390466259,160.5112731558308,0.0
R0267,FRAGILE,1.0,1.0,3.9306328706741853,9.997896697980515,0.0,80.0,1.0,0.0131592525219296,2866.227518459043,-0.1688103724015912,2.9127942504867965,12.948876047253496,0.286858390466259,160.5112731558308,0.0
R0267,FRAGILE,2.0,1.0,3.2072414150549635,7.796737158978864,0.0,80.0,1.0,0.0131592525219296,2866.227518459043,-0.1688103724015912,2.9127942504867965,12.948876047253496,0.286858390466259,160.5112731558308,0.0
R0267,FRAGILE,3.0,1.0,4.8102439100984915,10.163521182844702,0.0,80.0,1.0,0.0131592525219296,2866.227518459043,-0.1688103724015912,2.9127942504867965,12.948876047253496,0.286858390466259,160.5112731558308,0.0
R0267,FRAGILE,5.0,0.0,11.607099394484164,28.75963345087113,0.0,80.0,1.0,0.0131592525219296,2866.227518459043,-0.1688103724015912,2.9127942504867965,12.948876047253496,0.286858390466259,160.5112731558308,0.0
R0267,FRAGILE,7.0,0.0,15.442103921137946,41.213457335934415,0.2,80.0,1.0,0.0131592525219296,2866.227518459043,-0.1688103724015912,2.9127942504867965,12.948876047253496,0.286858390466259,160.5112731558308,0.0
R0267,FRAGILE,10.0,0.0,21.58466579831257,57.623716698097766,0.8,80.0,1.0,0.0131592525219296,2866.227518459043,-0.1688103724015912,2.9127942504867965,12.948876047253496,0.286858390466259,160.5112731558308,0.0
R0267,FRAGILE,13.0,0.0,25.976094198904473,74.08056484459199,1.0,80.0,1.0,0.0131592525219296,2866.227518459043,-0.1688103724015912,2.9127942504867965,12.948876047253496,0.286858390466259,160.5112731558308,0.0
R0267,FRAGILE,17.0,0.0,29.95995781567144,90.23614900216353,1.0,80.0,1.0,0.0131592525219296,2866.227518459043,-0.1688103724015912,2.9127942504867965,12.948876047253496,0.286858390466259,160.5112731558308,0.0
R0267,FRAGILE,21.0,0.0,37.475876487852005,116.45929687474768,1.0,80.0,1.0,0.0131592525219296,2866.227518459043,-0.1688103724015912,2.9127942504867965,12.948876047253496,0.286858390466259,160.5112731558308,0.0
R0267,FRAGILE,25.0,0.0,44.27942172275888,140.08574090540193,1.0,80.0,1.0,0.0131592525219296,2866.227518459043,-0.1688103724015912,2.9127942504867965,12.948876047253496,0.286858390466259,160.5112731558308,0.0
R0267,FRAGILE,30.0,0.0,50.23019177279386,151.061124324163,1.0,80.0,1.0,0.0131592525219296,2866.227518459043,-0.1688103724015912,2.9127942504867965,12.948876047253496,0.286858390466259,160.5112731558308,0.0
R0373,FRAGILE,0.0,1.0,3.2140796277233763,8.417932337049386,0.0,80.0,1.0,0.0134520545842618,3210.9300236068757,-0.2826513979108986,2.927800238063773,14.75292111198465,0.1357052116612664,100.91257066873015,0.0
R0373,FRAGILE,1.0,0.8,4.558241227956217,11.303074196599642,0.0,80.0,1.0,0.0134520545842618,3210.9300236068757,-0.2826513979108986,2.927800238063773,14.75292111198465,0.1357052116612664,100.91257066873015,0.0
R0373,FRAGILE,2.0,1.0,4.9049180789268645,11.454330922850351,0.0,80.0,1.0,0.0134520545842618,3210.9300236068757,-0.2826513979108986,2.927800238063773,14.75292111198465,0.1357052116612664,100.91257066873015,0.0
R0373,FRAGILE,3.0,0.8,6.378650370570819,14.142593934113233,0.0,80.0,1.0,0.0134520545842618,3210.9300236068757,-0.2826513979108986,2.927800238063773,14.75292111198465,0.1357052116612664,100.91257066873015,0.0
R0373,FRAGILE,5.0,0.2,11.838502895013661,28.588310522945527,0.0,80.0,1.0,0.0134520545842618,3210.9300236068757,-0.2826513979108986,2.927800238063773,14.75292111198465,0.1357052116612664,100.91257066873015,0.0
R0373,FRAGILE,7.0,0.0,13.19343157194605,31.11453740715242,0.0,80.0,1.0,0.0134520545842618,3210.9300236068757,-0.2826513979108986,2.927800238063773,14.75292111198465,0.1357052116612664,100.91257066873015,0.0
R0373,FRAGILE,10.0,0.0,19.824194861824356,54.190155506841776,0.6,80.0,1.0,0.0134520545842618,3210.9300236068757,-0.2826513979108986,2.927800238063773,14.75292111198465,0.1357052116612664,100.91257066873015,0.0
R0373,FRAGILE,13.0,0.0,25.659351505023018,71.60519903799407,1.0,80.0,1.0,0.0134520545842618,3210.9300236068757,-0.2826513979108986,2.927800238063773,14.75292111198465,0.1357052116612664,100.91257066873015,0.0
R0373,FRAGILE,17.0,0.0,30.785788881877533,94.2255768238603,1.0,80.0,1.0,0.0134520545842618,3210.9300236068757,-0.2826513979108986,2.927800238063773,14.75292111198465,0.1357052116612664,100.91257066873015,0.0
R0373,FRAGILE,21.0,0.0,34.777830586002494,105.54299781810758,1.0,80.0,1.0,0.0134520545842618,3210.9300236068757,-0.2826513979108986,2.927800238063773,14.75292111198465,0.1357052116612664,100.91257066873015,0.0
R0373,FRAGILE,25.0,0.0,40.17784897277156,127.30468494918782,1.0,80.0,1.0,0.0134520545842618,3210.9300236068757,-0.2826513979108986,2.927800238063773,14.75292111198465,0.1357052116612664,100.91257066873015,0.0
R0373,FRAGILE,30.0,0.0,45.89714644620751,145.4587038087526,1.0,80.0,1.0,0.0134520545842618,3210.9300236068757,-0.2826513979108986,2.927800238063773,14.75292111198465,0.1357052116612664,100.91257066873015,0.0
R0430,FRAGILE,0.0,1.0,2.1655978581572115,4.598994024163797,0.0,80.0,2.0,0.0141494908341899,1199.4659419169727,0.2555143023089681,2.995234006645505,5.666279266802485,0.1752550924788223,195.5791272365424,1.1675237901138515
R0430,FRAGILE,1.0,1.0,3.2196784306409976,6.420287985779202,0.0,80.0,2.0,0.0141494908341899,1199.4659419169727,0.2555143023089681,2.995234006645505,5.666279266802485,0.1752550924788223,195.5791272365424,1.1675237901138515
R0430,FRAGILE,2.0,1.0,4.479419544776648,10.037658613506188,0.0,80.0,2.0,0.0141494908341899,1199.4659419169727,0.2555143023089681,2.995234006645505,5.666279266802485,0.1752550924788223,195.5791272365424,1.1675237901138515
R0430,FRAGILE,3.0,1.0,4.56457304830359,9.494717726903541,0.0,80.0,2.0,0.0141494908341899,1199.4659419169727,0.2555143023089681,2.995234006645505,5.666279266802485,0.1752550924788223,195.5791272365424,1.1675237901138515
R0430,FRAGILE,5.0,0.8,6.901274510661137,12.800145125375167,0.0,80.0,2.0,0.0141494908341899,1199.4659419169727,0.2555143023089681,2.995234006645505,5.666279266802485,0.1752550924788223,195.5791272365424,1.1675237901138515
R0430,FRAGILE,7.0,0.6,8.636797993410045,15.897366239189044,0.0,80.0,2.0,0.0141494908341899,1199.4659419169727,0.2555143023089681,2.995234006645505,5.666279266802485,0.1752550924788223,195.5791272365424,1.1675237901138515
R0430,FRAGILE,10.0,0.4,11.518830812121347,21.911083338260653,0.0,80.0,2.0,0.0141494908341899,1199.4659419169727,0.2555143023089681,2.995234006645505,5.666279266802485,0.1752550924788223,195.5791272365424,1.1675237901138515
R0430,FRAGILE,13.0,0.0,15.505111050275953,27.931142731538166,0.0,80.0,2.0,0.0141494908341899,1199.4659419169727,0.2555143023089681,2.995234006645505,5.666279266802485,0.1752550924788223,195.5791272365424,1.1675237901138515
R0430,FRAGILE,17.0,0.0,18.104469965063778,32.85883601779316,0.0,80.0,2.0,0.0141494908341899,1199.4659419169727,0.2555143023089681,2.995234006645505,5.666279266802485,0.1752550924788223,195.5791272365424,1.1675237901138515
R0430,FRAGILE,21.0,0.0,21.988361994575648,40.3133538548056,0.0,80.0,2.0,0.0141494908341899,1199.4659419169727,0.2555143023089681,2.995234006645505,5.666279266802485,0.1752550924788223,195.5791272365424,1.1675237901138515
R0430,FRAGILE,25.0,0.0,25.102298666858072,43.29141181895599,0.4,80.0,2.0,0.0141494908341899,1199.4659419169727,0.2555143023089681,2.995234006645505,5.666279266802485,0.1752550924788223,195.5791272365424,1.1675237901138515
R0430,FRAGILE,30.0,0.0,30.05535863596982,52.266957220357405,0.8,80.0,2.0,0.0141494908341899,1199.4659419169727,0.2555143023089681,2.995234006645505,5.666279266802485,0.1752550924788223,195.5791272365424,1.1675237901138515
R0491,FRAGILE,0.0,1.0,6.942196420902026,14.777882566683056,0.0,40.0,2.0,0.0109640295650399,2768.930499534833,0.0336346297320731,2.4945856203607573,12.169811135225842,0.3883064130113716,107.05850620881752,0.3595546807532666
R0491,FRAGILE,1.0,0.6,8.179498853187411,17.58498625506261,0.0,40.0,2.0,0.0109640295650399,2768.930499534833,0.0336346297320731,2.4945856203607573,12.169811135225842,0.3883064130113716,107.05850620881752,0.3595546807532666
