p_unstable,tau_act_s,nat_freq_hz,act_bw_hz,worst_freq_hz,worst_freq_over_nat,worst_freq_over_act_bw,best_rate,worst_rate,drop_across_freq,best_Kp,best_Kd
2,0.03,0.318309886183791,5.30516476972984,6,18.8495559215388,1.13097335529233,1,1,0,10,1
2,0.05,0.318309886183791,3.18309886183791,6,18.8495559215388,1.88495559215388,1,1,0,30,10
2,0.08,0.318309886183791,1.98943678864869,6,18.8495559215388,3.0159289474462,1,1,0,30,10
2,0.12,0.318309886183791,1.32629119243246,6,18.8495559215388,4.5238934211693,1,1,0,30,10
4,0.03,0.636619772367581,5.30516476972984,6,9.42477796076938,1.13097335529233,1,1,0,10,1
4,0.05,0.636619772367581,3.18309886183791,6,9.42477796076938,1.88495559215388,1,1,0,30,10
4,0.08,0.636619772367581,1.98943678864869,6,9.42477796076938,3.0159289474462,1,1,0,30,10
4,0.12,0.636619772367581,1.32629119243246,3,4.71238898038469,2.26194671058465,1,0.833333333333333,0.166666666666667,30,10
6,0.03,0.954929658551372,5.30516476972984,3,3.14159265358979,0.565486677646163,1,0.833333333333333,0.166666666666667,30,10
6,0.05,0.954929658551372,3.18309886183791,4.5,4.71238898038469,1.41371669411541,1,0.833333333333333,0.166666666666667,30,10
6,0.08,0.954929658551372,1.98943678864869,4.5,4.71238898038469,2.26194671058465,1,0.833333333333333,0.166666666666667,30,10
6,0.12,0.954929658551372,1.32629119243246,3,3.14159265358979,2.26194671058465,1,0.666666666666667,0.333333333333333,30,10
8,0.03,1.27323954473516,5.30516476972984,6,4.71238898038469,1.13097335529233,1,1,0,10,1
8,0.05,1.27323954473516,3.18309886183791,6,4.71238898038469,1.88495559215388,1,1,0,10,1
8,0.08,1.27323954473516,1.98943678864869,6,4.71238898038469,3.0159289474462,1,1,0,10,1
8,0.12,1.27323954473516,1.32629119243246,6,4.71238898038469,4.5238934211693,1,1,0,10,3
