rocket_id,regime,decision_L0,rms_L0,success_L0,u_sat_L0,slew_sat_L0,decision_L1,rms_L1,success_L1,u_sat_L1,slew_sat_L1,decision_L2,rms_L2,success_L2,u_sat_L2,slew_sat_L2,decision_L3,rms_L3,success_L3,u_sat_L3,slew_sat_L3,decision_L4,rms_L4,success_L4,u_sat_L4,slew_sat_L4,decision_L5,rms_L5,success_L5,u_sat_L5,slew_sat_L5
R0022,EASY,GO,0.331908342370239,1,0,0.0383333333333333,GO,0.331908342370239,1,0,0.0383333333333333,GO,0.441788381229189,1,0,0.0791666666666667,GO,5.22194025358396,1,0.495008319467554,0.928333333333333,GO,5.19811848365332,0.833333333333333,0.525790349417637,0.997222222222222,GO,4.34089446642946,1,0.480310593455352,0.996111111111111
R0001,FRAGILE,GO,0.444518418921631,1,0,0.0991666666666667,GO,0.444518418921631,1,0,0.0991666666666667,GO,0.58831398140609,1,0,0.454166666666667,NOGO,13.4948960942446,0,0.53910149750416,0.915833333333333,MARGINAL,10.6058685264752,0.5,0.607875762617859,0.998055555555556,GO,11.4384404012289,0.833333333333333,0.585690515806988,0.998333333333333
R0005,INFEASIBLE,GO,0.424463874096887,1,0,0.188333333333333,GO,0.424463874096887,1,0,0.188333333333333,GO,0.57968206669717,1,0,0.26,MARGINAL,21.8891014283752,0.5,0.200499168053245,0.865,MARGINAL,9.69204523277326,0.666666666666667,0.612035496394897,0.998055555555556,NOGO,15.0550505555127,0.333333333333333,0.285080421519689,0.993888888888889
R0145,INFEASIBLE,MARGINAL,45.0007758856658,0.5,0.438435940099834,0.5,MARGINAL,45.0007758856658,0.5,0.492512479201331,0.5,MARGINAL,45.0007758856658,0.5,0.493344425956739,0.5,NOGO,49.7058278500176,0,0.485024958402662,0.654166666666667,NOGO,90,0,0.821686078757626,0.989722222222222,NOGO,90,0,0.82279534109817,0.992222222222222
