rocket_id,design_id,regime_label,kp_simple,kd_simple,kp_full,kd_full,sr_simple_in_full,sr_full_in_full,sr_gap,sr_simple_go,sr_full_go,decision_agrees,false_approval,false_rejection,rms_simple_in_full,rms_full_in_full,rms_gap,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength
R0001,1,EASY,24.65,4.0,81.89,1.0,1.0,1.0,0.0,1,1,1,0,0,4.044222743576435,0.8112983940429966,-3.232924349533438,0.0,1.3576780674399598,0.013064715479834114,-0.2641108535497068,-37.88210121005577,12.932920307048692,1.7603501903582248,138.8767215149671,3.0203284845047556,3,0.026977842126991884,0.13177388562245884,0.35518447981311296
R0002,2,EASY,46.78,16.0,215.01,1.0,0.3333333333333333,1.0,0.6666666666666667,0,1,0,0,1,8.739679943858844,0.5739792052105944,-8.16570073864825,0.0,1.7551108082514633,0.028347567016151855,-0.08036668025093177,-18.438868867680853,7.226921414404747,2.4044968240070395,112.22322220757205,8.424342655615982,3,0.02297684626837282,0.23495108793632544,0.07313508810681929
R0003,3,EASY,88.81,16.0,88.81,1.0,1.0,1.0,0.0,1,1,1,0,0,7.545437238869546,0.5404863000929968,-7.004950938776549,0.0,1.8834350392473325,0.03278155368842218,-0.1410567273372627,-63.83343168733383,9.228360680304228,2.1293409602124393,158.19248453571652,9.083308014025846,5,0.01501220222765645,0.16985547100218434,0.2396186119826783
R0004,4,EASY,3.6,4.0,252.87,1.0,0.6666666666666666,1.0,0.33333333333333337,1,1,1,0,0,7.846588017420484,0.7916498113784609,-7.054938206042023,0.0,1.0016657985191049,0.010794111297423211,-0.042391309026620305,-32.86765621429425,8.215119806299999,2.022340021457648,117.71737958228985,10.77877027030216,2,0.09253520516317297,0.09987348076324797,0.08443191189271257
R0005,5,EASY,31.19,4.0,69.63,1.0,1.0,1.0,0.0,1,1,1,0,0,5.002235843141153,1.1635899406115309,-3.8386459025296222,1.5815109539402252,1.0175732984633659,0.012547075756426683,0.20448542431457778,-36.227543246625686,7.961399023408376,1.9722271702971597,118.0675064577801,3.20367055136734,5,0.12909960082115998,0.1950193728765973,0.3908055045133487
R0006,6,EASY,31.43,16.0,31.43,1.0,1.0,1.0,0.0,1,1,1,0,0,5.174312067075291,1.1381139908199784,-4.036198076255312,0.5964284416217986,1.5053190936947234,0.034261404376008546,0.14847049852446986,-22.12380930201718,5.116592822409847,2.726354471735614,178.3428242522482,2.1897502946226997,3,0.11195519436317757,0.07047402484352669,0.16595462640635916
R0007,7,EASY,46.78,16.0,59.67,1.0,1.0,1.0,0.0,1,1,1,0,0,8.133466517634906,0.7349062619484222,-7.398560255686483,0.0,1.3432079510155437,0.038554376917480565,-0.11077111108028495,-57.887993981317834,9.942343946848018,1.860943759563287,65.63909142928058,5.671717160643642,2,0.0730257722142389,0.08904472989911075,0.2676791466469372
R0008,8,EASY,295.07,4.0,88.81,1.0,1.0,1.0,0.0,1,1,1,0,0,2.2439413182191825,0.7187191263520752,-1.5252221918671074,1.3451634756171666,1.1917094694301498,0.026795664127443317,0.08435227112712967,-77.03196262096968,6.275155402950345,2.0974142672531846,115.72100711174373,5.47163521250042,5,0.10603183081285285,0.11552730974427343,0.07240471199127066
R0009,9,EASY,1.0,1.0,320.0,1.0,1.0,1.0,0.0,1,1,1,0,0,2.705802804500067,0.6235605613847983,-2.0822422431152683,1.7883120402398547,2.015263255299472,0.011571662804211352,0.13591710775066435,-51.828771012577235,10.585854082023857,1.394769154083458,123.243466304422,10.640145795819201,1,0.05534037274102881,0.2058220233602984,0.19588795998449338
R0010,10,EASY,155.45,16.0,132.17,1.0,1.0,1.0,0.0,1,1,1,0,0,3.0855402837902286,0.5869473486680618,-2.4985929351221667,0.0007316244944299691,1.8098593831080807,0.02710425721706635,6.82513464282386e-05,-51.024020234122425,8.970845971452666,2.0365458209946485,100.58657085053113,8.51063068198738,4,0.0808518173572586,0.04501773023509037,0.21069862475465595
