rocket_id,td,latency_steps,best_Kp,best_Kd,ablation,sr,rms,final_label
R0819,0.7943056829694835,2,215.01,1.0,full,1.0,1.6030393300210615,EASY
R0819,0.7943056829694835,2,215.01,1.0,no_wind,1.0,0.6755069600407132,EASY
R0819,0.7943056829694835,2,215.01,1.0,no_slew,1.0,1.6030393300210615,EASY
R0819,0.7943056829694835,2,215.01,1.0,no_noise,1.0,1.3211884026992085,EASY
R0819,0.7943056829694835,2,215.01,1.0,no_backlash,1.0,1.5186066042725122,EASY
R0819,0.7943056829694835,2,215.01,1.0,no_deadband,1.0,1.6124800766985659,EASY
R0819,0.7943056829694835,2,215.01,1.0,min_latency,1.0,1.518017957215171,EASY
R2098,7.68167145092307,5,96.31,1.0,full,1.0,0.7377367142535977,EASY
R2098,7.68167145092307,5,96.31,1.0,no_wind,1.0,0.9110301117705933,EASY
R2098,7.68167145092307,5,96.31,1.0,no_slew,1.0,0.7373100750555264,EASY
R2098,7.68167145092307,5,96.31,1.0,no_noise,1.0,0.5041311074972571,EASY
R2098,7.68167145092307,5,96.31,1.0,no_backlash,1.0,0.7155214829775218,EASY
R2098,7.68167145092307,5,96.31,1.0,no_deadband,1.0,0.7267838805421464,EASY
R2098,7.68167145092307,5,96.31,1.0,min_latency,1.0,0.601479064238019,EASY
R1521,13.919874524821829,3,59.21,1.0,full,1.0,1.1030843572989673,EASY
R1521,13.919874524821829,3,59.21,1.0,no_wind,1.0,1.3166805006075102,EASY
R1521,13.919874524821829,3,59.21,1.0,no_slew,1.0,1.1030843572989673,EASY
R1521,13.919874524821829,3,59.21,1.0,no_noise,1.0,0.21724333213184086,EASY
R1521,13.919874524821829,3,59.21,1.0,no_backlash,1.0,1.0750255270467675,EASY
R1521,13.919874524821829,3,59.21,1.0,no_deadband,1.0,1.1130045269470892,EASY
R1521,13.919874524821829,3,59.21,1.0,min_latency,1.0,1.0963679499010044,EASY
R0509,22.30471688096654,5,69.63,1.0,full,1.0,0.3995834466954254,EASY
R0509,22.30471688096654,5,69.63,1.0,no_wind,1.0,0.6143330488712725,EASY
R0509,22.30471688096654,5,69.63,1.0,no_slew,1.0,0.39674765573725,EASY
R0509,22.30471688096654,5,69.63,1.0,no_noise,1.0,0.6746629047793704,EASY
R0509,22.30471688096654,5,69.63,1.0,no_backlash,1.0,0.39409514243896254,EASY
R0509,22.30471688096654,5,69.63,1.0,no_deadband,1.0,0.40617036056464767,EASY
R0509,22.30471688096654,5,69.63,1.0,min_latency,1.0,0.43089528372419394,EASY
R0568,39.95711315987223,5,43.14,1.0,full,1.0,2.9422995133595693,EASY
R0568,39.95711315987223,5,43.14,1.0,no_wind,1.0,2.35490866590819,EASY
R0568,39.95711315987223,5,43.14,1.0,no_slew,1.0,2.479657135356752,EASY
R0568,39.95711315987223,5,43.14,1.0,no_noise,1.0,1.3037751618143674,EASY
R0568,39.95711315987223,5,43.14,1.0,no_backlash,1.0,2.3570976786891764,EASY
R0568,39.95711315987223,5,43.14,1.0,no_deadband,1.0,2.6302955104383927,EASY
R0568,39.95711315987223,5,43.14,1.0,min_latency,1.0,1.40142225020977,EASY
R0912,40.01734294547792,1,250.9,1.0,full,1.0,0.448257259772275,EASY
R0912,40.01734294547792,1,250.9,1.0,no_wind,1.0,0.6015778364139435,EASY
R0912,40.01734294547792,1,250.9,1.0,no_slew,1.0,0.448569235752401,EASY
R0912,40.01734294547792,1,250.9,1.0,no_noise,1.0,0.5243069820293862,EASY
R0912,40.01734294547792,1,250.9,1.0,no_backlash,1.0,0.4304794050829976,EASY
R0912,40.01734294547792,1,250.9,1.0,no_deadband,1.0,0.46152020126965726,EASY
R0912,40.01734294547792,1,250.9,1.0,min_latency,1.0,0.448257259772275,EASY
R0438,43.89594040149292,6,36.97,1.0,full,1.0,1.1625741450607048,EASY
R0438,43.89594040149292,6,36.97,1.0,no_wind,1.0,0.9210281453249364,EASY
R0438,43.89594040149292,6,36.97,1.0,no_slew,1.0,0.9552996860229467,EASY
R0438,43.89594040149292,6,36.97,1.0,no_noise,1.0,0.3342566480304975,EASY
R0438,43.89594040149292,6,36.97,1.0,no_backlash,1.0,1.128605186931363,EASY
R0438,43.89594040149292,6,36.97,1.0,no_deadband,1.0,1.1634377983230806,EASY
R0438,43.89594040149292,6,36.97,1.0,min_latency,1.0,0.9069441593538221,EASY
R0962,49.96020915112769,2,24.65,1.0,full,1.0,0.9024274546719999,EASY
R0962,49.96020915112769,2,24.65,1.0,no_wind,1.0,1.0059028099189926,EASY
R0962,49.96020915112769,2,24.65,1.0,no_slew,1.0,0.5107873374909425,EASY
R0962,49.96020915112769,2,24.65,1.0,no_noise,1.0,0.4963545994010968,EASY
R0962,49.96020915112769,2,24.65,1.0,no_backlash,1.0,0.954057952924907,EASY
R0962,49.96020915112769,2,24.65,1.0,no_deadband,1.0,0.9183150122636698,EASY
R0962,49.96020915112769,2,24.65,1.0,min_latency,1.0,1.029174739405763,EASY
R0061,59.20580777636883,3,46.78,1.0,full,1.0,0.5772209096378162,EASY
R0061,59.20580777636883,3,46.78,1.0,no_wind,1.0,0.6675963469936732,EASY
R0061,59.20580777636883,3,46.78,1.0,no_slew,1.0,0.42437861058974047,EASY
R0061,59.20580777636883,3,46.78,1.0,no_noise,1.0,0.14056655015919864,EASY
R0061,59.20580777636883,3,46.78,1.0,no_backlash,1.0,0.589720718200223,EASY
R0061,59.20580777636883,3,46.78,1.0,no_deadband,1.0,0.584479078242574,EASY
R0061,59.20580777636883,3,46.78,1.0,min_latency,1.0,0.6455102774190226,EASY
R2025,69.98157673059191,3,132.17,1.0,full,1.0,0.8317851421820336,EASY
R2025,69.98157673059191,3,132.17,1.0,no_wind,1.0,0.9717362692621749,EASY
R2025,69.98157673059191,3,132.17,1.0,no_slew,1.0,0.7753208630068451,EASY
R2025,69.98157673059191,3,132.17,1.0,no_noise,1.0,0.22255698348881917,EASY
R2025,69.98157673059191,3,132.17,1.0,no_backlash,1.0,0.919843446797817,EASY
R2025,69.98157673059191,3,132.17,1.0,no_deadband,1.0,0.8494540972679975,EASY
R2025,69.98157673059191,3,132.17,1.0,min_latency,1.0,0.49608362455578237,EASY
R1746,70.00473340224839,3,168.58,1.0,full,1.0,1.3577951575256804,EASY
R1746,70.00473340224839,3,168.58,1.0,no_wind,1.0,1.4949628726974344,EASY
R1746,70.00473340224839,3,168.58,1.0,no_slew,1.0,1.3577951575256804,EASY
R1746,70.00473340224839,3,168.58,1.0,no_noise,1.0,0.32327992923077914,EASY
R1746,70.00473340224839,3,168.58,1.0,no_backlash,1.0,1.4030651555155849,EASY
R1746,70.00473340224839,3,168.58,1.0,no_deadband,1.0,1.3708405150428633,EASY
R1746,70.00473340224839,3,168.58,1.0,min_latency,1.0,1.1137151888254242,EASY
R2005,75.381123576708,4,50.74,1.0,full,1.0,1.291159910399881,EASY
R2005,75.381123576708,4,50.74,1.0,no_wind,1.0,1.5127320057142473,EASY
R2005,75.381123576708,4,50.74,1.0,no_slew,1.0,0.9257141318148452,EASY
R2005,75.381123576708,4,50.74,1.0,no_noise,1.0,0.22288419280279975,EASY
R2005,75.381123576708,4,50.74,1.0,no_backlash,1.0,1.2271137511142396,EASY
R2005,75.381123576708,4,50.74,1.0,no_deadband,1.0,1.2649942214616294,EASY
R2005,75.381123576708,4,50.74,1.0,min_latency,1.0,1.2943671497028066,EASY
R2069,81.02526498825114,5,36.97,1.0,full,1.0,3.0125708603675134,EASY
R2069,81.02526498825114,5,36.97,1.0,no_wind,1.0,3.5734665477600545,EASY
R2069,81.02526498825114,5,36.97,1.0,no_slew,1.0,3.6423997242741835,EASY
