cell_id,regime,rank,factor,importance_pct,success_recovery,rms_recovery_deg,s2r_reduction,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,tuned_Kp,tuned_Kd
1,EASY,1,backlash,58.3384222924948,0.166666666666667,5.59835789178384,0.265438620817157,0,60,10,0.666666666666667,10,32
1,EASY,2,deadband,19.370207500665,0.166666666666667,1.01274935039332,0.0174688019966724,0,60,10,0.666666666666667,10,32
1,EASY,3,aero_mismatch,18.9729017065568,0.166666666666667,0.999743070115315,0.0112315122943245,0,60,10,0.666666666666667,10,32
2,EASY,1,backlash,83.3887143655293,0,3.14655344260136,0.156048715104456,1,90,15,1,10,32
2,EASY,2,aero_mismatch,16.6112856344707,0,0.630802438626498,0.0305051765575893,1,90,15,1,10,32
2,EASY,3,deadband,0,0,-0.53218189275491,-0.014700730264374,1,90,15,1,10,32
3,EASY,1,backlash,85.682494795692,0,4.47676508515715,0.0864981974486967,0,75,15,1,10,16
3,EASY,2,aero_mismatch,11.1937967470189,0,0.572621141646903,0.0124798946200777,0,75,15,1,10,16
3,EASY,3,sensor_noise,3.12370845728914,-0.166666666666667,-0.813862018536903,0.0188868090220005,0,75,15,1,10,16
4,EASY,1,backlash,87.0922062600382,0,3.14655344260136,0.293042614161583,1,90,8,0.533333333333333,10,32
4,EASY,2,aero_mismatch,12.9077937399618,0,0.630802438626498,0.01428221482714,1,90,8,0.533333333333333,10,32
4,EASY,3,deadband,0,0,-0.53218189275491,-0.00374676465150681,1,90,8,0.533333333333333,10,32
5,EASY,1,backlash,56.4366393302858,0.166666666666667,5.59835789178384,0.174340451100019,0,60,15,1,10,32
5,EASY,2,deadband,20.7201730071996,0.166666666666667,1.01274935039332,0.0285614254021077,0,60,15,1,10,32
5,EASY,3,aero_mismatch,20.0538968273573,0.166666666666667,0.999743070115315,0.0188576908855612,0,60,15,1,10,32
6,EASY,1,backlash,88.6349820061393,0,4.47676508515715,0.161234747642818,0,75,10,0.666666666666667,10,16
6,EASY,2,aero_mismatch,9.99226214782736,0,0.572621141646903,0.0106773433166945,0,75,10,0.666666666666667,10,16
6,EASY,3,sensor_noise,1.37275584603333,-0.166666666666667,-0.813862018536903,0.0101513680902201,0,75,10,0.666666666666667,10,16
7,EASY,1,backlash,84.9846392602411,0,3.14655344260136,0.211373174339065,1,90,12,0.8,10,32
7,EASY,2,aero_mismatch,15.0153607397589,0,0.630802438626498,0.0255134960251433,1,90,12,0.8,10,32
7,EASY,3,deadband,0,0,-0.53218189275491,-0.00125092438528374,1,90,12,0.8,10,32
8,EASY,1,backlash,91.2500019115619,0,3.03775271109465,0.29041250693289,0,90,8,0.533333333333333,10,32
8,EASY,2,aero_mismatch,8.74999808843814,0,0.391092705656371,0.00970558328711402,0,90,8,0.533333333333333,10,32
8,EASY,3,deadband,0,-0.166666666666667,-0.590276445535043,-0.00929353854686621,0,90,8,0.533333333333333,10,32
9,EASY,1,backlash,57.6514533532192,0.166666666666667,5.59835789178384,0.227030412275837,0,60,12,0.8,10,32
9,EASY,2,deadband,19.7889084506039,0.166666666666667,1.01274935039332,0.0201033000554632,0,60,12,0.8,10,32
9,EASY,3,aero_mismatch,19.3690127219937,0.166666666666667,0.999743070115315,0.0138660103531153,0,60,12,0.8,10,32
10,EASY,1,backlash,86.6966392970403,0,4.47676508515715,0.126154326123128,0,75,12,0.8,10,16
10,EASY,2,aero_mismatch,11.3055573975636,0,0.572621141646903,0.0176102329450916,0,75,12,0.8,10,16
10,EASY,3,sensor_noise,1.99780330539614,-0.166666666666667,-0.813862018536903,0.0136178129044187,0,75,12,0.8,10,16
11,EASY,1,backlash,86.1533012788435,0,3.14655344260136,0.254218432242559,1,90,10,0.666666666666667,10,32
11,EASY,2,aero_mismatch,13.8466987211565,0,0.630802438626498,0.0198285265298577,1,90,10,0.666666666666667,10,32
11,EASY,3,deadband,0,0,-0.53218189275491,-0.0030534756886671,1,90,10,0.666666666666667,10,32
12,EASY,1,backlash,89.7639889720747,0,3.03775271109465,0.201394204104271,0,90,12,0.8,10,32
12,EASY,2,aero_mismatch,10.2360110279253,0,0.391092705656371,0.0158065261601035,0,90,12,0.8,10,32
12,EASY,3,deadband,0,-0.166666666666667,-0.590276445535043,-0.0141465612867443,0,90,12,0.8,10,32
13,EASY,1,backlash,88.6897710289235,0,3.03775271109465,0.152170687742651,0,90,15,1,10,32
13,EASY,2,aero_mismatch,11.3102289710765,0,0.391092705656371,0.0188569975965982,0,90,15,1,10,32
13,EASY,3,deadband,0,-0.166666666666667,-0.590276445535043,-0.0226046866333888,0,90,15,1,10,32
