rocket_id,Kp,opt_Kd,sr,rms
R8769,0.5,1.0,0.8,4.039458841382507
R8769,0.7902929114428325,1.0,0.8,3.8785518221149196
R8769,1.2491257717535775,1.0,0.9333333333333333,3.6601671727306115
R8769,1.9743504858348198,1.0,1.0,3.3050786382623314
R8769,3.120630387317941,1.0,1.0,2.8428457807752974
R8769,4.932424148660939,1.0,1.0,2.394685579394517
R8769,7.796119681832377,1.0,1.0,1.954336396189156
R8769,12.322436242624153,1.0,1.0,1.6208663310207565
R8769,19.476668028504243,1.0,1.0,1.4419477777450604
R8769,30.78454536290431,1.0,1.0,1.2684528138502953
R8769,48.65761596458718,1.0,1.0,1.134661521740742
R8769,76.90753796904167,1.0,1.0,1.0867062185034668
R8769,121.55896418690836,1.0,1.0,1.155259298981663
R8769,192.13437543849358,1.0,1.0,1.565725742609483
R8769,303.6848699070746,1.0,0.8666666666666667,2.7165888934132383
R8769,480.0,1.0,0.7333333333333333,4.301379360770261
R1641,0.5,1.0,1.0,2.77037094688779
R1641,0.7902929114428325,1.0,1.0,2.4941428256579545
R1641,1.2491257717535775,1.0,1.0,2.1846634814417234
R1641,1.9743504858348198,1.0,1.0,1.8717883902523447
R1641,3.120630387317941,1.0,1.0,1.4761852038265666
R1641,4.932424148660939,1.0,1.0,1.1503645255406352
R1641,7.796119681832377,1.0,1.0,0.9750950329157066
R1641,12.322436242624153,1.0,1.0,0.8844009519648638
R1641,19.476668028504243,1.0,1.0,0.833485963891945
R1641,30.78454536290431,1.0,1.0,0.7988724249884431
R1641,48.65761596458718,1.0,1.0,0.6968720699842749
R1641,76.90753796904167,1.0,1.0,0.6690218928430279
R1641,121.55896418690836,1.0,1.0,0.6778411163386056
R1641,192.13437543849358,1.0,1.0,0.859382049767644
R1641,303.6848699070746,1.0,1.0,1.3625911687152714
R1641,480.0,1.0,0.6666666666666666,4.87846193617056
R5525,0.5,1.0,1.0,1.7957524327657168
R5525,0.7902929114428325,1.0,1.0,1.6950365515795933
R5525,1.2491257717535775,1.0,1.0,1.5029097751811746
R5525,1.9743504858348198,1.0,1.0,1.264970050366856
R5525,3.120630387317941,1.0,1.0,1.0837242785013717
R5525,4.932424148660939,1.0,1.0,0.9824061701261272
R5525,7.796119681832377,1.0,1.0,0.888818262908713
R5525,12.322436242624153,1.0,1.0,0.7963093016927191
R5525,19.476668028504243,1.0,1.0,0.7281821365810554
R5525,30.78454536290431,1.0,1.0,0.7040920245598498
R5525,48.65761596458718,1.0,1.0,0.6355687718620725
R5525,76.90753796904167,1.0,1.0,0.6221524456481776
R5525,121.55896418690836,1.0,1.0,0.6531712971976565
R5525,192.13437543849358,1.0,1.0,0.7560317377772969
R5525,303.6848699070746,1.0,1.0,1.4890943382442998
R5525,480.0,1.0,0.26666666666666666,6.758245566532773
R2200,0.5,1.0,1.0,2.4541666048303292
R2200,0.7902929114428325,1.0,1.0,2.272263666031165
R2200,1.2491257717535775,1.0,1.0,1.9861745106704187
R2200,1.9743504858348198,1.0,1.0,1.6044511391133267
R2200,3.120630387317941,1.0,1.0,1.3528995716860508
R2200,4.932424148660939,1.0,1.0,1.1750432499428458
R2200,7.796119681832377,1.0,1.0,1.030385000341174
R2200,12.322436242624153,1.0,1.0,0.9678667291848202
R2200,19.476668028504243,1.0,1.0,0.9108287531940092
R2200,30.78454536290431,1.0,1.0,0.8106466501734226
R2200,48.65761596458718,1.0,1.0,0.6973187335767896
R2200,76.90753796904167,1.0,1.0,0.6656871200877104
R2200,121.55896418690836,1.0,1.0,0.5918138962782543
R2200,192.13437543849358,1.0,1.0,0.8050361629277397
R2200,303.6848699070746,1.0,1.0,1.1562162456039955
R2200,480.0,1.0,0.4666666666666667,6.6958596399388215
R9812,0.5,1.0,0.6,5.198111161449188
R9812,0.7902929114428325,1.0,0.6,5.0657388275907556
R9812,1.2491257717535775,1.0,0.8,4.531036753621732
R9812,1.9743504858348198,1.0,0.9333333333333333,3.7502244140591925
R9812,3.120630387317941,1.0,1.0,3.128817710938706
R9812,4.932424148660939,1.0,1.0,2.3532175636223744
R9812,7.796119681832377,1.0,1.0,1.944078948519862
R9812,12.322436242624153,1.0,1.0,1.648766016991376
R9812,19.476668028504243,1.0,1.0,1.4426970613952685
R9812,30.78454536290431,1.0,1.0,1.251656328227429
