rocket_id,keff,latency,Pi,window_ratio,fsat_floor,residual,abs_residual,Pi_quintile
R0049,9.821145129103911,3,88.3903061619352,588.7552997104206,0.1831666666666666,1.785525811528502,1.785525811528502,1
R0093,30.700856807441465,2,122.80342722976586,103.39464770853388,0.4002499999999999,0.36526238849891257,0.36526238849891257,1
R0213,24.03264450228268,5,600.8161125570671,5.694253162601831,0.7483333333333333,-0.9926205598847002,0.9926205598847002,4
R0234,5.245894664664795,1,5.245894664664795,1877.4109386255504,0.09375,0.20354932526288128,0.20354932526288128,0
R0266,11.644412544545062,5,291.11031361362654,13.587988089338316,0.5799166666666669,-0.8262611071882175,0.8262611071882175,3
R0606,36.38709683579572,5,909.677420894893,7.609268350011387,0.7671666666666668,-0.30005606826389775,0.30005606826389775,4
R0890,18.04336350594461,4,288.6938160951138,24.26428032541704,0.63525,-0.2545334871098226,0.2545334871098226,3
R1143,11.860211022771509,5,296.50527556928773,57.90096482248509,0.4201666666666667,0.6411118002631166,0.6411118002631166,3
R1345,32.588304965558144,2,130.35321986223258,184.633420316,0.3778333333333333,1.0029974043367922,1.0029974043367922,1
R1569,36.38646136537409,4,582.1833818459854,43.3291003671384,0.0,1.0061655171098978,1.0061655171098978,4
R1687,36.304267137687866,3,326.7384042391908,24.264280325417047,0.6268333333333332,-0.13436520597578294,0.13436520597578294,3
R1809,16.946830246477106,4,271.1492839436337,13.587988089338308,0.6005,-0.8952138716838665,0.8952138716838665,3
R2068,6.530168311779696,6,235.08605922406903,57.90096482248505,0.4959999999999999,0.4157951956617705,0.4157951956617705,2
R2070,28.4834850801614,4,455.7357612825824,18.157718801053527,0.7066666666666667,-0.10126516575587008,0.10126516575587008,3
R2200,2.989525954000008,1,2.989525954000008,1404.925241564889,0.0185,-0.6322250289828952,0.6322250289828952,0
R2208,19.60808855057857,4,313.72941680925715,13.587988089338308,0.735,-0.7536236359605386,0.7536236359605386,3
R2362,4.916643540852401,1,4.916643540852401,440.5839790588584,0.2519999999999999,-1.308920207900794,1.308920207900794,0
R2449,12.13237466192751,4,194.11799459084017,77.37344415111075,0.4765833333333332,0.5198263904949387,0.5198263904949387,2
R2557,8.377831681307478,4,134.04530690091966,786.757620369124,0.318,2.4796574434789473,2.4796574434789473,2
R2611,8.552719887363091,2,34.210879549452365,588.7552997104206,0.316,0.864102261881726,0.864102261881726,0
R2792,13.10158267304766,2,52.40633069219064,440.5839790588587,0.1849999999999999,0.9881880691568696,0.9881880691568696,1
R2836,0.956295627363065,4,15.30073003780904,138.16695498126344,0.0221666666666666,-1.3665271948811775,1.3665271948811775,0
