param,param_val,param_normalised,rms_median,rms_q25,rms_q75,success_rate
static_margin,0.04,0.0,5.619510367831031,4.201534403358864,7.810641405926789,0.86
static_margin,0.04512820512820513,0.025641025641025657,5.596893674538044,4.221098617359394,7.895286251442609,0.85
static_margin,0.050256410256410255,0.05128205128205128,5.715938500378913,4.317168572448591,7.492252540394196,0.85
static_margin,0.055384615384615386,0.07692307692307693,5.482735972380402,4.360259295066062,7.38097771650578,0.86
static_margin,0.06051282051282052,0.10256410256410259,5.825920937110508,4.314226825221853,7.367693568559076,0.8
static_margin,0.06564102564102564,0.12820512820512822,5.794367101787204,4.633655187432449,8.041372949570398,0.83
static_margin,0.07076923076923078,0.1538461538461539,5.700854156117067,4.457293660499155,8.056892670128127,0.85
static_margin,0.07589743589743589,0.17948717948717946,5.74928678107999,4.399501575814658,7.921157984229252,0.8
static_margin,0.08102564102564103,0.20512820512820515,5.881070093678048,4.275533595470447,8.44649515070757,0.8
static_margin,0.08615384615384616,0.23076923076923084,6.243918471199949,4.428162889037118,8.278761145860042,0.81
static_margin,0.09128205128205127,0.2564102564102564,5.9689901371218355,4.465049846405088,8.607828946497802,0.81
static_margin,0.09641025641025641,0.2820512820512821,5.7627283693448295,4.185946177401098,8.434483376151995,0.83
static_margin,0.10153846153846155,0.30769230769230776,6.147699551861467,4.442125263540186,8.822564301794285,0.82
static_margin,0.10666666666666666,0.33333333333333326,6.480523871324407,4.550204485559338,8.883868475041098,0.78
static_margin,0.1117948717948718,0.358974358974359,6.768988564042607,4.78504200363391,9.041512020222326,0.79
static_margin,0.11692307692307694,0.3846153846153847,6.567032851842644,5.129478511444225,9.160222663826222,0.79
static_margin,0.12205128205128205,0.41025641025641024,6.920687192010822,4.889136711662221,9.152647424604636,0.77
static_margin,0.12717948717948718,0.4358974358974359,7.179775920157864,5.348083500369501,9.679894065095693,0.75
static_margin,0.13230769230769232,0.4615384615384616,6.995131363210463,5.041315936185347,9.704756449762424,0.75
static_margin,0.13743589743589743,0.48717948717948717,7.5617916511234045,5.38259387407078,9.768812720329475,0.75
static_margin,0.14256410256410257,0.5128205128205129,7.428817920788317,5.461310772697088,9.87207635493099,0.66
static_margin,0.1476923076923077,0.5384615384615385,7.620754187987958,5.782128747855131,10.884283254060387,0.63
static_margin,0.15282051282051282,0.5641025641025641,7.814408317972896,5.729530933616145,10.740080722420238,0.6
