rocket_id,best_Kp,best_Kd,A_deg,T_u_s,K_u,Kp_relay,Kp_cons,sr_probe,sr_relay,sr_cons,sr_best,rms_relay,rms_best
R0091,40.0,1.0,13.329048098919946,1.2880952380952382,59.63330527067453,35.77998316240472,11.926661054134907,1.0,0.2857142857142857,0.2857142857142857,0.8571428571428571,12.455488966878436,3.708558091294975
R0146,5.0,1.0,9.277443565995148,2.254166666666667,84.71525074558073,50.82915044734844,16.943050149116146,1.0,0.42857142857142855,0.0,1.0,14.089216933584215,4.865968718457781
R0267,80.0,1.0,26.748388832266404,2.705,28.252519535123614,16.95151172107417,5.650503907024723,0.3333333333333333,0.42857142857142855,0.0,0.8571428571428571,9.852393635630431,3.0722342861101453
R0373,80.0,1.0,23.202132044512467,2.705,37.108454240120814,22.26507254407249,7.421690848024163,0.3333333333333333,0.5714285714285714,0.0,0.8571428571428571,10.676871213637895,2.768360103176527
R0430,80.0,2.0,13.971202335717706,0.3,23.669382664297423,14.201629598578453,4.733876532859485,0.3333333333333333,1.0,1.0,1.0,5.167820981077333,4.181082245277694
R0491,40.0,2.0,24.720881847434853,1.8033333333333335,28.73046251682862,17.23827751009717,5.746092503365724,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.8571428571428571,13.280320381161362,6.822026268009175
R0503,40.0,1.0,19.160807695726568,2.705,41.87773918447823,25.126643510686936,8.375547836895647,0.6666666666666666,0.2857142857142857,0.0,0.8571428571428571,20.115883734679887,4.698301437685421
R0504,80.0,2.0,21.60589792752828,0.7728571428571429,39.82200547520119,23.893203285120713,7.9644010950402375,0.3333333333333333,0.14285714285714285,0.42857142857142855,0.42857142857142855,10.029263575905519,8.394351130794714
R0523,80.0,1.0,5.9259033278805875,0.3,73.09862237454233,43.8591734247254,14.619724474908466,1.0,1.0,1.0,1.0,2.1173470044456217,1.233283128595558
R0641,80.0,1.0,15.365274874079716,2.705,55.44311886176579,33.26587131705947,11.08862377235316,0.6666666666666666,0.14285714285714285,0.2857142857142857,1.0,18.778700761603403,2.4333325283906904
R0671,5.0,1.0,21.373431903089948,2.705,32.88476230879214,19.730857385275282,6.576952461758428,0.3333333333333333,0.0,0.14285714285714285,0.8571428571428571,17.70710294244976,7.75738391941065
R0680,80.0,1.0,11.267031556563841,1.3525,61.423933299332674,36.8543599795996,12.284786659866535,0.6666666666666666,0.5714285714285714,0.42857142857142855,1.0,10.78791907166693,1.8116936252979114
R0688,80.0,1.0,38.486037892351256,0.3,14.368740374674333,8.621244224804599,2.8737480749348667,0.0,0.5714285714285714,0.14285714285714285,0.5714285714285714,7.707611904076771,4.471356794169791
R0748,40.0,2.0,21.780644648558013,2.02875,32.107586376958245,19.264551826174948,6.42151727539165,0.6666666666666666,0.5714285714285714,0.0,0.5714285714285714,10.112718008251006,6.406450386526274
R0759,80.0,1.0,30.017656887792516,1.082,26.87255994852177,16.12353596911306,5.374511989704354,0.0,0.5714285714285714,0.42857142857142855,0.8571428571428571,9.408402632817666,4.4339476735415095
R0866,80.0,1.0,23.493068019618722,1.2397916666666666,23.370298397773514,14.022179038664108,4.674059679554703,0.0,0.42857142857142855,0.14285714285714285,0.5714285714285714,8.416945835334973,4.263873193431569
R0954,80.0,1.0,18.09525149814697,0.3,33.01085652659903,19.806513915959417,6.602171305319806,1.0,1.0,0.5714285714285714,0.8571428571428571,3.8018633434881957,4.319223592990627
R0958,40.0,2.0,25.646685300728194,2.705,25.077701051344622,15.046620630806773,5.015540210268925,0.3333333333333333,0.0,0.2857142857142857,0.2857142857142857,29.121088655813278,10.992675723155418
R0982,80.0,1.0,12.596137132141195,2.705,67.5444153017501,40.52664918105006,13.508883060350023,1.0,0.42857142857142855,0.14285714285714285,0.8571428571428571,18.480751065094832,3.839904357270526
R1021,40.0,1.0,32.893675438507834,0.3,25.799843024618415,15.479905814771048,5.159968604923684,0.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,7.455788392513342,7.028804911136045
R1070,5.0,2.0,23.527881424454105,2.254166666666667,23.809714989597836,14.2858289937587,4.761942997919568,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,15.578160877943022,13.360933650366713
R1082,80.0,1.0,17.591954644087366,1.3525,29.00440541345459,17.402643248072753,5.8008810826909185,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.7142857142857143,10.036426036163046,4.615469852944517
R1094,5.0,1.0,26.494933182603432,2.705,20.50551304140661,12.303307824843964,4.101102608281322,0.0,0.2857142857142857,0.14285714285714285,0.8571428571428571,13.539608812045232,6.272873275196113
R1165,5.0,1.0,15.965412514575746,2.705,49.252993438361976,29.551796063017186,9.850598687672395,0.6666666666666666,0.42857142857142855,0.2857142857142857,0.7142857142857143,10.81240569111804,6.180068893868548
R1171,80.0,2.0,21.72556318672888,0.94675,19.617867361454927,11.770720416872956,3.9235734722909856,0.6666666666666666,0.7142857142857143,0.42857142857142855,0.7142857142857143,6.108298453823457,5.475963727099427
