step,metric,metric_val,success,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,deadband,backlash,wind_strength,latency_steps,rocket_id,design_id,regime_label
0,rms_error_deg,54.394101601008366,0,0.980226043951444,0.0279890280390062,0.2125235670133481,-58.55657893430198,5.696793669890843,28.33384120100757,41.51990502483413,8.40958129155255,0.032818701757763,0.1474227504116182,0.0670244116703838,5,R0001,1,INFEASIBLE
1,rms_error_deg,31.72802099490817,0,0.9921685644325539,0.028057317186020597,0.21013511844713306,-58.06416421702306,5.728899552106705,28.580926098542665,42.833108936319505,8.396057286868523,0.0327180741830179,0.14623932300025638,0.055184544526308714,4,R0001,1,INFEASIBLE
2,rms_error_deg,29.644685183109093,0,0.9992514661590166,0.028304083777955274,0.20718386456149568,-57.67129908979605,5.7610054080126245,28.69898175343334,44.015354274091465,8.390306540064266,0.03289491204909667,0.14543138974539305,0.05,4,R0001,1,INFEASIBLE
3,rms_error_deg,22.625268291575562,0,1.0040046735007035,0.028254367796542886,0.2042132673760505,-57.29998773167888,5.786789030686358,28.968781235753895,45.10522824751451,8.37456389641804,0.032926270567656755,0.14348579347930532,0.05,3,R0001,1,INFEASIBLE
4,rms_error_deg,13.35896086735603,0,0.9962140553879546,0.02819600329072091,0.2005419321037716,-56.697662549018204,5.844387272356404,29.060283415017242,46.53630390461325,8.360069296337683,0.033103060876094235,0.14127531179787164,0.05,2,R0001,1,INFEASIBLE
5,rms_error_deg,16.912186451692573,0,1.000309536620758,0.028323465117236168,0.19841246575555685,-56.100223463686135,5.893295880113851,29.282783980245302,47.66286411001535,8.30571784278486,0.033436713904076154,0.14022781727738767,0.05,1,R0001,1,INFEASIBLE
0,rms_error_deg,13.772006318854771,1,1.5333561348799194,0.0307044309596682,0.0437594309668621,-35.57424129072616,13.148340614097382,28.81117047383116,54.76436406900061,12.931315291005122,0.0143306842539837,0.240631104578251,0.4403689596262259,5,R0002,2,FRAGILE
1,rms_error_deg,13.396769292756737,1,1.5268263518326635,0.030347715961804564,0.045034018838021876,-35.471577618070555,13.190436651716864,28.934602196580105,57.38319243608851,12.833061663524294,0.013514053095218916,0.2377286247676092,0.4376348662393182,5,R0002,2,FRAGILE
2,rms_error_deg,11.980507933815819,1,1.5190501756382464,0.030398732265573467,0.04413836066199507,-35.20013113701158,13.296583523191249,29.259423989372443,59.94972820127336,12.76076714168097,0.013699020111200406,0.2353100463537983,0.4411817921120527,5,R0002,2,FRAGILE
3,rms_error_deg,10.380818372845102,1,1.5217273444061792,0.030857106635351853,0.045668017278935304,-34.602923622848074,13.349081573415068,29.389544390193,61.9318778982391,12.751975396995915,0.013630759728568174,0.23487417295255303,0.43094281075778396,5,R0002,2,FRAGILE
