rocket_id,regime,theta_ddot,keff_full,Iyy,motor_scale,max_gimbal_deg,servo_slew_deg_s,best_Kp,A_deg,T_u_s,K_u,probe_rms,probe_slew_sat
R0349,EASY,3.9368978547895996,2.0461691364977113,0.0384541479190392,1.0018318645142803,2.405748639081834,116.27636634895808,80.0,7.630786791652102,2.705,18.399400276317508,4.949721847404598,0.0
R1179,EASY,9.971339437549508,3.1978429269449573,0.020132598038617,0.8197229028435804,3.9006943486693935,187.05942891378697,80.0,5.052932103270843,2.705,45.05273871990407,3.2267057134902366,0.0
R0951,EASY,12.471197838057577,5.407033432672605,0.0350385566958044,2.4122114911406536,2.884314235626012,151.26116864426243,80.0,7.036342227816041,0.5,23.923149668331128,4.342139884771374,0.0
R0630,EASY,15.254920317329251,2.9821312909890536,0.0311071905360288,1.1811299108590636,6.407651154770082,149.5429561353589,80.0,3.1483343229417136,1.8935,118.77929790087848,1.8993924980689734,0.03133333333333334
R0193,EASY,17.724997949673188,3.6826865102552833,0.025779869908507,1.2088031723617765,6.027438527763332,174.8838243723283,80.0,3.5189186878069663,2.705,99.96461465687526,2.042934003346318,0.0
R0097,EASY,19.957408701258327,2.5510276567737127,0.0341819240888384,1.1102525798527942,9.827214763201225,195.02966051207423,80.0,1.7081870841193574,2.705,335.7513375436387,1.1342128085515246,0.08966666666666666
R0614,EASY,22.232308689275122,3.4638388326201626,0.0239318185366409,1.055464174041957,8.04945495617516,68.31146475757723,80.0,7.3500550650962015,2.705,63.91438579011687,4.2183224449472,0.572
R0377,EASY,24.920909212458277,7.890878072021346,0.0241737848420276,2.4287348458082394,3.9508704389846327,198.8389413719014,80.0,7.998117609036251,0.5,28.828877991700406,4.972356407803263,0.0
R1041,EASY,27.33651477149098,4.603473120187357,0.0377912428067354,2.2150671919924365,7.443718521067842,186.68176429486613,80.0,3.0041065854889952,2.254166666666667,144.6096726199075,1.8747734881173117,0.0
R0673,EASY,30.199340545372166,4.267765058767081,0.0367499048161972,1.9969483886889876,8.880701953784301,85.29857633214897,80.0,5.280469078919207,0.5,98.15163288876902,3.295539638133549,0.45466666666666666
R0394,EASY,32.53137496508886,3.0554144165703963,0.0279744257875361,1.08828194194876,13.43158975098777,82.03439392592861,15.0,5.218460352726424,1.3525,150.21308592083847,3.1278758240512787,0.471
R0539,EASY,35.23165650203921,5.956024962738594,0.0185123924380554,1.4038773786293446,7.414800645481795,178.53319285827737,80.0,3.6015036192432035,1.7389285714285716,120.1540354818,2.2277654979092647,0.0023333333333333335
R0764,EASY,37.60416690998562,4.862718740035873,0.0268277320339064,1.6610137557441758,9.712900442227957,118.01131199676358,80.0,4.321900697560023,2.705,131.1586358979271,2.5738796768065533,0.3696666666666667
R1105,EASY,41.31116743481097,6.345961512826244,0.0300900597633677,2.43125550931984,8.16490150309881,93.9444701043994,80.0,6.4167479669481935,1.8033333333333335,74.26064317842669,4.040467017817733,0.4336666666666666
R0774,EASY,43.987408924406985,3.915800778533329,0.0187814728144279,0.9363977317008616,14.18613802732713,67.51763913388328,15.0,6.760891789545691,2.705,122.45680783055909,4.173366742345497,0.549
R1054,EASY,47.30419696779361,5.676172452902835,0.025879049598927,1.8703118403703265,10.475539305997428,131.73015226464943,80.0,5.4268436432955784,1.8033333333333335,112.65534963734821,3.336881631183408,0.29766666666666663
R1155,EASY,50.97534389299394,5.136226295067507,0.0246329498777466,1.6109078271823862,12.504874967559566,185.0392019421396,80.0,1.9088390070332064,1.3525,382.3250821710329,1.1982884448803472,0.12833333333333333
R0011,EASY,57.38809067109397,5.722394021876971,0.0247630887575616,1.8042332879478655,12.638090067478291,87.75706454397438,80.0,6.1378851029980686,0.5,120.16705828171757,4.08207904715973,0.4526666666666667
R1043,EASY,63.30190897669923,6.704093021772432,0.0238343193742174,2.034477563637062,11.887959251724125,138.11758391897376,80.0,8.149594025572245,2.705,85.13224202941653,5.000235996863981,0.43466666666666665
R0128,EASY,67.95008668717576,10.245183234140432,0.0167639363376471,2.186783818817594,8.319697617106717,172.1139032704408,80.0,12.774939786099262,1.502777777777778,38.007685010978335,8.180421323289554,0.36900000000000005
R0469,EASY,73.46268308311198,7.8009666189655515,0.0257411524825176,2.556739760902711,11.855831847688323,71.44519498972465,40.0,5.63508264507786,1.9536111111111112,122.78759108294987,3.2964273869947993,0.5656666666666667
R0708,EASY,82.04395412946793,8.05530418916465,0.025579387393142,2.6235068532999786,12.83852196647,78.03897741019937,80.0,6.993287568937097,1.3525,107.14116871726982,4.026806600201413,0.5473333333333332
R0756,EASY,97.84221919302108,18.33654760394175,0.0120425855099929,2.8115604641002827,6.685048297094102,138.76131369914188,40.0,12.178054802162594,2.705,32.0368172003424,7.5601772668538105,0.43100000000000005
R0571,EASY,117.4880020727145,14.126834702944302,0.0160014946340527,2.878163971220297,10.45371995687644,133.50298408643744,80.0,11.131179674885752,2.705,54.80906667658308,6.953482091655997,0.5619999999999999
R0255,EASY,230.45720118691662,19.836483694832705,0.0102468153446987,2.5879967000408914,14.682474561755628,154.7377305479218,80.0,5.705073415941005,2.4795833333333333,150.19682684706112,3.4659982543825167,0.4149999999999999
R0091,FRAGILE,115.84425338734634,10.732895818636567,0.0151299098571188,2.067585000955022,13.61962903368482,174.053639550759,40.0,14.358660868511077,1.2880952380952382,55.35719532129459,8.465860714450054,0.702
R0146,FRAGILE,97.33130756814795,9.118040297989074,0.018251632977164,2.118914109373487,13.46688600310672,112.27430519580052,5.0,13.886382273611257,2.254166666666667,56.597963564981406,7.518731374776384,0.6016666666666667
R0267,FRAGILE,178.56124018704665,17.384750774214346,0.0131592525219296,2.9127942504867965,12.948876047253496,160.5112731558308,80.0,24.961520572368503,2.1038888888888887,30.274973666998143,13.272450140119304,0.7093333333333334
R0373,FRAGILE,199.52675310318992,17.093960743068802,0.0134520545842618,2.927800238063773,14.75292111198465,100.91257066873015,80.0,18.145911012589966,2.705,47.44844470193077,10.63438034529021,0.7219999999999999
R0430,FRAGILE,75.2418801322709,16.625695689915933,0.0141494908341899,2.995234006645505,5.666279266802485,195.5791272365424,80.0,13.124956045009887,0.5,25.195492711014197,7.90667816353009,0.0
R0491,FRAGILE,172.67181536612972,17.869734416954692,0.0109640295650399,2.4945856203607573,12.169811135225842,107.05850620881752,40.0,23.880336106682428,1.8033333333333335,29.741724158644868,14.583894988947282,0.8093333333333333
R0503,FRAGILE,151.69209678772177,13.924345119224203,0.0165277949442068,2.9302172017741714,13.749100988671607,179.54517925763827,40.0,18.180857434405223,2.705,44.13495403836717,11.48041880451212,0.7586666666666668
R0504,FRAGILE,138.23414811429814,11.85101220067833,0.0171936037228453,2.594373363589788,14.742553406463346,184.92270041029468,80.0,18.96221906745111,1.2880952380952382,45.37391865931661,11.115500906585996,0.727
R0523,FRAGILE,12.07696213667357,2.039586288095338,0.0315892004537939,0.8203342342786845,7.422342941278607,68.61978564078377,80.0,5.782045016724983,0.5,74.91732913524466,3.5034031079388037,0.5386666666666666
R0641,FRAGILE,105.89172703746927,9.166743081517238,0.0248598483253072,2.901507200600083,14.597055143570833,166.7013026374666,80.0,16.074563573574856,2.705,52.99669613349569,9.877296021158287,0.6063333333333334
R0671,FRAGILE,120.36720635495462,12.585622448578025,0.0119608486579813,1.916667652019402,12.043320135765432,140.4584476036568,5.0,16.20542060038499,2.02875,43.37192135818863,10.19739157059367,0.7026666666666666
R0680,FRAGILE,61.854184666392065,6.566889032125266,0.0265798645710051,2.222401697142489,11.858353587633188,183.35763296477708,80.0,10.49274139029239,0.9016666666666667,65.95658551654905,5.79453553621968,0.5423333333333333
R0688,FRAGILE,128.97250584062428,17.09186428117295,0.0134933398903942,2.9364256864151463,9.475435130958644,102.71346314191057,80.0,32.89067504915583,1.8935,16.813151013124823,20.82607306161146,0.798
R0748,FRAGILE,156.54114874558098,16.449527242674822,0.010191338744936,2.1344932053185497,11.982726616992222,67.9839544553422,40.0,17.981999767457058,1.9536111111111112,38.89022013363675,9.691320605931018,0.7943333333333333
R0759,FRAGILE,212.58949415522002,19.413738246539502,0.0117237357226526,2.897912768303803,13.82175184894832,151.6370489080444,80.0,27.780338920806695,1.082,29.03676900886197,15.419602306462735,0.7423333333333333
R0866,FRAGILE,103.42981623855601,13.80472263143398,0.0119979341770969,2.1088431471313385,9.40765225357688,148.16307898203755,80.0,23.802782923859372,1.2773611111111112,23.066210856686602,14.883200344686088,0.7096666666666668
R0954,FRAGILE,94.93102718006415,11.655524830105232,0.0200691556067186,2.9783179079702222,10.235255270127473,160.4405185155291,80.0,15.503479415062078,1.8033333333333335,38.52939943518246,9.517140417576181,0.683
R0958,FRAGILE,188.50277822398482,21.513579004795993,0.0103390964854125,2.8320790580276656,11.020371263952024,166.06288469924658,40.0,24.09872821229559,2.705,26.688541455952215,15.860315182111936,0.7923333333333333
R0982,FRAGILE,130.97390193362216,11.352376242459808,0.0162252508739767,2.3452455217478265,14.578206194741108,166.6415828278453,80.0,12.583391254611984,1.7389285714285716,67.61283190167923,7.264220495844436,0.6786666666666668
R1021,FRAGILE,204.7284378437484,17.789093580887663,0.0100247784702589,2.270590009577845,14.541416990144182,142.28952536366347,40.0,25.66768209964972,0.5,33.06304244853608,16.308281885196703,0.8016666666666665
R1070,FRAGILE,117.7065040062386,15.400314651027948,0.0113311066809888,2.221836214598913,9.598741179192828,115.32487374025972,5.0,19.446056197215913,2.103888888888889,28.807494195430124,12.625581941392443,0.7803333333333333
R1082,FRAGILE,94.1278641234272,13.510131742663201,0.0122465570619681,2.1066079220954923,8.74289626578474,160.95202205260418,80.0,20.10148959444096,1.3525,25.38340166856702,11.694660898674154,0.5336666666666666
R1094,FRAGILE,109.0148878183161,14.702715474342451,0.0100879889876423,1.888479483476299,9.309165047814483,103.55707825683726,5.0,22.795183738519473,2.705,23.833639778433206,13.88146009729088,0.7413333333333334
R1165,FRAGILE,105.81038873177735,9.907373307121855,0.0204002927299103,2.573386660028469,13.473798150561322,124.87133123895912,5.0,16.46740013014866,2.705,47.75157897460056,8.688070498406885,0.6316666666666666
R1171,FRAGILE,96.87359002103202,16.626157619675,0.0128701545790913,2.724493493795826,7.302979797562676,157.69536481309672,80.0,22.202323359199436,1.5328333333333333,19.19660433976867,12.935738527451093,0.3676666666666667
