rocket_id,regime,keff,td,latency_steps,s,keff_eff,td_eff,best_Kp_search,best_Kd,search_sr,kp_floor,kp_ceil,window_ratio,floor_censored,ceil_censored,sr_at_center,kp_center,floor_at_s1,ceil_at_s1,window_at_s1,pred_floor,pred_ceil,pred_window
R0906,FRAGILE,9.53472108776517,79.44097470036105,5,1.0,9.53472108776517,79.44097470036105,82.98125416326079,0.5,1.0,0.05,224.46256291093013,4489.251258218603,True,False,1.0,3.3500937517547933,0.05,224.46256291093013,4489.251258218603,0.05,224.46256291093013,4489.251258218603
R0906,FRAGILE,9.53472108776517,79.44097470036105,5,0.7,6.674304761435619,55.60868229025274,37.79549137416112,0.5,1.0,0.05,150.3941259021549,3007.882518043098,True,False,1.0,2.7422082880605085,0.05,224.46256291093013,4489.251258218603,0.034999999999999996,224.46256291093013,6413.216083169433
R0906,FRAGILE,9.53472108776517,79.44097470036105,5,0.5,4.767360543882585,39.72048735018053,37.79549137416112,0.5,1.0,0.05,100.76688429708665,2015.3376859417328,True,False,1.0,2.2446256291093025,0.05,224.46256291093013,4489.251258218603,0.025,224.46256291093013,8978.502516437205
R0906,FRAGILE,9.53472108776517,79.44097470036105,5,0.35,3.3371523807178094,27.80434114512637,82.98125416326079,1.0,1.0,0.05,224.46256291093013,4489.251258218603,True,False,1.0,3.3500937517547933,0.05,224.46256291093013,4489.251258218603,0.017499999999999998,224.46256291093013,12826.432166338865
R0906,FRAGILE,9.53472108776517,79.44097470036105,5,0.25,2.3836802719412926,19.860243675090263,82.98125416326079,1.0,1.0,0.05,150.3941259021549,3007.882518043098,True,False,1.0,2.7422082880605085,0.05,224.46256291093013,4489.251258218603,0.0125,224.46256291093013,17957.00503287441
R0906,FRAGILE,9.53472108776517,79.44097470036105,5,0.15,1.4302081631647756,11.916146205054158,37.79549137416112,1.0,1.0,0.05,150.3941259021549,3007.882518043098,True,False,1.0,2.7422082880605085,0.05,224.46256291093013,4489.251258218603,0.0075,224.46256291093013,29928.341721457353
R0906,FRAGILE,9.53472108776517,79.44097470036105,5,0.08,0.7627776870212136,6.3552779760288844,56.00283274928685,1.0,1.0,0.05,150.3941259021549,3007.882518043098,True,False,1.0,2.7422082880605085,0.05,224.46256291093013,4489.251258218603,0.004,224.46256291093013,56115.640727732534
R0540,FRAGILE,13.633976400338609,143.03955295219828,6,1.0,13.633976400338609,143.03955295219828,17.21472135626919,0.25,1.0,0.07462477725259145,67.5157018934936,904.7357242349292,False,False,1.0,2.244625629109301,0.07462477725259145,67.5157018934936,904.7357242349292,0.07462477725259145,67.5157018934936,904.7357242349292
R0540,FRAGILE,13.633976400338609,143.03955295219828,6,0.7,9.543783480237026,100.12768706653878,37.79549137416112,0.5,1.0,0.37028423461312177,150.3941259021549,406.15859883769787,False,False,1.0,7.462477725259145,0.07462477725259145,67.5157018934936,904.7357242349292,0.05223734407681401,67.5157018934936,1292.479606049899
R0540,FRAGILE,13.633976400338609,143.03955295219828,6,0.5,6.8169882001693045,71.51977647609914,37.79549137416112,0.5,1.0,0.11137714759997785,100.76688429708665,904.7357242349299,False,False,1.0,3.3500937517547937,0.07462477725259145,67.5157018934936,904.7357242349292,0.037312388626295726,67.5157018934936,1809.4714484698584
R0540,FRAGILE,13.633976400338609,143.03955295219828,6,0.35,4.771891740118513,50.06384353326939,82.98125416326079,1.0,1.0,0.5526475705630107,224.46256291093013,406.15859883769775,False,False,1.0,11.137714759997785,0.07462477725259145,67.5157018934936,904.7357242349292,0.026118672038407006,67.5157018934936,2584.959212099798
R0540,FRAGILE,13.633976400338609,143.03955295219828,6,0.25,3.4084941000846523,35.75988823804957,82.98125416326079,1.0,1.0,0.37028423461312177,224.46256291093013,606.1898993497571,False,False,1.0,9.116740004342201,0.07462477725259145,67.5157018934936,904.7357242349292,0.018656194313147863,67.5157018934936,3618.942896939717
R0540,FRAGILE,13.633976400338609,143.03955295219828,6,0.15,2.0450964600507913,21.45593294282974,37.79549137416112,1.0,1.0,1.8373309703683438,150.3941259021549,81.85467307069028,False,False,1.0,16.622989661354698,0.07462477725259145,67.5157018934936,904.7357242349292,0.011193716587888718,67.5157018934936,6031.571494899528
R0540,FRAGILE,13.633976400338609,143.03955295219828,6,0.08,1.0907181120270888,11.443164236175862,82.98125416326079,2.0,1.0,4.092733653534514,224.46256291093013,54.84416576121016,False,False,1.0,30.309494967487854,0.07462477725259145,67.5157018934936,904.7357242349292,0.0059699821802073165,67.5157018934936,11309.196552936615
R0400,FRAGILE,19.379628939556724,214.6999063287188,5,1.0,19.379628939556724,214.6999063287188,25.507623419861346,0.25,1.0,0.37028423461312177,45.23678621174646,122.16773489967916,False,False,1.0,4.092733653534513,0.37028423461312177,45.23678621174646,122.16773489967916,0.37028423461312177,45.23678621174646,122.16773489967916
R0400,FRAGILE,19.379628939556724,214.6999063287188,5,0.7,13.565740257689706,150.28993443010316,37.79549137416112,0.5,1.0,0.5526475705630107,100.76688429708665,182.33480008684413,False,False,1.0,7.462477725259147,0.37028423461312177,45.23678621174646,122.16773489967916,0.2591989642291852,45.23678621174646,174.52533557097024
R0400,FRAGILE,19.379628939556724,214.6999063287188,5,0.5,9.689814469778362,107.3499531643594,37.79549137416112,0.5,1.0,0.5526475705630107,100.76688429708665,182.33480008684413,False,False,1.0,7.462477725259147,0.37028423461312177,45.23678621174646,122.16773489967916,0.18514211730656088,45.23678621174646,244.33546979935832
R0400,FRAGILE,19.379628939556724,214.6999063287188,5,0.35,6.782870128844853,75.14496721505158,82.98125416326079,1.0,1.0,1.2310462007473126,150.3941259021549,122.16773489967916,False,False,1.0,13.606693841876535,0.37028423461312177,45.23678621174646,122.16773489967916,0.1295994821145926,45.23678621174646,349.0506711419405
R0400,FRAGILE,19.379628939556724,214.6999063287188,5,0.25,4.844907234889181,53.6749765821797,82.98125416326079,1.0,1.0,1.8373309703683438,150.3941259021549,81.85467307069028,False,False,1.0,16.622989661354698,0.37028423461312177,45.23678621174646,122.16773489967916,0.09257105865328044,45.23678621174646,488.67093959871664
R0400,FRAGILE,19.379628939556724,214.6999063287188,5,0.15,2.9069443409335087,32.20498594930782,82.98125416326079,1.0,1.0,2.7422082880605085,100.76688429708665,36.7466194073669,False,False,0.9166666666666666,16.6229896613547,0.37028423461312177,45.23678621174646,122.16773489967916,0.05554263519196826,45.23678621174646,814.4515659978612
R0400,FRAGILE,19.379628939556724,214.6999063287188,5,0.08,1.550370315164538,17.175992506297504,56.00283274928685,2.0,1.0,20.307929941884897,100.76688429708665,4.961947603002903,False,False,1.0,45.236786211746484,0.37028423461312177,45.23678621174646,122.16773489967916,0.029622738769049743,45.23678621174646,1527.0966862459895
R0709,FRAGILE,22.80576925138233,120.15969202344482,5,1.0,22.80576925138233,120.15969202344482,25.507623419861346,0.25,1.0,0.166229896613547,67.5157018934936,406.1585988376977,False,False,1.0,3.3500937517547924,0.166229896613547,67.5157018934936,406.1585988376977,0.166229896613547,67.5157018934936,406.1585988376977
R0709,FRAGILE,22.80576925138233,120.15969202344482,5,0.7,15.96403847596763,84.11178441641137,17.21472135626919,0.25,1.0,0.166229896613547,67.5157018934936,406.1585988376977,False,False,1.0,3.3500937517547924,0.166229896613547,67.5157018934936,406.1585988376977,0.1163609276294829,67.5157018934936,580.2265697681396
R0709,FRAGILE,22.80576925138233,120.15969202344482,5,0.5,11.402884625691165,60.07984601172241,56.00283274928685,0.5,1.0,0.5526475705630107,150.3941259021549,272.1338768375307,False,False,1.0,9.116740004342203,0.166229896613547,67.5157018934936,406.1585988376977,0.0831149483067735,67.5157018934936,812.3171976753954
R0709,FRAGILE,22.80576925138233,120.15969202344482,5,0.35,7.982019237983815,42.055892208205684,37.79549137416112,0.5,1.0,0.24809738015014512,150.3941259021549,606.1898993497572,False,False,1.0,6.108386744983958,0.166229896613547,67.5157018934936,406.1585988376977,0.05818046381474145,67.5157018934936,1160.4531395362792
R0709,FRAGILE,22.80576925138233,120.15969202344482,5,0.25,5.7014423128455824,30.039923005861205,82.98125416326079,1.0,1.0,1.2310462007473126,224.46256291093013,182.33480008684404,False,False,1.0,16.622989661354698,0.166229896613547,67.5157018934936,406.1585988376977,0.04155747415338675,67.5157018934936,1624.6343953507908
R0709,FRAGILE,22.80576925138233,120.15969202344482,5,0.15,3.4208653877073494,18.023953803516722,82.98125416326079,1.0,1.0,1.8373309703683438,150.3941259021549,81.85467307069028,False,False,1.0,16.622989661354698,0.166229896613547,67.5157018934936,406.1585988376977,0.02493448449203205,67.5157018934936,2707.723992251318
R0709,FRAGILE,22.80576925138233,120.15969202344482,5,0.08,1.8244615401105864,9.612775361875586,56.00283274928685,1.0,1.0,2.7422082880605085,100.76688429708665,36.7466194073669,False,False,0.9166666666666666,16.6229896613547,0.166229896613547,67.5157018934936,406.1585988376977,0.01329839172908376,67.5157018934936,5076.9824854712215
R2106,FRAGILE,31.857029227708004,144.84147635852042,6,1.0,31.857029227708004,144.84147635852042,25.507623419861346,0.25,1.0,4.092733653534514,45.23678621174646,11.052951411260212,False,False,1.0,13.606693841876535,4.092733653534514,45.23678621174646,11.052951411260212,4.092733653534514,45.23678621174646,11.052951411260212
R2106,FRAGILE,31.857029227708004,144.84147635852042,6,0.7,22.2999204593956,101.38903345096429,25.507623419861346,0.25,1.0,2.7422082880605085,45.23678621174646,16.4964807409802,False,False,1.0,11.137714759997783,4.092733653534514,45.23678621174646,11.052951411260212,2.8649135574741593,45.23678621174646,15.789930587514588
R2106,FRAGILE,31.857029227708004,144.84147635852042,6,0.5,15.928514613854002,72.42073817926021,37.79549137416112,0.5,1.0,4.092733653534514,67.5157018934936,16.496480740980193,False,False,1.0,16.622989661354698,4.092733653534514,45.23678621174646,11.052951411260212,2.046366826767257,45.23678621174646,22.105902822520424
R2106,FRAGILE,31.857029227708004,144.84147635852042,6,0.35,11.1499602296978,50.694516725482146,122.95607569235632,1.0,1.0,13.606693841876542,100.76688429708665,7.405684692262435,False,False,1.0,37.02842346131219,4.092733653534514,45.23678621174646,11.052951411260212,1.4324567787370797,45.23678621174646,31.579861175029176
R2106,FRAGILE,31.857029227708004,144.84147635852042,6,0.25,7.964257306927001,36.210369089630106,82.98125416326079,1.0,1.0,9.116740004342201,100.76688429708665,11.05295141126022,False,False,1.0,30.309494967487858,4.092733653534514,45.23678621174646,11.052951411260212,1.0231834133836284,45.23678621174646,44.21180564504085
R2106,FRAGILE,31.857029227708004,144.84147635852042,6,0.15,4.778554384156201,21.726221453778063,182.188094191976,2.0,1.0,20.307929941884897,150.3941259021549,7.405684692262433,False,False,1.0,55.264757056301065,4.092733653534514,45.23678621174646,11.052951411260212,0.613910048030177,45.23678621174646,73.68634274173475
R2106,FRAGILE,31.857029227708004,144.84147635852042,6,0.08,2.5485623382166405,11.587318108681634,82.98125416326079,2.0,1.0,,,,False,False,0.6666666666666666,67.5157018934936,4.092733653534514,45.23678621174646,11.052951411260212,0.3274186922827611,45.23678621174646,138.16189264075263
R0522,EASY,41.37695025803256,216.8522999839436,1,1.0,41.37695025803256,216.8522999839436,400.0,0.5,1.0,0.37028423461312177,500.0,1350.3140378698733,False,True,1.0,13.606693841876538,0.37028423461312177,500.0,1350.3140378698733,0.37028423461312177,500.0,1350.3140378698733
R0522,EASY,41.37695025803256,216.8522999839436,1,0.7,28.96386518062279,151.7966099887605,269.95413995119696,0.5,1.0,0.37028423461312177,500.0,1350.3140378698733,False,True,1.0,13.606693841876538,0.37028423461312177,500.0,1350.3140378698733,0.2591989642291852,500.0,1929.0200540998194
R0522,EASY,41.37695025803256,216.8522999839436,1,0.5,20.68847512901628,108.4261499919718,82.98125416326079,0.5,1.0,0.8248240370490102,335.0093751754795,406.158598837698,False,False,1.0,16.622989661354705,0.37028423461312177,500.0,1350.3140378698733,0.18514211730656088,500.0,2700.6280757397467
R0522,EASY,41.37695025803256,216.8522999839436,1,0.35,14.481932590311395,75.89830499438025,82.98125416326079,0.5,1.0,0.8248240370490102,224.46256291093013,272.13387683753064,False,False,1.0,13.606693841876535,0.37028423461312177,500.0,1350.3140378698733,0.1295994821145926,500.0,3858.040108199639
R0522,EASY,41.37695025803256,216.8522999839436,1,0.25,10.34423756450814,54.2130749959859,122.95607569235632,1.0,1.0,1.8373309703683438,335.0093751754795,182.3348000868442,False,False,1.0,24.809738015014513,0.37028423461312177,500.0,1350.3140378698733,0.09257105865328044,500.0,5401.256151479493
R0522,EASY,41.37695025803256,216.8522999839436,1,0.15,6.206542538704883,32.52784499759154,82.98125416326079,1.0,1.0,2.7422082880605085,224.46256291093013,81.85467307069025,False,False,1.0,24.809738015014506,0.37028423461312177,500.0,1350.3140378698733,0.05554263519196826,500.0,9002.093585799157
R0522,EASY,41.37695025803256,216.8522999839436,1,0.08,3.3101560206426046,17.348183998715488,122.95607569235632,1.0,1.0,13.606693841876542,100.76688429708665,7.405684692262435,False,False,1.0,37.02842346131219,0.37028423461312177,500.0,1350.3140378698733,0.029622738769049743,500.0,16878.925473373416
R1255,EASY,37.53903579949855,334.82807558232884,2,1.0,37.53903579949855,334.82807558232884,37.79549137416112,0.25,1.0,0.05,150.3941259021549,3007.882518043098,True,False,1.0,2.7422082880605085,0.05,150.3941259021549,3007.882518043098,0.05,150.3941259021549,3007.882518043098
R1255,EASY,37.53903579949855,334.82807558232884,2,0.7,26.277325059648984,234.37965290763017,182.188094191976,0.5,1.0,0.05,500.0,10000.0,True,True,1.0,5.0,0.05,150.3941259021549,3007.882518043098,0.034999999999999996,150.3941259021549,4296.975025775855
R1255,EASY,37.53903579949855,334.82807558232884,2,0.5,18.769517899749275,167.41403779116442,82.98125416326079,0.5,1.0,0.05,335.0093751754795,6700.187503509589,True,False,1.0,4.0927336535345145,0.05,150.3941259021549,3007.882518043098,0.025,150.3941259021549,6015.765036086196
R1255,EASY,37.53903579949855,334.82807558232884,2,0.35,13.138662529824492,117.18982645381509,82.98125416326079,0.5,1.0,0.05,224.46256291093013,4489.251258218603,True,False,1.0,3.3500937517547933,0.05,150.3941259021549,3007.882518043098,0.017499999999999998,150.3941259021549,8593.95005155171
R1255,EASY,37.53903579949855,334.82807558232884,2,0.25,9.384758949874637,83.70701889558221,82.98125416326079,1.0,1.0,0.05,500.0,10000.0,True,True,1.0,5.0,0.05,150.3941259021549,3007.882518043098,0.0125,150.3941259021549,12031.530072172392
