rocket_id,design_id,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength,best_Kp,best_Kd,nominal_success_rate,under_success_rate,over_success_rate,robustness,n_success_gain_sets,nominal_diverge_rate,nominal_band_30_rate,nominal_band_20_rate,nominal_band_10_rate,under_diverge_rate,over_diverge_rate,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac,settling_time_s,oscillation_score,under_u_sat_frac,over_u_sat_frac,regime_label,regime_code,sr_kp2,rms_kp2,sr_kp5,rms_kp5
R0001,1,0.0,1.3576780674399598,0.0130647154798341,-0.2641108535497068,-37.88210121005577,12.932920307048692,1.7603501903582248,138.8767215149671,3.020328484504756,3,0.0269778421269918,0.1317738856224588,0.3551844798131129,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.9182374565427244,3.346058081979692,1.8132669819389964,3.346058081979692,0.0,0.0,1.906666666666667,7.0,0.0,0.0,EASY,2,1.0,7.84691977189273,1.0,4.2991931484793
R0002,2,0.0,1.7551108082514633,0.0283475670161518,-0.0803666802509317,-18.438868867680853,7.226921414404747,2.4044968240070395,112.22322220757204,8.424342655615982,3,0.0229768462683728,0.2349510879363254,0.0731350881068192,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.7764603538090231,2.645959739772024,1.552355148249516,2.645959739772024,0.0,0.0844444444444444,1.99,9.333333333333334,0.0,0.0,EASY,2,1.0,3.8776235553765743,1.0,2.3055584073792947
R0003,3,0.0,1.8834350392473325,0.0327815536884221,-0.1410567273372627,-63.83343168733383,9.228360680304228,2.12934096021244,158.19248453571652,9.083308014025846,5,0.0150122022276564,0.1698554710021843,0.2396186119826783,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.6111971866447841,2.819172158146339,1.4198768156848152,2.819172158146339,0.0,0.0999999999999999,1.0,11.0,0.0,0.0,EASY,2,1.0,3.692708894634547,1.0,2.946430841097738
R0004,4,0.0,1.0016657985191049,0.0107941112974232,-0.0423913090266203,-32.86765621429425,8.215119806299999,2.022340021457648,117.71737958228984,10.77877027030216,2,0.0925352051631729,0.0998734807632479,0.0844319118927125,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.0474430177770804,4.474904265862079,1.3415685475948074,4.474904265862079,0.0,0.2072222222222222,1.0,9.333333333333334,0.0,0.0,EASY,2,0.6666666666666666,6.884807932899011,1.0,4.4563454221034275
R0005,5,1.5815109539402252,1.017573298463366,0.0125470757564266,0.2044854243145777,-36.227543246625686,7.961399023408376,1.97222717029716,118.0675064577801,3.20367055136734,5,0.1290996008211599,0.1950193728765973,0.3908055045133487,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.0498732496250034,3.0328084605537025,1.263727491692115,3.0328084605537025,0.0,0.0,1.7266666666666666,7.666666666666667,0.0,0.0,EASY,2,0.3333333333333333,11.450744897494028,0.6666666666666666,4.698881069173714
R0006,6,0.5964284416217986,1.5053190936947234,0.0342614043760085,0.1484704985244698,-22.12380930201718,5.116592822409847,2.726354471735614,178.3428242522482,2.1897502946227,3,0.1119551943631775,0.0704740248435266,0.1659546264063591,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.0151617188252564,3.1836075578752303,2.0304450680892687,3.1836075578752303,0.0,0.0,1.9383333333333328,6.333333333333333,0.0,0.0,EASY,2,1.0,4.631069269061744,1.0,2.92724055930877
R0007,7,0.0,1.3432079510155437,0.0385543769174805,-0.1107711110802849,-57.88799398131784,9.942343946848018,1.860943759563287,65.63909142928058,5.671717160643642,2,0.0730257722142389,0.0890447298991107,0.2676791466469372,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.7820035573291495,6.076105747311003,1.2575484939832793,6.076105747311003,0.0,0.1566666666666666,2.51,4.333333333333333,0.0,0.0,EASY,2,1.0,4.527560209339357,1.0,3.154506718481295
R0008,8,1.3451634756171666,1.1917094694301498,0.0267956641274433,0.0843522711271296,-77.03196262096968,6.275155402950345,2.0974142672531846,115.72100711174372,5.47163521250042,5,0.1060318308128528,0.1155273097442734,0.0724047119912706,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.6559585451946728,3.188457519812366,1.7190464439927038,3.188457519812366,0.0,0.0788888888888888,1.0,8.0,0.0,0.0,EASY,2,1.0,3.5979521286835,1.0,3.430693033009917
R0009,9,1.788312040239855,2.015263255299472,0.0115716628042113,0.1359171077506643,-51.82877101257724,10.585854082023856,1.394769154083458,123.243466304422,10.6401457958192,1,0.0553403727410288,0.2058220233602984,0.1958879599844933,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.8380449413205122,2.4825767410429367,1.6527616170791646,2.4825767410429367,0.0,0.0588888888888888,1.0,7.333333333333333,0.0,0.0,EASY,2,1.0,2.80487281057389,1.0,2.3077000196740936
R0010,10,0.0007316244944299,1.8098593831080807,0.0271042572170663,6.82513464282386e-05,-51.024020234122425,8.970845971452666,2.0365458209946485,100.58657085053112,8.51063068198738,4,0.0808518173572586,0.0450177302350903,0.2106986247546559,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.8858086528554043,3.754041715167623,2.869157718290714,3.754041715167623,0.0,0.1294444444444444,3.0,8.333333333333334,0.0,0.0,EASY,2,1.0,4.667264185789584,1.0,2.2690776895865246
R0011,11,0.4719554714148701,0.9158414305535888,0.0247630887575616,0.0356772705404649,-59.26609553528849,13.46279013091037,1.8042332879478655,87.75706454397438,12.638090067478291,4,0.0924379765272465,0.1574071169514317,0.2510418986634238,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.069505528541589,5.1039792357052045,3.408842798650852,5.1039792357052045,0.0,0.1238888888888889,2.0,7.666666666666667,0.0,0.0,EASY,2,1.0,4.154324542863099,1.0,2.206378832909911
R0012,12,0.0,1.8480546037545609,0.0253013319170037,-0.1318797145900966,-68.6973727828697,6.062104953379584,1.7691024361842,82.72820329914904,3.3861549722146664,4,0.1164210962177548,0.2457357486301527,0.141459838237499,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.7826024576703782,2.6026189768317223,1.2680704741595594,2.6026189768317223,0.0,0.0016666666666666,1.9416666666666669,8.0,0.0,0.0,EASY,2,1.0,3.5170727062079146,1.0,1.845647923086478
R0013,13,0.0,1.3419386210337945,0.0170146110915984,-0.1632883210791561,-46.97435213462993,7.829002314531797,1.6876306645407944,158.10520797783332,14.055819080105124,4,0.1001892608483711,0.1534895061264372,0.4016426837495748,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.2736240831680163,5.274922041636944,3.3950697037712168,5.274922041636944,0.0,0.2783333333333333,3.0,8.333333333333334,0.0,0.0,EASY,2,1.0,4.215170857620068,1.0,2.3433010021111165
R0014,14,1.6272057643369282,1.877493031856146,0.027034629299625,0.1074670444455533,-65.9586768335504,5.892043128107643,1.705722572987895,144.13450135792084,4.1960189517000535,4,0.0011997422171136,0.0564879784239983,0.142043502666014,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.8371058118881173,4.329098829492985,1.6443918301337346,4.329098829492985,0.0,0.0,1.923333333333333,7.333333333333333,0.0,0.0,EASY,2,1.0,3.34252790662182,1.0,1.7534158224241672
R0015,15,0.0,1.086434471124221,0.0254359530774543,-0.0914818906377516,-83.23117431855702,7.181371442405822,1.2703243916194256,92.33633292092212,10.276907040690997,6,0.1385046994731679,0.0014557438029805,0.4219074669929455,40.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.891842167635243,3.754665496210174,1.3824916464891908,3.754665496210174,0.0,0.4288888888888889,1.0,5.666666666666667,0.0,0.0,EASY,2,1.0,3.3640453183615477,1.0,2.2652998734381673
R0016,16,0.0,1.7036830124441595,0.0233486762824531,-0.0310350848992659,-71.82559732247864,8.615126630329463,2.437920789007048,123.35390697874,3.75064304504043,6,0.0405759522844217,0.1673939753350024,0.3389818093338724,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.1534699153434609,5.298388049022279,3.080534950172518,5.298388049022279,0.0,0.0,2.875,8.666666666666666,0.0,0.0,EASY,2,0.6666666666666666,3.4624672518459576,1.0,3.1499619952300413
R0017,17,0.0,1.7800852856925586,0.0354275397863959,-0.1473081601854916,-42.26658654970621,7.161477440672375,1.50013777192315,158.8981520824886,7.750265237333101,4,0.0014108823696016,0.0833695905181687,0.2420220848947079,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.4129837047546753,1.9450863328476389,0.8393138926397291,1.9450863328476389,0.0,0.0288888888888888,0.0,5.333333333333333,0.0,0.0,EASY,2,1.0,2.1234745272825397,1.0,0.9973942004988451
R0018,18,0.0,1.613773051558962,0.0138969020054631,-0.1073091655907493,-24.710812946257604,13.35568786713716,1.982182002000152,68.68778406667761,6.8067801509879855,3,0.0712609584880964,0.1074676734714662,0.1333093546778381,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.7899012597023264,2.62603386116392,1.611425440292387,2.62603386116392,0.0,0.2288888888888889,1.9383333333333328,9.333333333333334,0.0,0.0,EASY,2,0.6666666666666666,7.503339686982836,1.0,3.8132895014479815
R0019,19,0.0,1.3545395147637564,0.0167229308534658,-0.1565711800205844,-74.19230041859976,10.538316912261257,1.5926863041496495,99.43010193446544,4.636970692032431,1,0.005275553511493,0.0753457589034583,0.1639343949238613,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.891896017608584,3.458422672230111,2.3740171932333656,3.458422672230111,0.0,0.0383333333333333,2.0,8.666666666666666,0.0,0.0,EASY,2,1.0,3.1372375219313997,1.0,2.6985205634904506
R0020,20,0.0,1.279841004451524,0.0353936934220372,-0.0294687512355586,-74.3703478633382,10.516086968517453,2.5821026058233367,63.952856549185576,10.77364915063091,3,0.0455364835983935,0.1821823693625075,0.1334377309769234,15.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,1.3599382662765511,4.503210677793564,1.672597747884101,4.503210677793564,0.0,0.1427777777777777,1.8816666666666664,6.0,0.0,0.0,EASY,2,1.0,5.263764163122926,1.0,2.925452353623019
R0021,21,0.0,1.876110501822711,0.0363233180973948,-0.1423840170089869,-28.07856946469345,5.57053410445954,2.780767917327507,144.8525364460608,13.913202365614133,4,0.0451162644743153,0.1016168877839558,0.0802638517719008,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.6898784889151474,3.8450872046002513,1.9606490481367496,3.8450872046002513,0.0,0.1055555555555555,1.0,8.0,0.0,0.0,EASY,2,1.0,3.4559873714368217,1.0,2.150108683380114
R0022,22,1.250275037011099,1.4998837150297355,0.0321329061023735,0.1541584018875434,-35.916484236387895,9.524827009701024,1.7628273506818168,161.42434887231667,5.819027019563625,3,0.0004074430982312,0.1904866290411453,0.417244094201695,80.0,1.0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.5273659471582955,2.489810260679949,1.0078988061159369,2.489810260679949,0.0,0.0,1.0,6.0,0.0,0.0,EASY,2,1.0,2.019101865777444,1.0,1.351782875924459
