Iyy,td,keff,latency_steps,kp_floor,kp_ceiling,window_ratio,floor_censored,ceil_censored
0.02716,49.96936768596431,5.205142467287949,1,1.9743504858348198,480.0,243.11792837381674,False,True
0.02716,49.96936768596431,5.205142467287949,2,1.9743504858348198,303.6848699070746,153.81507593808337,False,False
0.02716,49.96936768596431,5.205142467287949,3,1.9743504858348198,303.6848699070746,153.81507593808337,False,False
0.02716,49.96936768596431,5.205142467287949,4,3.120630387317941,303.6848699070746,97.31523192917435,False,False
0.02716,49.96936768596431,5.205142467287949,5,1.2491257717535775,192.13437543849358,153.81507593808342,False,False
0.02716,49.96936768596431,5.205142467287949,6,7.796119681832377,121.55896418690836,15.592239363664758,False,False
0.01132,119.89116840554686,12.488663375577799,1,1.9743504858348198,480.0,243.11792837381674,False,True
0.01132,119.89116840554686,12.488663375577799,2,3.120630387317941,480.0,153.81507593808348,False,True
0.01132,119.89116840554686,12.488663375577799,3,19.476668028504243,303.6848699070746,15.592239363664751,False,False
0.01132,119.89116840554686,12.488663375577799,4,12.322436242624153,192.13437543849358,15.592239363664758,False,False
0.01132,119.89116840554686,12.488663375577799,5,30.78454536290431,121.55896418690836,3.94870097166964,False,False
0.01132,119.89116840554686,12.488663375577799,6,12.322436242624153,48.65761596458718,3.94870097166964,False,False
0.00543,249.9388630480277,26.035298234169556,1,7.796119681832377,480.0,61.569090725808636,False,True
0.00543,249.9388630480277,26.035298234169556,2,12.322436242624153,480.0,38.95333605700852,False,True
0.00543,249.9388630480277,26.035298234169556,3,19.476668028504243,303.6848699070746,15.592239363664751,False,False
0.00543,249.9388630480277,26.035298234169556,4,76.90753796904167,192.13437543849358,2.4982515435071564,False,False
0.00543,249.9388630480277,26.035298234169556,5,,,,False,False
0.00543,249.9388630480277,26.035298234169556,6,,,,False,False
