rocket_id,td,latency_steps,Iyy,motor_scale,max_gimbal_deg,new_Kp,new_Kd,nom_sr,under_sr,over_sr,margin,nom_rms
R2821,40.56787305282998,5,0.05892112834341864,2.8018761176622258,13.57764644676256,82.35745631970453,1.0,1.0,1.0,1.0,1.0,1.0000315007406007
R1639,41.93700546714706,5,0.022322699267679453,1.8993964463772943,7.844199585368111,115.62844575768011,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,1.400171756443693
R1330,52.02689408345336,5,0.02532098782124312,2.359671575272661,8.885402690156086,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.5803499588003274
R0281,41.393363171893704,5,0.02074631926889581,1.7090551525008917,7.997160727484572,115.62844575768011,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,1.4984787885139745
R3400,60.591056533558444,1,0.01640939271710083,1.9403924594220756,8.155143129690924,320.0,1.0,1.0,1.0,1.0,1.0,0.5019715177189435
R3936,55.08468755016604,3,0.0424342321658724,2.6961241507021505,13.79836038161463,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.8907311503835094
R3618,74.19659183346697,3,0.008738564810523685,1.3516478825460947,7.634500564764851,82.35745631970453,1.0,1.0,1.0,1.0,1.0,1.180451930586892
R2961,43.82583084963261,4,0.01818255672112535,2.6987053314157583,4.699479655693592,227.9230326898601,1.0,0.9333333333333333,1.0,1.0,1.0,1.6556144264768713
R0450,68.83585446198494,5,0.015336604342637228,1.4080706432435681,11.932724367184539,162.34034009544706,1.0,1.0,1.0,0.8,0.8,2.339788478784937
R3511,43.30995386855808,2,0.0155570910745252,2.858507753783373,3.7514302180778882,162.34034009544706,1.0,1.0,1.0,1.0,1.0,0.8126654577562998
R0548,42.29394511941961,5,0.04201439154810361,2.535450173582073,11.154274481055698,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.7836561120831458
R1553,47.58851424651147,1,0.014591438090367656,1.4584210941774507,7.577700516630626,227.9230326898601,1.0,1.0,1.0,1.0,1.0,0.708015749082106
R2950,74.08519226482983,1,0.009403257921390703,0.9788425738772666,11.327055855901623,320.0,1.0,1.0,1.0,1.0,1.0,0.48657305844315885
R1360,53.86379133013653,6,0.018491409307518924,2.2697445453951586,6.9840940867627905,21.19609566078763,1.0,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,3.1671378080194814
R3609,59.77426902681213,3,0.0053838350180415535,1.510940742448076,3.3898362246232026,227.9230326898601,1.0,1.0,1.0,1.0,1.0,1.385038909920026
R1993,73.08936541101201,2,0.02682384673754028,2.0845746888044303,14.96848759116666,162.34034009544706,1.0,1.0,1.0,1.0,1.0,0.7134446162759168
R0353,51.91632609376488,3,0.01423821313550426,2.2258160017165705,5.28555154804201,227.9230326898601,1.0,1.0,1.0,1.0,1.0,1.099591386836852
R0354,44.6516004544556,4,0.04716131549821234,2.5067034976022518,13.370267775353371,82.35745631970453,1.0,1.0,1.0,1.0,1.0,0.6263149780654741
R3978,44.28696725126795,3,0.04341973896331947,2.763995543087206,11.072506462914918,58.65987877815546,1.0,1.0,1.0,1.0,1.0,0.5832024217076722
R1267,65.28021577973956,2,0.013654042448272386,1.7715801151472317,8.007596196829542,162.34034009544706,1.0,1.0,1.0,1.0,1.0,0.6015731175592326
R3635,90.42466290435478,5,0.02820485197927404,2.9614260794198235,13.706606923402198,82.35745631970453,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,2.694623295156094
R2793,103.71721811965945,3,0.017507799786164426,2.8114802553357268,10.279394295751315,82.35745631970453,1.0,1.0,1.0,1.0,1.0,1.1632725608648988
R0871,84.5364268402096,3,0.02013928969275967,2.5435795543107074,10.652777165052363,162.34034009544706,1.0,1.0,1.0,1.0,1.0,0.9515386400088269
R2272,106.68088278365947,6,0.02062045373554057,2.7809231340884657,12.589716912736412,58.65987877815546,1.0,0.8666666666666667,1.0,0.8,0.8,2.944913692502843
R1302,118.13092415212765,4,0.01309263692169985,2.6565224571656665,9.266108174819895,58.65987877815546,1.0,1.0,1.0,1.0,1.0,2.2117350439414776
R0170,109.38595516622938,1,0.021855866398172438,2.8403966615631915,13.395863969800804,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.2986288833089443
R2051,80.69121363005512,4,0.026878378073918126,2.4184876850383517,14.272680936135217,58.65987877815546,1.0,1.0,1.0,1.0,1.0,1.6269008934605222
R2175,107.49396964046346,2,0.013367066396339621,2.556438795929238,8.945506558447004,320.0,1.0,1.0,1.0,1.0,1.0,0.7255748689543388
R2885,102.00185918535954,4,0.008555692613346402,1.5469370697047968,8.978643861985054,29.758952096260835,1.0,1.0,1.0,1.0,1.0,2.45130425277207
R1931,87.46797679276393,2,0.020103432209612238,2.8580155844408974,9.792077224577003,162.34034009544706,1.0,1.0,1.0,1.0,1.0,1.5741607087542941
R2247,86.59080743557766,1,0.018729740535075326,2.7981025249469984,9.224865837707291,227.9230326898601,1.0,1.0,1.0,1.0,1.0,0.6819451508867023
