profile,method,p_unstable,gust_std,cmd_deg,slew_code,u_max_code,servo_deadband,servo_backlash,Kp,Kd,seed,theta0_deg,success,rms_error_deg,peak_error_deg,end_error_deg,max_theta_deg,u_cmd_sat_frac,slew_sat_frac
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,0.9,20,60,12,0.05,0.1,30,8,102,0,1,0.778201051284153,1.91232469087092,0.28973373611777,21.9123246908709,0,0.286111111111111
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,0.9,20,60,12,0.05,0.1,30,8,103,0,1,0.855106675475989,1.85191615730669,1.43540294170352,21.8519161573067,0,0.258333333333333
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,0.9,20,60,12,0.05,0.1,30,8,104,0,1,1.08620064611917,2.46810457144082,0.28751648064058,22.4681045714408,0,0.230555555555556
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,0.9,20,60,12,0.05,0.1,30,8,201,3,1,0.910236591385281,2.38701620445662,0.0856048728152473,22.0588739873612,0,0.227777777777778
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,0.9,20,60,12,0.05,0.1,30,8,202,3,1,1.03345160899904,2.80837874858584,0.577153981306307,22.0363504361946,0,0.318055555555556
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,0.9,20,60,12,0.05,0.1,30,8,203,3,1,1.05648775746559,3.64332517906397,0.0582642800908307,21.8695989093154,0,0.265277777777778
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,0.9,20,60,12,0.05,0.1,30,8,204,3,1,1.44400950708501,3.7863118207513,1.59547346016017,22.2901294543959,0,0.284722222222222
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,6,1.5,20,60,12,0.05,0.1,60,8,101,0,1,1.25668518437239,3.02475291981992,0.766507372052468,22.5285073199997,0,0.0194444444444444
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,6,1.5,20,60,12,0.05,0.1,60,8,102,0,1,1.21368363631936,2.74675218538883,0.195322036550416,22.7467521853888,0,0.0263888888888889
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,6,1.5,20,60,12,0.05,0.1,60,8,103,0,1,1.16133342326916,2.25287550361317,1.32117128895325,22.2528755036132,0,0.0166666666666667
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,6,1.5,20,60,12,0.05,0.1,60,8,104,0,1,1.51033956055846,3.24168103663153,8.66987426160258e-05,23.2416810366315,0,0.0180555555555556
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,6,1.5,20,60,12,0.05,0.1,60,8,201,3,1,1.23025484458487,2.68213080328689,0.133512911124031,22.6821308032869,0,0.0208333333333333
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,6,1.5,20,60,12,0.05,0.1,60,8,202,3,1,1.26165430977059,2.80676179770569,0.469711296856338,22.4078248224347,0,0.0138888888888889
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,6,1.5,20,60,12,0.05,0.1,60,8,203,3,1,1.36102653717013,3.64224363451644,0.146730600369728,22.5181421895891,0,0.0236111111111111
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,6,1.5,20,60,12,0.05,0.1,60,8,204,3,1,1.66959576997391,3.78484368324535,1.70330551820889,22.6326500109258,0,0.0222222222222222
HOBBY_NOMINAL,CLEAN_RETUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,101,0,1,1.13723650307402,2.78757251718326,0.310267645764036,22.1217836803443,0.0166435506241331,0.215277777777778
HOBBY_NOMINAL,CLEAN_RETUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,102,0,1,1.07857341991786,2.8093342653262,0.0412859285773306,22.1288042905998,0.0194174757281553,0.231944444444444
HOBBY_NOMINAL,CLEAN_RETUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,103,0,1,0.939644203273833,2.11798221759582,1.31715508922289,21.7334105197932,0.013869625520111,0.227777777777778
HOBBY_NOMINAL,CLEAN_RETUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,104,0,1,1.3992947427919,3.00363783961641,0.263444184056298,22.3723019557445,0.013869625520111,0.219444444444444
HOBBY_NOMINAL,CLEAN_RETUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,201,3,1,1.2193386497037,2.6891537117607,0.0177986524672836,22.2076929250733,0.0180305131761442,0.236111111111111
HOBBY_NOMINAL,CLEAN_RETUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,202,3,1,1.28609733664302,2.80676179770569,0.343375171000055,22.09863366689,0.0124826629680999,0.247222222222222
HOBBY_NOMINAL,CLEAN_RETUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,203,3,1,1.45601862879488,3.64224363451644,0.11805629668794,22.1407170050341,0.0166435506241331,0.233333333333333
HOBBY_NOMINAL,CLEAN_RETUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,204,3,1,1.84388316903747,3.78484368324535,1.62444297117167,22.284291643891,0.013869625520111,0.202777777777778
HOBBY_NOMINAL,BENCH_TUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,101,0,1,1.13723650307402,2.78757251718326,0.310267645764036,22.1217836803443,0.0166435506241331,0.215277777777778
HOBBY_NOMINAL,BENCH_TUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,102,0,1,1.07857341991786,2.8093342653262,0.0412859285773306,22.1288042905998,0.0194174757281553,0.231944444444444
HOBBY_NOMINAL,BENCH_TUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,103,0,1,0.939644203273833,2.11798221759582,1.31715508922289,21.7334105197932,0.013869625520111,0.227777777777778
HOBBY_NOMINAL,BENCH_TUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,104,0,1,1.3992947427919,3.00363783961641,0.263444184056298,22.3723019557445,0.013869625520111,0.219444444444444
HOBBY_NOMINAL,BENCH_TUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,201,3,1,1.2193386497037,2.6891537117607,0.0177986524672836,22.2076929250733,0.0180305131761442,0.236111111111111
HOBBY_NOMINAL,BENCH_TUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,202,3,1,1.28609733664302,2.80676179770569,0.343375171000055,22.09863366689,0.0124826629680999,0.247222222222222
HOBBY_NOMINAL,BENCH_TUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,203,3,1,1.45601862879488,3.64224363451644,0.11805629668794,22.1407170050341,0.0166435506241331,0.233333333333333
HOBBY_NOMINAL,BENCH_TUNED_PID,6,1.5,20,60,12,0.05,0.1,60,24,204,3,1,1.84388316903747,3.78484368324535,1.62444297117167,22.284291643891,0.013869625520111,0.202777777777778
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,1.5,20,60,12,0.05,0.1,30,8,101,0,1,0.791271884167363,2.02063700957879,0.57768142974609,22.0206370095788,0,0.280555555555556
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,1.5,20,60,12,0.05,0.1,30,8,102,0,1,0.772047584378561,1.92572747884747,0.14669940502613,21.9257274788475,0,0.322222222222222
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,1.5,20,60,12,0.05,0.1,30,8,103,0,1,0.849895325831637,1.8257492285428,1.33981077154384,21.8257492285428,0,0.2625
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,1.5,20,60,12,0.05,0.1,30,8,104,0,1,1.07482817292155,2.51710265252507,0.118335284502166,22.5171026525251,0,0.227777777777778
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,1.5,20,60,12,0.05,0.1,30,8,201,3,1,0.908555706505887,2.38715904568635,0.04760938394337,22.1245839472584,0,0.252777777777778
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,1.5,20,60,12,0.05,0.1,30,8,202,3,1,1.01808282169306,2.80888949412619,0.504585985172935,22.0507512706373,0,0.305555555555556
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,1.5,20,60,12,0.05,0.1,30,8,203,3,1,1.07598318081496,3.6433158318951,0.00500941227999452,21.9701128562044,0,0.304166666666667
HOBBY_NOMINAL,BENCH_TUNED_PCH,6,1.5,20,60,12,0.05,0.1,30,8,204,3,1,1.4240955176015,3.786493926783,1.52649604470273,22.2864135386345,0,0.340277777777778
HOBBY_NOMINAL,AMATEUR_NOMINAL_PID,6,2.5,20,60,12,0.05,0.1,60,8,101,0,1,1.30584744844286,3.20611040440313,1.05806850369224,22.5903544879632,0,0.0222222222222222
