rocket_id,Iyy,motor_scale,latency_steps,keff,wind_strength,ref_kd,floor_kd1,ceil_kd1,window_kd1,floorcens_kd1,ceilcens_kd1,npass_kd1,floor_frozen,ceil_frozen,window_frozen,floorcens_frozen,ceilcens_frozen,npass_frozen,floor_free,ceil_free,window_free,floorcens_free,ceilcens_free,npass_free
R8892,0.0093266613529986,2.824984172295962,1.0,1090.4162417128762,0.1076504545498812,0.1,1.0168315873758733,800.0,786.757620369123,0,1,24,0.1,32.9702752058133,329.702752058133,1,0,21,0.1,800.0,8000.0,1,1,32
R6078,0.0071827051236755,2.4663420286764577,1.0,1236.1403051294712,0.2444672746609283,0.1,1.8157718801053535,598.6649859805054,329.70275205813306,0,0,21,0.569425316260183,32.9702752058133,57.900964822485086,0,0,15,0.42611874871980854,800.0,1877.4109386255486,0,1,27
R6154,0.0161689787248154,1.8392405386455528,5.0,409.50427678910717,0.3038005797636216,0.1,0.1,140.49252415648894,1404.9252415648893,1,0,26,0.1,18.463342031599993,184.63342031599993,1,0,19,0.1,800.0,8000.0,1,1,32
R6883,0.0277624955212024,2.8935680384102302,1.0,375.21284534098953,0.0972353210519275,0.1,1.3587988089338316,335.2521727374652,246.72686679826984,0,0,20,0.1,32.9702752058133,329.702752058133,1,0,21,0.1,800.0,8000.0,1,1,32
R7720,0.0144776090129704,1.1912075751210356,4.0,296.2054899116162,0.2092969703402914,0.25,4.332910036713837,140.49252415648894,32.42451907980097,0,0,13,4.332910036713837,44.05839790588585,10.168315873758733,0,0,9,4.332910036713837,800.0,184.63342031599979,0,1,19
R1330,0.0074497156149644,2.458868417205217,1.0,1188.2233845487647,0.3147975110964263,0.1,1.8157718801053535,800.0,440.58397905885784,0,1,22,0.569425316260183,32.9702752058133,57.900964822485086,0,0,15,0.23862634310993056,800.0,3352.521727374649,0,1,29
R7855,0.0065343395254965,2.91734918207766,1.0,1607.2714027943882,0.4489742452288959,0.1,1.0168315873758733,800.0,786.757620369123,0,1,23,0.23862634310993056,18.463342031599993,77.3734441511107,0,0,16,0.1,800.0,8000.0,1,1,32
R0266,0.0062298852123422,0.9236506640640498,5.0,533.7405549693029,0.3826588669944616,0.25,1.3587988089338316,105.13494375563756,77.3734441511107,0,0,16,0.1,58.87552997104207,588.7552997104207,1,0,23,0.1,800.0,8000.0,1,1,32
R8162,0.0061335152988483,1.268080745971838,6.0,744.2861822413341,0.2140107753446296,0.25,0.23862634310993056,78.67576203691237,329.7027520581329,0,0,16,0.1,44.05839790588585,440.58397905885846,1,0,22,0.1,800.0,8000.0,1,1,32
R3870,0.0851077753770071,0.775785371394641,4.0,32.815184331268796,0.2113606008024169,0.1,0.1,250.87967161476035,2508.7967161476035,1,0,28,0.1,187.74109386255512,1877.4109386255511,1,0,27,0.1,800.0,8000.0,1,1,32
R8909,0.0090936230104717,0.8922725406898899,2.0,353.2344746186023,0.1982216427624085,0.1,0.569425316260183,598.6649859805054,1051.3494375563769,0,0,25,0.23862634310993056,18.463342031599993,77.3734441511107,0,0,16,0.1,800.0,8000.0,1,1,32
R4935,0.0127227769993925,1.741081045786327,4.0,492.65123212723637,0.2950397274202047,0.1,2.4264280325417045,187.74109386255512,77.37344415111076,0,0,16,1.3587988089338316,18.463342031599993,13.587988089338314,0,0,10,1.3587988089338316,800.0,588.7552997104202,0,1,23
R3278,0.007633404157155,1.8125810265111024,6.0,854.8337754818908,0.2017293725379887,0.25,5.790096482248505,44.05839790588585,7.609268350011392,0,0,7,0.31887796841046784,78.67576203691237,246.72686679826978,0,0,20,0.31887796841046784,78.67576203691237,246.72686679826978,0,0,20
R7587,0.0921245083787099,1.009002261357134,4.0,39.42933541586352,0.3833027629240863,0.1,0.1,250.87967161476035,2508.7967161476035,1,0,28,0.1,78.67576203691237,786.7576203691237,1,0,24,0.1,800.0,8000.0,1,1,32
R2070,0.0068147792574294,2.471468260938062,4.0,1305.5867847336797,0.1330169227480045,0.1,10.33946477085338,105.13494375563756,10.168315873758727,0,0,7,0.17857154544060705,24.672686679826995,138.16695498126344,0,0,18,0.17857154544060705,105.13494375563756,588.7552997104204,0,0,23
R5063,0.007365454378399,2.7146497079766374,1.0,1326.8344961007222,0.2208958284293268,0.1,1.0168315873758733,800.0,786.757620369123,0,1,24,0.23862634310993056,24.672686679826995,103.39464770853385,0,0,17,0.1,800.0,8000.0,1,1,32
R8026,0.014279910607058,2.6241083003070536,1.0,661.5440489127584,0.2752341508444659,0.25,1.3587988089338316,598.6649859805054,440.5839790588587,0,0,22,0.23862634310993056,105.13494375563756,440.58397905885823,0,0,22,0.1,800.0,8000.0,1,1,32
R3515,0.005021141912668,2.8574611541507378,4.0,2048.7093043495956,0.1955395335293733,0.1,,,,0,0,0,0.17857154544060705,58.87552997104207,329.70275205813283,0,0,21,0.17857154544060705,58.87552997104207,329.70275205813283,0,0,21
R6169,0.0062536221725551,2.9878616014525696,1.0,1720.0114539114297,0.1053251839873943,0.1,7.737344415111075,800.0,103.39464770853367,0,1,17,0.1,78.67576203691237,786.7576203691237,1,0,24,0.1,800.0,8000.0,1,1,32
R3686,0.0151238659034012,1.85236802081156,4.0,440.9272680354786,0.3805405892322066,0.25,2.4264280325417045,335.2521727374652,138.1669549812634,0,0,18,2.4264280325417045,44.05839790588585,18.157718801053537,0,0,11,2.4264280325417045,800.0,329.70275205813255,0,1,21
