controller,p_unstable,nominal_loaded_slew_dps,post_fault_loaded_slew_dps,slew_scale_post,Kp,Kd,pass_rate,post_fault_median_rms_deg,post_fault_mean_rms_deg
PID_SLEW_AWARE,8,75,18.75,0.25,15,5,1,1.88664952152934,3.42193912899666
PID,8,75,18.75,0.25,20,5,1,1.57567379752598,2.78347504331705
PID_SLEW_AWARE,8,75,18.75,0.25,20,5,1,1.57567379752598,2.78347504331705
PID,8,75,18.75,0.25,20,8,1,1.52183768292539,2.71486763371146
PID_SLEW_AWARE,8,75,18.75,0.25,20,8,1,1.52183768292539,2.71486763371146
PID,8,75,18.75,0.25,25,8,1,1.39745931737778,2.45971331415259
PID_SLEW_AWARE,8,75,18.75,0.25,25,8,1,1.39745931737778,2.45971331415259
PID,8,90,90,1,15,5,1,1.88664952152934,3.42193912899666
PID_SLEW_AWARE,8,90,90,1,15,5,1,1.88664952152934,3.42193912899666
PID,8,90,90,1,20,5,1,1.57567379752598,2.78347504331705
PID_SLEW_AWARE,8,90,90,1,20,5,1,1.57567379752598,2.78347504331705
PID,8,90,90,1,20,8,1,1.52183768292539,2.71493520659664
PID_SLEW_AWARE,8,90,90,1,20,8,1,1.52183768292539,2.71493520659664
PID,8,90,90,1,25,8,1,1.39745931737778,2.45972042948155
PID_SLEW_AWARE,8,90,90,1,25,8,1,1.39745931737778,2.45972042948155
PID,8,90,45,0.5,15,5,1,1.88664952152934,3.42193912899666
PID_SLEW_AWARE,8,90,45,0.5,15,5,1,1.88664952152934,3.42193912899666
PID,8,90,45,0.5,20,5,1,1.57567379752598,2.78347504331705
PID_SLEW_AWARE,8,90,45,0.5,20,5,1,1.57567379752598,2.78347504331705
PID,8,90,45,0.5,20,8,1,1.52183768292539,2.71493520659664
PID_SLEW_AWARE,8,90,45,0.5,20,8,1,1.52183768292539,2.71493520659664
PID,8,90,45,0.5,25,8,1,1.39745931737778,2.45972042948155
PID_SLEW_AWARE,8,90,45,0.5,25,8,1,1.39745931737778,2.45972042948155
PID,8,90,31.5,0.35,15,5,1,1.88664952152934,3.42193912899666
PID_SLEW_AWARE,8,90,31.5,0.35,15,5,1,1.88664952152934,3.42193912899666
PID,8,90,31.5,0.35,20,5,1,1.57567379752598,2.78347504331705
PID_SLEW_AWARE,8,90,31.5,0.35,20,5,1,1.57567379752598,2.78347504331705
PID,8,90,31.5,0.35,20,8,1,1.52183768292539,2.71493520659664
PID_SLEW_AWARE,8,90,31.5,0.35,20,8,1,1.52183768292539,2.71493520659664
PID,8,90,31.5,0.35,25,8,1,1.39745931737778,2.45972042948155
PID_SLEW_AWARE,8,90,31.5,0.35,25,8,1,1.39745931737778,2.45972042948155
PID,8,90,22.5,0.25,15,5,1,1.88664952152934,3.42193912899666
PID_SLEW_AWARE,8,90,22.5,0.25,15,5,1,1.88664952152934,3.42193912899666
PID,8,90,22.5,0.25,20,5,1,1.57567379752598,2.78347504331705
PID_SLEW_AWARE,8,90,22.5,0.25,20,5,1,1.57567379752598,2.78347504331705
PID,8,90,22.5,0.25,20,8,1,1.52183768292539,2.71493520659664
PID_SLEW_AWARE,8,90,22.5,0.25,20,8,1,1.52183768292539,2.71493520659664
PID,8,90,22.5,0.25,25,8,1,1.39745931737778,2.45972042948155
PID_SLEW_AWARE,8,90,22.5,0.25,25,8,1,1.39745931737778,2.45972042948155
