p,slew,uopt_off,peak_off,last_off,drop_off,uopt_on,peak_on,last_on,drop_on,dip_change
8,25,2.000,0.750,0.500,-0.250,2.000,0.750,0.500,-0.250,0.000
8,45,2.500,1.000,0.750,-0.250,2.500,1.000,0.750,-0.250,0.000
8,80,3.000,1.000,1.000,0.000,3.000,1.000,1.000,0.000,0.000
10,25,2.000,0.458,0.250,-0.208,2.000,0.458,0.250,-0.208,0.000
10,45,4.500,0.875,0.604,-0.271,4.500,0.875,0.604,-0.271,0.000
10,80,4.000,1.000,1.000,0.000,4.000,1.000,1.000,0.000,0.000
12,25,2.500,0.271,0.250,-0.021,2.500,0.271,0.250,-0.021,0.000
12,45,5.000,0.542,0.458,-0.083,5.000,0.542,0.458,-0.083,0.000
12,80,6.500,1.000,0.750,-0.250,6.500,1.000,0.750,-0.250,0.000
